firstName;lastName;party;shadeColor;shadeColorInParty;emoji
Nathalie;Arthaud;LO;;;
Philippe;Poutou;NPA;;;
Fabien;Roussel;PCF;;;
Jean-Luc;Mélenchon;LFI;;;
Yannick;Jadot;EÉLV;;;
Arnaud;Montebourg;;#cc6666;;🟥
Anne;Hidalgo;PS;;;
Emmanuel;Macron;LREM;;;
Jean-Christophe;Lagarde;UDI;;;
Jean;Lassalle;R!;;;
Xavier;Bertrand;LR;;#ff4400;
Valérie;Pécresse;LR;;#96ff00;
Michel;Barnier;LR;;#35aeca;
Éric;Ciotti;LR;;#c18b3e;
Philippe;Juvin;LR;;;
Jean-Frédéric;Poisson;VIA;;;
Nicolas;Dupont-Aignan;DLF;;;
Marine;Le Pen;RN;;;
Florian;Philippot;LP;;;
Éric;Zemmour;;#d99536;;🟫
François;Asselineau;UPR;;;
Benoît;Hamon;PS;;;
Jacques;Cheminade;S&P;;;
François;Fillon;LR;;;
