fullName;shortName;circleColor;shadeColor;emoji
;SVP;#009F4F;#009F4F;
;SP;#E4002B;#E4002B;
;FDP;#007AD2;#007AD2;
;CVP;#EF7D00;#EF7D00;
;BDP;#FBD918;#FBD918;
;DM;#FF9B00;#FF9B00;
;Grüne;#84B414;#84B414;
;GLP;#b4dc00;#b4dc00;
;EVP;#EFDA18;#EFDA18;
;EàG;#BF2D2E;#BF2D2E;
;AL;#ec018c;#ec018c;
;MCR;#FEE801;#FEE801;
;Piraten;#F9B200;#F9B200;
;CSP;#0F95A7;#0F95A7;
;SD;#CD5B45;#CD5B45;
;EDU;#C71585;#C71585;
;Lega;#6495ED;#6495ED;
;LPS;#134B94;#134B94;
;FGA;#000000;#000000;
;Others;#C0C0C0;#C0C0C0;
;Left;#9f3039;#9f3039;
;Centre;#ff9b00;#ff9b00;
;Right;#006f8a;#006f8a;
;Yes;#47729E;#47729E;
;No;#8B8B54;#8B8B54;
