div;seats;layout;orientation;ratio;cx;cy
Kanton Uri;1;Regular;;;0;0
Kanton Obwalden;1;Regular;;;0;0
Kanton Nidwalden;1;Regular;;;0;0
Kanton Glarus;1;Regular;;;0;0
Kanton Zug;3;Regular;;;0;0
Kanton Basel-Stadt;4;Regular;;;0;0
Kanton Appenzell Innerrhoden;1;Regular;;;0;0
Canton de Neuchâtel;4;Regular;;;0;0
Canton de Genève;12;Regular;;;0;0
Kanton Zürich;36;Regular;;;0;0
Kanton Bern;24;Regular;;;0;0
Kanton Luzern;9;Regular;;;0;0
Kanton Schwyz;4;Regular;;;0;0
Canton de Fribourg;7;Regular;;;0;0
Kanton Solothurn;6;Regular;;;0;0
Kanton Basel-Landschaft;7;Regular;;;0;0
Kanton Schaffhausen;2;Regular;;;0;0
Kanton Appenzell Ausserrhoden;1;Regular;;;0;0
Kanton St. Gallen;12;Regular;;;0;0
Kanton Graubünden;5;Regular;;;0;0
Kanton Aargau;16;Regular;;;0;0
Kanton Thurgau;6;Regular;;;0;0
Cantone Ticino;8;Regular;;;0;0
Canton du Vaud;19;Regular;;;0;0
Canton du Valais;8;Regular;;;0;0
Canton du Jura;2;Regular;;;0;0
