Municipality;Yes;No;@Inv;@Abs
Aeugst am Albis;388;436;7;495
Affoltern am Albis;1933;1635;59;3105
Bonstetten;1049;1057;24;1429
Hausen am Albis;739;720;11;927
Hedingen;712;732;12;866
Kappel am Albis;250;174;5;219
Knonau;369;328;10;550
Maschwanden;138;107;3;222
Mettmenstetten;897;857;17;1176
Obfelden;949;714;17;1371
Ottenbach;557;547;10;672
Rifferswil;197;234;6;227
Stallikon;756;577;13;818
Wettswil am Albis;1041;985;16;1148
Benken (ZH);220;129;0;250
Berg am Irchel;198;108;2;163
Buch am Irchel;265;136;1;220
Dachsen;372;334;9;575
Dorf;211;69;2;174
Feuerthalen;705;529;14;992
Flaach;424;138;3;286
Flurlingen;261;351;7;368
Henggart;602;375;6;549
Kleinandelfingen;533;344;9;581
Laufen-Uhwiesen;379;283;8;435
Marthalen;603;295;13;531
Ossingen;346;246;3;402
Rheinau;255;276;9;358
Thalheim an der Thur;245;98;1;232
Trüllikon;310;147;5;329
Truttikon;149;85;0;112
Volken;94;38;2;84
Bachenbülach;727;509;27;1137
Bassersdorf;2014;1515;20;3310
Bülach;3274;2322;67;5266
Dietlikon;1396;1146;32;1956
Eglisau;951;763;18;1036
Embrach;1712;1076;31;2690
Freienstein-Teufen;579;420;4;607
Glattfelden;908;515;12;1303
Hochfelden;535;249;4;560
Höri;490;154;3;727
Hüntwangen;237;158;3;288
Kloten;3276;1876;75;5598
Lufingen;409;226;3;491
Nürensdorf;1439;817;22;1479
Oberembrach;313;144;5;283
Opfikon;2077;1270;26;4184
Rafz;1037;660;6;975
Rorbas;450;288;6;703
Wallisellen;2542;1976;64;3737
Wasterkingen;179;79;0;164
Wil (ZH);377;237;5;365
Winkel;1088;637;13;1111
Bachs;192;83;1;184
Boppelsen;319;229;3;326
Buchs (ZH);1173;620;17;1650
Dällikon;747;358;8;1068
Dänikon;427;207;7;492
Dielsdorf;1113;648;17;1656
Hüttikon;196;80;2;198
Neerach;907;475;9;829
Niederglatt;1058;463;18;1312
Niederhasli;1789;927;27;2429
Niederweningen;593;444;12;744
Oberglatt;929;455;13;1732
Oberweningen;399;249;5;480
Otelfingen;534;385;11;696
Regensberg;92;107;3;113
Regensdorf;3045;1629;46;4499
Rümlang;1393;656;21;1976
Schleinikon;180;121;2;226
Schöfflisdorf;382;202;4;368
Stadel;491;262;4;698
Steinmaur;709;446;13;943
Weiach;292;115;4;331
Bäretswil;1257;686;20;1510
Bubikon;1634;1095;19;1913
Dürnten;1586;882;15;1968
Fischenthal;666;234;12;663
Gossau (ZH);2513;1489;30;2744
Grüningen;800;539;5;913
Hinwil;2842;1368;51;2982
Rüti (ZH);2283;1747;40;3645
Seegräben;275;277;7;308
Wald (ZH);1856;1270;48;2444
Wetzikon (ZH);4219;2964;41;6733
Adliswil;2833;2572;55;4469
Kilchberg (ZH);1359;1648;42;1735
Langnau am Albis;1386;1245;31;1932
Oberrieden;1032;1226;17;1235
Richterswil;2634;2173;50;3427
Rüschlikon;929;1032;26;1352
Thalwil;2926;3441;105;4709
Erlenbach (ZH);1066;1212;36;1148
Herrliberg;1483;1311;31;1263
Hombrechtikon;1931;1174;41;2261
Küsnacht (ZH);2811;2995;83;3236
Männedorf;1971;2238;53;2646
Meilen;2584;2704;74;3134
Oetwil am See;838;488;10;1241
Stäfa;2828;3012;90;3599
Uetikon am See;1215;1099;0;1500
Zumikon;1095;1270;29;1021
Zollikon;2238;3001;89;2977
Fehraltorf;1331;876;22;1765
Hittnau;903;540;12;1032
Lindau;1143;696;14;1329
Pfäffikon;2339;1773;34;3003
Russikon;1114;684;16;1151
Weisslingen;893;509;9;922
Wila;614;250;8;543
Wildberg;318;181;4;219
Dübendorf;4222;3032;113;7130
Egg;1730;1422;30;2249
Fällanden;1374;1428;29;2341
Greifensee;885;1053;20;1496
Maur;2057;1916;38;2360
Mönchaltorf;745;657;13;1059
Schwerzenbach;814;705;17;1315
Uster;5777;5681;135;9262
Volketswil;3612;1959;47;5063
Wangen-Brüttisellen;1413;906;19;2219
Altikon;183;84;3;197
Brütten;544;426;8;481
Dägerlen;274;193;4;255
Dättlikon;190;159;5;181
Dinhard;440;253;7;351
Ellikon an der Thur;243;106;3;262
Elsau;845;587;15;878
Hagenbuch;376;106;2;331
Hettlingen;776;580;9;693
Neftenbach;1306;855;15;1504
Pfungen;609;332;13;860
Rickenbach (ZH);700;413;9;693
Schlatt (ZH);225;98;0;196
Seuzach;1923;1214;29;2015
Turbenthal;1076;601;12;1102
Winterthur;16181;19894;377;29162
Zell (ZH);1225;730;24;1567
Aesch (ZH);289;229;8;231
Birmensdorf (ZH);1260;1005;39;1565
Dietikon;3125;2245;76;6405
Geroldswil;1008;613;18;1455
Oberengstringen;1130;893;36;1895
Oetwil an der Limmat;569;406;9;707
Schlieren;1888;1421;45;4193
Uitikon;983;922;30;894
Unterengstringen;805;481;30;936
Urdorf;1881;1445;34;2657
Weiningen (ZH);913;537;10;1126
Zürich;42083;76436;1448;106565
Andelfingen;808;554;18;747
Stammheim;678;507;16;767
Wädenswil;4849;4093;128;6393
Elgg;1090;725;14;1186
Horgen;3862;3289;96;5613
Illnau-Effretikon;3256;2409;62;4583
Bauma;1208;571;14;1351
Wiesendangen;1621;1118;20;1513
Aarberg;1025;746;13;1248
Bargen (BE);244;142;2;370
Grossaffoltern;681;587;19;886
Kallnach;591;238;12;781
Kappelen;326;141;4;465
Lyss;2765;2018;62;4775
Meikirch;496;575;16;794
Radelfingen;269;185;5;492
Rapperswil (BE);605;365;10;1016
Schüpfen;676;613;61;1256
Seedorf (BE);760;472;24;1143
Aarwangen;992;609;16;1363
Auswil;141;51;2;207
Bannwil;177;84;6;252
Bleienbach;183;80;2;273
Busswil bei Melchnau;62;18;1;78
Gondiswil;221;68;2;296
Langenthal;2712;2414;65;5265
Lotzwil;508;318;9;822
Madiswil;743;390;21;1268
Melchnau;333;161;6;645
Oeschenbach;52;19;1;148
Reisiswil;50;20;2;92
Roggwil (BE);749;510;13;1466
Rohrbach;365;140;4;676
Rohrbachgraben;105;42;1;178
Rütschelen;159;66;1;211
Schwarzhäusern;146;66;5;165
Thunstetten;689;309;16;1101
Ursenbach;204;96;2;408
Wynau;372;152;4;576
Bern;12998;30167;469;39588
Bolligen;1246;1698;58;1762
Bremgarten bei Bern;711;1169;23;1254
Kirchlindach;624;819;13;793
Köniz;6365;8598;184;12438
Muri bei Bern;2320;3397;97;3724
Oberbalm;242;101;3;341
Stettlen;553;653;9;972
Vechigen;963;1007;25;1562
Wohlen bei Bern;1752;2330;45;2819
Zollikofen;1803;1852;46;3085
Ittigen;1790;1895;45;3794
Ostermundigen;2306;2157;55;5493
Biel/Bienne;6927;7702;258;16523
Evilard;376;485;14;879
Arch;430;160;4;550
Büetigen;252;93;2;256
Büren an der Aare;754;441;10;1166
Diessbach bei Büren;233;131;7;288
Dotzigen;312;182;4;525
Lengnau (BE);1000;527;29;1637
Leuzigen;308;154;6;491
Meinisberg;315;165;6;432
Oberwil bei Büren;183;112;1;323
Pieterlen;686;339;10;1269
Rüti bei Büren;215;120;12;334
Wengi;153;67;2;222
Aefligen;255;146;2;409
Alchenstorf;149;67;2;222
Bäriswil;253;182;3;345
Burgdorf;2464;3038;57;5598
Ersigen;465;303;10;700
Hasle bei Burgdorf;624;337;9;1434
Heimiswil;410;233;25;576
Hindelbank;507;336;12;959
Höchstetten;109;56;0;188
Kernenried;96;47;2;200
Kirchberg (BE);1206;896;16;1949
Koppigen;479;292;6;767
Krauchthal;535;292;19;950
Lyssach;392;192;21;540
Oberburg;579;317;16;1098
Rüdtligen-Alchenflüh;394;193;3;786
Rumendingen;26;4;0;36
Willadingen;55;24;0;77
Wynigen;471;263;5;876
Corgémont;334;199;3;559
Cormoret;83;91;3;216
Cortébert;142;96;12;254
Courtelary;230;169;9;458
La Ferrière;61;62;2;260
Mont-Tramelan;30;21;0;58
Orvin;241;153;8;488
Renan (BE);135;118;8;378
Romont (BE);54;22;1;67
Saint-Imier;658;642;31;1627
Sonceboz-Sombeval;270;181;4;695
Sonvilier;141;132;9;536
Tramelan;875;932;40;1327
Villeret;143;135;3;372
Sauge;171;103;6;308
Péry-La Heutte;385;221;5;705
Brüttelen;150;71;2;203
Erlach;227;257;6;413
Finsterhennen;97;60;4;144
Gals;157;107;7;255
Gampelen;168;86;12;275
Ins;652;512;11;1019
Lüscherz;133;57;1;231
Müntschemier;371;144;1;275
Siselen;132;79;3;232
Treiten;115;53;2;149
Tschugg;73;103;1;147
Vinelz;196;138;4;288
Bätterkinden;596;535;13;1285
Fraubrunnen;1036;889;23;1719
Jegenstorf;1047;1177;46;1796
Iffwil;89;70;2;160
Mattstetten;141;110;1;229
Moosseedorf;716;558;13;1173
Münchenbuchsee;1823;1756;60;3400
Urtenen-Schönbühl;1006;760;24;2155
Utzenstorf;943;657;30;1463
Wiggiswil;58;32;1;67
Wiler bei Utzenstorf;170;126;4;347
Zielebach;92;30;1;149
Zuzwil (BE);148;118;2;186
Adelboden;1126;358;16;1208
Aeschi bei Spiez;532;266;12;772
Frutigen;1780;645;37;2640
Kandergrund;272;50;2;332
Kandersteg;255;166;4;449
Krattigen;217;155;4;405
