;BDP;CSP;CVP;EDU;EVP;FDP;FGA;GLP;GPS;LPS;Lega;MCR;EàG;SD;SP;SVP;Übrige;@blank;@invalid;@abstension
Aeugst am Albis;343;;678;931;876;4457;82;3886;4085;;;;44;106;3139;8246;269;0;0;628
Affoltern am Albis;2105;;4770;1411;6961;14078;414;13322;13242;;;;209;225;15403;31875;1159;7;0;4176
Bonstetten;890;;2681;832;2907;10643;499;11255;8573;;;;122;128;11605;18102;1076;1;0;1677
Hausen am Albis;759;;1854;652;1913;5247;190;5851;7890;;;;91;107;6461;15637;469;0;0;1182
Hedingen;897;;1847;982;1777;6671;392;7827;5888;;;;87;53;7981;12684;595;3;0;1169
Kappel am Albis;165;;716;192;588;1415;82;1416;1326;;;;6;20;1182;5684;234;0;2;392
Knonau;643;;1288;528;1665;2219;21;4176;2736;;;;23;3;2756;7779;270;1;0;799
Maschwanden;217;;189;221;252;247;8;909;741;;;;5;0;1253;3293;62;0;0;237
Mettmenstetten;830;;2178;2239;2847;7228;179;8955;7229;;;;237;163;9396;19091;559;1;2;1736
Obfelden;968;;3359;1133;2798;6049;110;7651;4492;;;;45;9;7694;17716;522;0;0;1995
Ottenbach;989;;1199;499;1328;4422;59;5665;3602;;;;79;110;4592;10869;227;0;0;882
Rifferswil;192;;559;504;1094;1061;137;1964;3340;;;;40;1;2288;4148;139;0;0;314
Stallikon;383;;1788;74;686;5728;164;6131;4150;;;;39;10;5582;13903;396;0;1;1241
Wettswil am Albis;1040;;2896;622;1247;13722;137;10619;5755;;;;61;134;7629;17616;594;5;0;1637
Adlikon;363;;123;234;623;869;0;595;628;;;;0;35;566;5241;6;0;9;221
Benken (ZH);420;;281;257;121;986;20;936;1218;;;;7;1;1052;4678;51;0;0;321
Berg am Irchel;313;;96;255;200;655;5;1353;722;;;;41;0;551;4708;33;0;0;196
Buch am Irchel;393;;305;434;526;1633;11;1515;796;;;;0;120;605;6039;41;0;0;322
Dachsen;433;;1067;409;833;2215;71;2710;3625;;;;22;9;3195;6417;159;1;8;727
Dorf;65;;164;675;349;781;13;892;316;;;;5;2;790;3920;50;0;0;250
Feuerthalen;716;;1627;413;1013;2831;188;4448;3688;;;;27;151;5785;9778;352;2;0;1372
Flaach;132;;276;887;1101;1688;16;1451;1553;;;;5;0;1521;8228;177;0;0;479
Flurlingen;382;;902;112;364;2761;161;2612;2744;;;;55;37;2995;4517;335;0;0;505
Andelfingen;1182;;811;695;1683;4571;46;4410;3531;;;;2;6;3143;9256;314;1;0;664
Henggart;687;;985;1002;2224;3435;55;3941;2893;;;;27;5;2642;10760;193;0;0;784
Humlikon;26;;293;278;263;1040;0;654;303;;;;0;0;431;3156;78;0;0;162
Kleinandelfingen;793;;581;491;1010;3173;113;3133;2612;;;;6;6;2549;9862;255;0;0;746
Laufen-Uhwiesen;577;;1055;622;428;3394;51;2589;2093;;;;74;14;1890;7681;370;0;0;637
Marthalen;1090;;553;626;634;2148;43;2751;3112;;;;71;40;2742;13790;189;0;0;609
Ossingen;556;;668;322;1251;2595;105;2475;2090;;;;2;43;2231;8657;347;0;1;613
Rheinau;353;;1326;251;224;971;132;1732;2075;;;;112;38;3417;5334;194;0;0;401
Thalheim an der Thur;227;;189;245;404;1173;11;694;1012;;;;1;0;852;5976;143;0;0;340
Trüllikon;965;;285;491;328;830;9;1389;1454;;;;37;7;1129;6794;90;0;0;409
Truttikon;153;;74;623;411;691;0;336;733;;;;73;2;989;3122;148;0;0;149
Volken;13;;37;119;346;545;26;512;391;;;;0;0;265;2292;42;0;0;114
Bachenbülach;672;;1306;665;1710;7336;41;4251;3295;;;;45;149;4823;11217;180;0;4;1514
Bassersdorf;2250;;4007;2560;3220;12838;401;11630;8477;;;;312;576;16398;31152;796;0;0;4436
Bülach;2456;;6477;5490;9916;19029;829;20260;21618;;;;278;375;27102;51474;1900;2;2;7494
Dietlikon;1846;;2947;1170;1901;10038;588;10936;5789;;;;73;101;12085;19344;729;0;8;2792
Eglisau;746;;1982;1540;2279;5575;127;8866;5882;;;;109;106;8626;16030;722;0;0;1684
Embrach;1236;;4075;2300;2201;7189;289;8086;5260;;;;59;33;8226;27717;802;0;4;3515
Freienstein-Teufen;702;;705;862;3058;2450;207;3918;3315;;;;58;15;3543;11583;318;1;0;802
Glattfelden;941;;1089;1075;1625;3660;50;5269;4306;;;;53;121;6034;17681;331;1;0;1928
Hochfelden;502;;605;1286;1037;1680;94;2164;1470;;;;43;36;2553;9191;179;1;4;729
Höri;216;;418;1069;856;923;45;1441;1217;;;;35;47;1822;9348;11;0;0;1041
Hüntwangen;185;;446;117;428;1234;11;1767;1513;;;;4;45;1454;5443;74;0;0;372
Kloten;2531;;5889;1418;5158;14042;286;11836;10802;;;;237;509;20618;47666;1426;4;3;7513
Lufingen;594;;781;729;806;2561;12;3112;1699;;;;1;40;1892;10186;361;0;2;840
Nürensdorf;1438;;2143;1216;2055;10234;151;6908;3789;;;;48;109;5569;27635;520;0;2;2147
Oberembrach;313;;436;824;201;1348;5;1082;1305;;;;1;42;1521;7657;200;0;0;379
Opfikon;1599;;5213;705;2892;11190;527;13655;6795;;;;398;177;12933;30615;1013;2;1;6792
Rafz;872;;1579;2156;1906;4305;181;5732;5237;;;;10;178;7746;17330;290;2;6;1558
Rorbas;181;;785;472;1069;1864;217;1956;2197;;;;74;43;3499;7880;134;1;0;1004
Wallisellen;2304;;6129;1763;3420;21132;447;18787;12790;;;;179;186;19223;38523;2056;0;5;5843
Wasterkingen;184;;127;114;178;744;4;843;763;;;;0;46;767;3349;43;0;0;209
Wil (ZH);395;;223;345;720;2081;77;1926;1906;;;;21;113;2529;8164;161;0;4;491
Winkel;917;;1544;1240;2181;11311;55;6271;3484;;;;10;60;4294;20425;657;2;0;1736
Bachs;135;;91;479;114;309;16;641;1219;;;;1;33;771;4586;6;0;0;186
Boppelsen;202;;441;539;1173;2578;40;2768;1882;;;;107;23;1612;7036;86;0;0;458
Buchs (ZH);852;;1824;1194;1274;5245;146;5500;3700;;;;101;213;5480;19553;349;0;0;2575
Dällikon;270;;1543;463;695;2858;118;3583;2433;;;;5;51;3095;13604;266;0;1;1556
Dänikon;250;;786;263;363;2097;9;2904;1295;;;;70;93;1521;6938;262;0;0;608
Dielsdorf;269;;1580;1533;1461;5450;183;4764;5064;;;;48;168;6622;16347;382;0;3;2083
Hüttikon;127;;428;117;75;1151;2;1067;571;;;;0;7;614;4622;66;1;0;327
Neerach;626;;846;1492;786;5421;60;4277;2402;;;;40;58;3432;19065;287;0;0;1220
Niederglatt;639;;1235;1268;1044;4889;79;3855;2175;;;;8;11;4580;18342;281;0;1;1879
Niederhasli;1140;;3381;1806;1880;7113;213;8568;5726;;;;276;439;9206;29786;527;0;2;3505
Niederweningen;577;;1638;1289;1041;4154;169;4262;4798;;;;9;15;4048;10612;370;0;12;1078
Oberglatt;527;;1124;1699;1382;3710;186;3408;2393;;;;113;73;5172;14120;218;0;15;2608
Oberweningen;439;;603;833;332;2238;90;2401;1669;;;;76;93;2289;8017;235;0;6;619
Otelfingen;574;;1112;311;767;2890;99;6144;2546;;;;19;178;3390;10827;306;1;0;945
Regensberg;77;;284;193;138;867;11;758;733;;;;5;0;931;1877;45;0;0;156
Regensdorf;1960;;5215;1564;2118;11923;577;12236;9940;;;;149;541;15944;48990;1331;1;4;6503
Rümlang;1115;;1828;2037;1344;4646;170;5270;3355;;;;111;82;10548;22215;668;0;0;3042
Schleinikon;87;;195;383;344;748;78;939;1193;;;;5;31;858;3808;76;0;2;282
Schöfflisdorf;277;;567;780;664;2179;0;2242;1587;;;;0;68;1616;6545;41;2;0;485
Stadel;431;;881;810;507;2456;51;1949;2406;;;;1;108;1558;12306;150;0;4;907
Steinmaur;709;;1482;2186;1298;4037;14;4041;3682;;;;33;95;3709;13566;243;0;9;1170
Weiach;335;;578;125;495;1174;5;850;589;;;;4;78;1237;6879;27;2;1;756
Bäretswil;1508;;1765;3210;5032;6943;415;4979;6177;;;;26;85;4718;26268;439;0;6;1858
Bubikon;1946;;4558;5260;3908;10249;146;12355;11084;;;;60;75;10280;28106;1016;0;0;2638
Dürnten;1330;;5619;3917;3528;8079;193;8848;8795;;;;95;61;7708;27988;832;2;0;2745
Fischenthal;491;;389;1298;869;1400;205;1617;2412;;;;71;75;2305;14141;330;0;0;941
Gossau (ZH);2357;;4394;4873;8153;16310;256;12760;11629;;;;169;24;11179;41272;852;0;2;3846
Grüningen;1150;;1149;1708;1908;5269;113;4529;4517;;;;191;135;4101;14344;175;0;1;1385
Hinwil;1804;;6220;3990;4577;13588;459;11308;12900;;;;231;218;12814;50207;1308;0;5;4207
Rüti (ZH);1873;;10773;4714;6193;10537;595;11378;13550;;;;224;153;14378;32393;910;1;1;4501
Seegräben;383;;450;244;760;2087;80;2191;2829;;;;41;72;2348;6118;177;0;9;459
Wald (ZH);1386;;4071;2421;3141;8835;871;9839;12505;;;;176;167;11265;31046;1175;1;0;3585
Wetzikon (ZH);3489;;10109;9504;11675;24595;1778;23458;31766;;;;360;231;29557;64993;2482;8;0;9391
Adliswil;2788;;12579;916;4292;20218;883;15661;15499;;;;319;154;24682;39966;2162;3;3;5745
Kilchberg (ZH);1101;;4269;477;1860;26790;752;14459;10577;;;;108;59;8672;20009;503;0;2;2325
Langnau am Albis;793;;6631;615;1756;12822;459;8594;6111;;;;109;81;11144;19182;421;2;1;2565
Oberrieden;734;;3463;431;1911;13631;833;8713;7364;;;;246;16;9555;15885;441;0;0;1491
Richterswil;2061;;10171;1814;3854;21162;901;17870;17047;;;;404;260;18848;39474;1318;0;0;4843
Rüschlikon;733;;3666;245;1383;15169;195;9699;6469;;;;10;43;6433;14034;364;0;0;1628
Thalwil;2628;;11357;1339;5679;36240;1596;30043;20028;;;;363;365;27073;39830;1749;0;2;5462
Erlenbach (ZH);811;;2903;217;670;20373;368;11007;7117;;;;8;35;6429;17027;387;1;0;1566
Herrliberg;528;;2911;119;1054;23293;571;10454;6165;;;;21;23;5931;27577;525;1;1;1861
Hombrechtikon;1824;;3156;3180;4196;10827;377;11758;11752;;;;185;162;10318;31779;825;0;0;3117
Küsnacht (ZH);1889;;7099;544;2701;48937;954;24281;14893;;;;216;188;16380;46699;1443;3;2;4037
Männedorf;1953;;7040;3318;4625;23704;857;23309;19162;;;;342;186;18432;32229;1428;0;3;3415
Meilen;1910;;6975;1493;3339;42061;503;25784;17373;;;;105;223;20027;47588;1754;2;1;4101
Oetwil am See;1018;;1223;1811;782;3155;193;4342;3024;;;;91;122;4004;14687;248;0;2;1733
Stäfa;2038;;7473;3354;5388;30447;984;30501;21922;;;;310;200;31091;45214;1043;0;6;4666
Uetikon am See;1595;;3117;1070;2156;14613;251;10302;8187;;;;50;73;9588;22202;1007;0;0;1939
Zumikon;857;;2571;477;866;22556;140;9770;5393;;;;41;7;5349;18772;502;0;0;1438
Zollikon;1408;;5605;697;2850;46873;710;24560;14337;;;;62;238;17788;33044;1069;0;3;3598
Fehraltorf;1683;;2001;917;2617;8989;409;9668;7717;;;;62;239;7631;21777;608;0;1;2331
