div;seats;layout;orientation;ratio;cx;cy
Grand-Est;49;Regular;;;1456.966;506.468
Nouvelle-Aquitaine;49;Regular;;;755.725;1181.854
Auvergne-Rhône-Alpes;64;Regular;;;1309.399;1110.636
Bourgogne-Franche-Comté;27;Regular;;;1364.284;813.094
Bretagne;27;Regular;;;379.242;610.959
Centre-Val-de-Loire;23;Regular;;;964.427;761.886
Corse;4;Regular;;;1882.309;1722.895
Occitanie;49;Regular;;;1029.643;1439.253
Île-de-France;97;Regular;;;1055.103;534.651
Hauts-de-France;50;Regular;;;1091.094;229.761
Normandie;28;Regular;;;741.206;448.717
Pays-de-la-Loire;30;Regular;;;637.969;735.169
Provence-Alpes-Côte-d'Azur;42;Regular;;;1511.120;1397.900
Guadeloupe;4;Regular;;;125.088;1274.724
Martinique;4;Regular;;;125.088;1429.724
Guyane;2;Regular;;;125.088;1604.724
La Réunion;7;Regular;;;125.088;1779.724
Saint-Pierre-et-Miquelon;1;Regular;;;300.088;1779.724
Mayotte;2;Regular;;;300.088;1254.724
Saint-Martin et Saint-Barthélemy;1;Regular;;;300.088;1079.724
Wallis-et-Futuna;1;Regular;;;300.088;1604.724
Polynésie-française;3;Regular;;;300.088;1429.724
Nouvelle-Calédonie;2;Regular;;;125.088;1079.724
Français vivant hors de France;11;Regular;;;125.088;904.724
