;Emmanuel Macron;Marine Le Pen;@blank;@null;@abs
Ain;166635;136370;19802;5875;109568
Aisne;102428;153069;14465;5694;97965
Allier;87645;79762;13866;6370;62311
Alpes-de-Haute-Provence;41659;44139;7773;2599;31907
Hautes-Alpes;42213;34446;7377;2208;27296
Alpes-Maritimes;261989;260629;30567;8370;217148
Ardèche;90053;81705;15843;6166;62124
Ardennes;55093;72040;7808;3180;48099
Ariège;39298;37616;8637;3745;29751
Aube;68840;73625;8710;3126;51298
Aude;85465;104038;15224;6622;68610
Aveyron;89955;59790;13943;6301;49491
Bouches-du-Rhône;481129;442759;57930;19055;410707
Calvados;218579;143960;23849;9492;116324
Cantal;45015;35261;6739;2911;25815
Charente;95656;78087;13410;5952;64403
Charente-Maritime;201159;156020;26323;9405;126022
Cher;77739;70160;12510;3793;60255
Corrèze;68272;54131;12700;7077;42851
Corse-du-Sud;26144;36584;4154;2283;44739
Haute-Corse;29951;41137;5380;2269;50359
Côte-d'Or;144545;107866;19232;5632;89553
Côtes-d'Armor;209721;123689;26972;11174;100204
Creuse;30554;28153;5915;2857;23479
Dordogne;111182;104687;18941;10713;72606
Doubs;141917;106348;18190;6527;95455
Drôme;143697;114217;21116;6666;96584
Eure;146751;155086;19537;6078;104821
Eure-et-Loir;109744;96185;13661;4811;79606
Finistère;332396;160073;42852;12523;161974
Gard;177669;193666;27684;9410;146848
Haute-Garonne;409622;226250;51784;19366;223557
Gers;55559;44188;9512;7016;30993
Gironde;484771;305112;59890;19934;288844
Hérault;297066;267908;41829;14878;225798
Ille-et-Vilaine;390330;159930;39489;13090;169031
Indre;57558;54429;8768;4094;41208
Indre-et-Loire;188421;112019;22088;9238;108984
Isère;359596;241584;43467;11627;229398
Jura;68846;60884;11194;3851;45869
Landes;128363;98682;20685;8526;73120
Loir-et-Cher;91360;78434;11919;4514;58413
Loire;194879;149174;25417;7622;136870
Haute-Loire;62372;61980;10937;4288;41139
Loire-Atlantique;505179;221934;57816;16881;255271
Loiret;180882;133331;20725;7033;115792
Lot;55130;38032;10040;4630;31406
Lot-et-Garonne;81013;82619;12858;6716;58106
Lozère;22067;18647;4072;1916;13099
Maine-et-Loire;274813;138261;28550;9342;138502
Manche;159815;108294;19057;6450;91046
Marne;136025;125046;14921;5400;99374
Haute-Marne;38230;50586;5509;2465;32607
Mayenne;102263;57006;10441;4074;51035
Meurthe-et-Moselle;179237;150177;22316;7249;133308
Meuse;41930;52499;5618;2280;32475
Morbihan;269755;159717;33469;11315;135060
Moselle;249556;244993;30064;8652;212882
Nièvre;50556;50779;8140;3675;41089
Nord;633569;565618;67296;27134;521129
Oise;182791;203866;23912;8485;145130
Orne;79275;64551;9537;3432;48758
Pas-de-Calais;323661;437820;38116;20499;273743
Puy-de-Dôme;188468;124825;27807;10552;116492
Pyrénées-Atlantiques;219719;128742;34369;12271;124853
Hautes-Pyrénées;65085;52182;11892;4862;43422
Pyrénées-Orientales;105893;136610;16986;8077;94558
Bas-Rhin;319370;221958;29061;11021;197584
Haut-Rhin;191814;170781;22170;5892;141261
Collectivité départementale du Rhône;149818;103658;16198;4261;80609
Métropole de Lyon;400774;147812;33286;10777;234598
Haute-Saône;53098;70052;8287;5760;40527
Saône-et-Loire;144990;126860;21338;7493;102315
Sarthe;154909;124658;22334;5771;103599
Savoie;125676;92337;17202;5547;79968
Haute-Savoie;236764;147032;26203;8655;147179
Paris;808107;141405;49446;15171;354494
Seine-Maritime;332146;268699;44668;11402;222738
Seine-et-Marne;328698;248317;42755;13520;266519
Yvelines;464913;189475;40934;11372;254934
Deux-Sèvres;117804;71801;13741;5437;64482
Somme;140763;146537;16982;7177;98487
Tarn;106768;94441;17176;8306;71489
Tarn-et-Garonne;62503;67770;10196;4452;43807
Var;252720;310137;33343;10720;214221
Vaucluse;134476;145707;18445;6310;106789
Vendée;244494;150772;25046;10184;120713
Vienne;125138;83024;15629;6133;76152
Haute-Vienne;103329;71263;15884;8854;64447
Vosges;91542;100853;12592;5153;67785
Yonne;78038;83170;11274;3762;61722
Territoire de Belfort;31987;30202;4581;1947;25006
Essonne;338569;178908;37018;11342;234023
Hauts-de-Seine;552124;134685;46366;7469;257547
Seine-Saint-Denis;326057;116225;35060;8851;308171
Val-de-Marne;376204;128873;36107;10117;245481
Val-d'Oise;299829;153446;32485;9138;238978
Guadeloupe;40229;92106;8511;8211;166884
Martinique;46918;73000;11198;7353;166201
Guyane;13834;21437;3049;1768;62970
La Réunion;147297;216967;20584;16644;274588
Saint-Pierre-et-Miquelon;1243;1278;219;139;2164
Mayotte;15708;22694;1645;1997;50377
Saint-Martin;2591;3265;315;176;12818
Saint-Barthélemy;1259;1522;156;44;2289
Wallis-et-Futuna;3831;1849;100;60;3674
Polynésie-française;42890;39913;2398;1718;118714
Nouvelle-Calédonie;43795;27960;3030;1337;142591
Français vivant hors de France;458874;73830;15292;3490;876432
