;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Torino;4301;2837;2576;74849;53707;16965;29305;116311;2353;2036;23292;1155;6995;105133;;;;;;;;;;;;;;;;;;;40127;823
Alpignano;93;66;41;1683;1095;340;406;2073;37;39;425;33;110;3404;;;;;;;;;;;;;;;;;;;3271;71
Beinasco;84;35;36;1832;1091;273;288;2508;47;36;436;23;121;3729;;;;;;;;;;;;;;;;;;;3132;85
Bruino;51;25;11;992;658;172;135;1091;60;17;215;14;53;1705;;;;;;;;;;;;;;;;;;;1211;41
Collegno;261;185;83;4798;2518;891;1062;7076;104;130;1864;96;259;9472;;;;;;;;;;;;;;;;;;;8537;169
Druento;50;50;19;1105;564;171;181;1076;13;16;206;10;46;1557;;;;;;;;;;;;;;;;;;;1361;39
Grugliasco;186;156;75;3611;2002;640;842;5630;85;73;1045;74;261;7792;;;;;;;;;;;;;;;;;;;6847;130
Orbassano;132;66;38;2522;1643;455;353;2771;62;37;548;26;177;4969;;;;;;;;;;;;;;;;;;;4046;96
Scarnafigi;25;2;12;382;198;74;29;180;2;12;22;6;3;208;13;;;;;;;;;;;;;;;;;;306;16
Stroppo;1;0;2;3;2;2;7;6;0;1;1;0;2;18;1;;;;;;;;;;;;;;;;;;27;1
Tarantasca;7;14;18;438;172;58;17;166;1;15;22;4;5;311;4;;;;;;;;;;;;;;;;;;249;15
Torre san Giorgio;3;1;8;142;100;14;14;55;1;5;3;0;2;78;2;;;;;;;;;;;;;;;;;;123;7
Pianezza;83;72;109;1831;1026;305;323;1876;37;40;337;33;68;2849;;;;;;;;;;;;;;;;;;;2357;52
Rivalta di Torino;103;73;35;2192;1382;404;407;2272;35;47;509;26;98;4181;;;;;;;;;;;;;;;;;;;3199;81
Rivoli;273;175;102;4828;3433;1035;1104;7071;102;105;1177;93;239;9139;;;;;;;;;;;;;;;;;;;9022;220
Venaria Reale;206;205;65;3946;1950;641;630;4302;106;59;871;38;194;6731;;;;;;;;;;;;;;;;;;;6288;113
Aglie';23;23;10;387;244;60;47;234;8;2;34;5;11;337;;;;;;;;;;;;;;;;;;;490;14
Ala di Stura;2;6;3;89;38;8;15;38;0;0;2;0;2;47;;;;;;;;;;;;;;;;;;;114;2
Albiano d'Ivrea;5;6;0;342;156;75;25;167;0;3;31;0;11;166;;;;;;;;;;;;;;;;;;;272;11
Alice Superiore;17;1;1;99;47;13;12;95;2;0;17;4;8;89;;;;;;;;;;;;;;;;;;;151;6
Alpette;3;0;1;41;31;5;4;32;0;1;4;1;0;27;;;;;;;;;;;;;;;;;;;58;0
Andrate;4;2;1;62;20;11;21;44;1;1;14;1;1;58;;;;;;;;;;;;;;;;;;;119;5
Azeglio;10;0;3;194;74;31;28;102;1;2;28;7;8;198;;;;;;;;;;;;;;;;;;;233;11
Bairo;8;14;2;141;63;27;11;69;2;0;17;6;1;94;;;;;;;;;;;;;;;;;;;185;5
Balangero;21;9;6;510;278;59;72;324;15;7;61;7;13;472;;;;;;;;;;;;;;;;;;;596;13
Baldissero Canavese;5;0;0;74;50;19;4;34;2;1;11;3;3;123;;;;;;;;;;;;;;;;;;;95;3
Balme;0;0;0;22;5;2;1;15;1;0;1;1;1;15;;;;;;;;;;;;;;;;;;;27;0
Banchette;18;13;7;311;191;65;82;403;8;4;73;14;36;479;;;;;;;;;;;;;;;;;;;634;17
Barbania;12;0;3;285;143;37;20;163;2;2;25;2;6;210;;;;;;;;;;;;;;;;;;;317;11
Barone Canavese;3;13;1;73;36;8;13;99;4;1;12;1;2;82;;;;;;;;;;;;;;;;;;;111;5
Bollengo;29;11;4;375;155;37;49;179;4;4;51;13;14;277;;;;;;;;;;;;;;;;;;;429;15
Borgiallo;4;1;1;115;37;5;2;51;1;1;3;0;5;79;;;;;;;;;;;;;;;;;;;109;8
Borgofranco d'Ivrea;24;6;7;500;234;93;83;427;3;6;76;12;18;533;;;;;;;;;;;;;;;;;;;690;23
Borgomasino;6;0;1;119;84;23;13;78;1;1;22;5;2;70;;;;;;;;;;;;;;;;;;;154;7
Bosconero;11;9;7;445;237;65;27;315;6;3;47;7;11;562;;;;;;;;;;;;;;;;;;;598;18
Brosso;6;1;0;71;37;11;7;27;0;0;10;2;3;61;;;;;;;;;;;;;;;;;;;87;10
Burolo;8;9;2;167;93;34;43;178;5;5;32;5;10;138;;;;;;;;;;;;;;;;;;;188;8
Busano;8;2;3;237;112;47;25;140;1;5;16;4;2;282;;;;;;;;;;;;;;;;;;;272;9
Cafasse;33;22;5;504;208;87;73;298;9;6;64;3;12;510;;;;;;;;;;;;;;;;;;;664;20
Candia Canavese;2;4;1;194;82;37;27;127;1;1;21;0;5;163;;;;;;;;;;;;;;;;;;;242;11
Canischio;4;0;2;60;27;5;5;16;0;0;1;0;2;36;;;;;;;;;;;;;;;;;;;61;2
Cantoira;3;6;4;115;55;14;11;51;0;1;9;1;0;54;;;;;;;;;;;;;;;;;;;112;3
Caravino;19;2;4;159;78;18;14;102;2;3;18;2;4;105;;;;;;;;;;;;;;;;;;;164;9
Carema;6;1;3;124;43;9;7;73;1;1;16;1;2;101;;;;;;;;;;;;;;;;;;;168;7
Cascinette d'Ivrea;12;8;6;127;94;38;66;242;6;4;41;3;24;194;;;;;;;;;;;;;;;;;;;243;9
Castellamonte;75;34;29;1462;774;211;128;880;64;12;168;21;32;1252;;;;;;;;;;;;;;;;;;;2049;49
Castelnuovo Nigra;9;1;0;80;42;3;5;46;3;1;6;1;2;43;;;;;;;;;;;;;;;;;;;103;1
Ceres;9;3;44;162;94;23;14;116;3;1;12;2;5;99;;;;;;;;;;;;;;;;;;;206;7
Ceresole Reale;1;1;1;27;21;13;3;14;2;0;1;0;0;13;;;;;;;;;;;;;;;;;;;24;1
Chialamberto;2;4;1;83;31;7;6;23;1;0;1;0;1;30;;;;;;;;;;;;;;;;;;;79;1
Chiaverano;18;4;4;241;118;36;68;274;9;2;53;14;34;284;;;;;;;;;;;;;;;;;;;365;13
Chiesanuova;1;0;0;26;11;4;0;21;0;0;6;1;1;14;;;;;;;;;;;;;;;;;;;58;1
Ciconio;2;0;1;77;41;9;5;19;1;0;10;0;1;49;;;;;;;;;;;;;;;;;;;71;6
Cintano;1;0;1;40;20;3;7;24;0;1;7;2;1;28;;;;;;;;;;;;;;;;;;;47;2
Cirie';95;119;42;2328;1367;438;408;2020;53;49;374;46;107;2781;;;;;;;;;;;;;;;;;;;3816;105
Coassolo Torinese;13;4;2;251;128;22;24;152;2;4;27;4;10;182;;;;;;;;;;;;;;;;;;;288;12
Colleretto Castelnuovo;3;4;0;40;12;4;9;41;0;0;5;1;1;31;;;;;;;;;;;;;;;;;;;48;5
Colleretto Giacosa;1;0;0;78;47;4;29;87;4;0;23;8;4;73;;;;;;;;;;;;;;;;;;;93;4
Corio;30;7;5;521;289;85;55;285;7;3;33;7;12;358;;;;;;;;;;;;;;;;;;;806;14
Cossano Canavese;4;1;1;51;51;7;10;80;1;0;5;0;0;57;;;;;;;;;;;;;;;;;;;90;10
Cuceglio;13;6;4;157;66;19;14;108;3;1;20;3;14;117;;;;;;;;;;;;;;;;;;;181;8
Cuorgne';55;38;26;1452;667;202;113;880;19;18;183;11;64;1485;;;;;;;;;;;;;;;;;;;1859;46
Favria;30;34;8;687;358;101;80;436;5;6;85;16;10;854;;;;;;;;;;;;;;;;;;;1038;38
Feletto;11;14;7;267;188;48;27;148;3;4;31;10;4;331;;;;;;;;;;;;;;;;;;;468;12
Fiano;9;16;6;390;226;69;44;311;5;8;42;3;11;454;;;;;;;;;;;;;;;;;;;425;18
Fiorano Canavese;15;11;0;118;49;17;24;80;1;2;21;6;4;124;;;;;;;;;;;;;;;;;;;128;5
Forno Canavese;24;13;8;547;229;62;42;269;6;5;35;4;17;427;;;;;;;;;;;;;;;;;;;812;23
Frassinetto;1;1;0;68;25;8;0;12;0;1;1;0;0;26;;;;;;;;;;;;;;;;;;;77;3
Front;5;2;5;275;140;32;26;147;2;3;30;3;7;250;;;;;;;;;;;;;;;;;;;325;12
Germagnano;7;2;3;238;80;25;20;105;0;2;32;0;7;141;;;;;;;;;;;;;;;;;;;247;11
Groscavallo;2;0;4;38;26;3;2;16;0;0;2;0;2;16;;;;;;;;;;;;;;;;;;;55;4
Grosso;1;2;4;212;103;20;23;103;2;2;14;4;4;125;;;;;;;;;;;;;;;;;;;156;6
Ingria;2;0;0;17;1;0;0;2;0;0;0;0;1;4;;;;;;;;;;;;;;;;;;;9;0
Issiglio;7;1;2;58;25;8;11;39;2;0;2;0;5;51;;;;;;;;;;;;;;;;;;;102;2
Ivrea;148;112;58;2326;1410;509;762;3407;76;49;677;61;295;3064;;;;;;;;;;;;;;;;;;;4568;160
Lanzo Torinese;43;33;6;689;386;145;124;582;14;8;95;6;25;666;;;;;;;;;;;;;;;;;;;923;22
Lemie;1;0;0;31;11;1;1;17;0;1;4;0;0;37;;;;;;;;;;;;;;;;;;;46;2
Lessolo;19;2;10;289;150;42;48;167;5;7;17;11;12;248;;;;;;;;;;;;;;;;;;;400;11
Levone;3;6;1;66;26;15;5;51;2;5;4;6;3;58;;;;;;;;;;;;;;;;;;;77;3
Locana;13;1;13;338;132;23;14;214;1;5;12;4;1;132;;;;;;;;;;;;;;;;;;;286;13
Loranze';6;4;1;196;82;20;34;166;1;1;40;3;9;143;;;;;;;;;;;;;;;;;;;169;7
Lugnacco;3;1;0;47;17;10;1;43;1;0;7;2;5;80;;;;;;;;;;;;;;;;;;;65;4
Lusiglie';7;0;0;116;54;10;8;40;3;2;11;0;3;77;;;;;;;;;;;;;;;;;;;93;5
Maglione;2;0;2;49;39;11;16;53;1;1;12;0;4;72;;;;;;;;;;;;;;;;;;;83;5
Mathi;28;16;17;604;294;88;69;397;5;12;71;7;18;614;;;;;;;;;;;;;;;;;;;716;28
Mercenasco;8;2;1;209;93;24;17;104;1;2;14;0;5;160;;;;;;;;;;;;;;;;;;;222;3
Meugliano;4;0;0;12;7;5;4;3;1;0;1;0;0;4;;;;;;;;;;;;;;;;;;;21;0
Mezzenile;1;1;5;143;49;14;14;68;3;5;12;2;2;76;;;;;;;;;;;;;;;;;;;201;5
Monastero di Lanzo;2;5;3;73;33;8;8;27;0;0;1;0;2;45;;;;;;;;;;;;;;;;;;;77;2
Montalenghe;7;6;1;116;67;15;16;103;0;2;26;1;5;168;;;;;;;;;;;;;;;;;;;200;7
Montalto Dora;32;16;14;412;194;82;86;399;13;9;77;29;19;554;;;;;;;;;;;;;;;;;;;584;32
Noasca;0;0;1;32;5;3;3;21;0;0;1;0;1;12;;;;;;;;;;;;;;;;;;;30;0
Nole;57;40;15;972;518;137;112;718;20;17;127;23;32;1050;;;;;;;;;;;;;;;;;;;1333;21
Nomaglio;1;2;0;40;17;5;4;32;0;1;6;1;1;55;;;;;;;;;;;;;;;;;;;57;6
Oglianico;12;6;2;215;85;37;28;194;3;4;31;4;3;230;;;;;;;;;;;;;;;;;;;224;9
Orio Canavese;5;0;1;115;64;9;11;118;2;4;11;6;8;114;;;;;;;;;;;;;;;;;;;137;3
Ozegna;9;2;3;236;100;37;12;94;3;5;17;2;6;199;;;;;;;;;;;;;;;;;;;217;10
Palazzo Canavese;14;7;5;116;73;15;18;95;6;1;9;4;0;115;;;;;;;;;;;;;;;;;;;151;5
Parella;8;0;0;70;32;10;13;72;0;4;18;5;5;44;;;;;;;;;;;;;;;;;;;65;0
Pavone Canavese;27;22;13;528;242;82;79;539;13;5;82;8;40;524;;;;;;;;;;;;;;;;;;;766;16
Pecco;4;1;0;34;15;5;9;21;0;1;1;6;4;29;;;;;;;;;;;;;;;;;;;36;2
Perosa Canavese;7;1;0;69;42;14;18;44;0;1;19;1;10;96;;;;;;;;;;;;;;;;;;;91;4
Pertusio;7;1;2;140;75;11;19;80;4;1;22;1;3;84;;;;;;;;;;;;;;;;;;;135;5
Pessinetto;4;2;0;69;59;17;15;58;2;1;6;0;4;76;;;;;;;;;;;;;;;;;;;120;6
Piverone;5;11;4;167;73;38;61;164;1;0;39;6;12;145;;;;;;;;;;;;;;;;;;;271;14
Pont-Canavese;17;6;11;525;237;42;33;268;10;5;67;4;13;444;;;;;;;;;;;;;;;;;;;748;26
Prascorsano;7;6;3;166;65;12;11;78;1;0;8;2;2;88;;;;;;;;;;;;;;;;;;;143;7
Pratiglione;3;1;3;84;37;8;5;29;1;1;5;2;7;57;;;;;;;;;;;;;;;;;;;147;5
Quagliuzzo;4;3;0;55;23;8;14;33;3;0;11;2;4;55;;;;;;;;;;;;;;;;;;;40;1
Quassolo;5;0;0;56;21;5;3;40;1;0;13;2;0;45;;;;;;;;;;;;;;;;;;;70;3
Quincinetto;10;1;2;163;76;18;31;96;0;5;22;10;11;159;;;;;;;;;;;;;;;;;;;194;19
Ribordone;0;0;0;10;5;2;0;3;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;22;0
Rivara;13;5;7;430;208;48;33;246;2;7;35;4;11;344;;;;;;;;;;;;;;;;;;;499;24
Rivarolo Canavese;64;37;29;1648;897;299;203;1340;33;23;230;38;46;1664;;;;;;;;;;;;;;;;;;;2805;59
Rivarossa;9;1;4;205;107;46;56;167;3;3;33;17;6;223;;;;;;;;;;;;;;;;;;;285;6
Robassomero;18;37;4;413;317;70;71;357;5;6;43;9;21;565;;;;;;;;;;;;;;;;;;;477;10
Rocca Canavese;13;8;3;286;137;39;32;150;2;4;26;9;10;198;;;;;;;;;;;;;;;;;;;380;11
Romano Canavese;17;5;3;380;203;71;52;303;6;3;42;9;18;432;;;;;;;;;;;;;;;;;;;482;15
Ronco Canavese;2;0;1;70;23;9;1;17;2;1;3;0;3;22;;;;;;;;;;;;;;;;;;;102;3
Rueglio;5;6;1;55;17;13;12;72;2;1;21;7;11;102;;;;;;;;;;;;;;;;;;;253;14
Salassa;16;8;4;291;150;42;30;164;5;4;23;2;4;293;;;;;;;;;;;;;;;;;;;372;9
Salerano Canavese;5;1;1;50;29;12;18;75;1;0;17;0;2;81;;;;;;;;;;;;;;;;;;;77;3
Samone;14;13;8;299;123;38;53;226;3;20;49;9;11;329;;;;;;;;;;;;;;16;;;;;288;4
San Carlo Canavese;23;25;6;562;293;99;94;457;5;13;33;7;16;579;;;;;;;;;;;;;;;;;;;722;32
San Colombano Belmonte;4;2;1;55;28;7;3;35;0;1;4;3;7;65;;;;;;;;;;;;;;;;;;;50;4
San Francesco al Campo;28;12;16;741;385;81;85;512;11;11;61;22;25;743;;;;;;;;;;;;;;;;;;;885;14
San Giorgio Canavese;17;12;7;339;211;44;53;256;6;1;36;5;16;332;;;;;;;;;;;;;;;;;;;548;15
San Giusto Canavese;30;7;3;461;290;65;68;318;4;5;55;14;8;496;;;;;;;;;;;;;;;;;;;639;16
San Martino Canavese;5;5;1;154;49;34;21;76;2;4;13;7;5;103;;;;;;;;;;;;;;;;;;;141;5
San Maurizio Canavese;68;60;17;1394;685;196;212;1075;20;35;205;26;51;1726;;;;;;;;;;;;;;;;;;;1734;55
San Ponso;4;1;1;47;24;4;1;26;2;0;5;1;1;42;;;;;;;;;;;;;;;;;;;47;1
Scarmagno;8;3;2;152;50;24;27;102;0;0;19;3;9;102;;;;;;;;;;;;;;;;;;;128;4
Settimo Rottaro;3;1;0;84;46;5;8;60;1;1;7;3;8;49;;;;;;;;;;;;;;;;;;;94;6
Settimo Vittone;9;1;1;232;80;20;33;167;6;3;32;6;5;197;;;;;;;;;;;;;;;;;;;370;15
Sparone;4;3;4;199;78;15;13;55;2;1;15;1;2;142;;;;;;;;;;;;;;;;;;;231;7
Strambinello;4;1;1;55;8;2;4;13;0;0;3;3;4;39;;;;;;;;;;;;;;;;;;;59;1
Strambino;61;22;17;985;413;160;111;667;5;12;128;12;32;973;;;;;;;;;;;;;;;;;;;1099;33
Tavagnasco;5;1;1;82;43;20;12;86;1;1;6;0;5;139;;;;;;;;;;;;;;;;;;;170;9
Torre Canavese;6;4;2;111;51;28;15;66;0;0;13;2;7;53;;;;;;;;;;;;;;;;;;;118;1
Trausella;2;0;0;8;0;2;4;13;1;0;3;0;1;19;;;;;;;;;;;;;;;;;;;38;5
Traversella;34;0;1;40;22;7;7;18;0;0;5;0;2;23;;;;;;;;;;;;;;;;;;;110;4
Traves;6;0;2;60;19;7;6;72;0;2;25;0;1;56;;;;;;;;;;;;;;;;;;;140;7
Usseglio;0;0;0;32;18;2;4;30;0;0;2;0;0;34;;;;;;;;;;;;;;;;;;;51;2
Vallo Torinese;4;6;4;133;33;16;23;97;3;6;24;0;1;108;;;;;;;;;;;;;;;;;;;117;8
Valperga;10;9;8;494;263;74;40;303;7;6;46;2;5;404;;;;;;;;;;;;;;;;;;;566;30
Valprato Soana;2;0;0;24;7;3;1;9;0;0;1;0;0;11;;;;;;;;;;;;;;;;;;;26;0
Varisella;4;1;2;95;65;13;12;80;0;0;20;0;4;134;;;;;;;;;;;;;;;;;;;180;3
Vauda Canavese;6;7;2;259;131;29;26;116;3;9;23;1;2;206;;;;;;;;;;;;;;;;;;;280;12
Vestigne';8;2;2;129;63;20;16;91;3;1;9;5;3;117;;;;;;;;;;;;;;;;;;;155;11
Vialfre';3;1;0;24;25;7;11;26;1;0;4;1;0;40;;;;;;;;;;;;;;;;;;;33;0
Vico Canavese;20;1;0;93;44;20;15;80;2;1;22;4;2;65;;;;;;;;;;;;;;;;;;;275;10
Vidracco;5;3;0;24;16;3;7;39;2;2;3;5;0;230;;;;;;;;;;;;;;;;;;;70;2
Villanova Canavese;16;2;3;202;93;28;20;115;0;6;22;1;7;169;;;;;;;;;;;;;;;;;;;227;7
Vische;10;9;8;253;96;29;13;121;4;1;21;4;4;142;;;;;;;;;;;;;;;;;;;266;9
Vistrorio;6;0;0;49;35;9;13;64;3;1;13;0;5;90;;;;;;;;;;;;;;;;;;;105;7
Viu';5;5;7;194;82;30;14;87;2;5;7;0;6;110;;;;;;;;;;;;;;;;;;;289;6
Andezeno;12;8;6;317;153;54;49;181;1;3;38;6;8;355;;;;;;;;;;;;;;;;;;;267;12
Arignano;4;6;3;217;100;25;39;82;3;4;19;1;2;170;;;;;;;;;;;;;;;;;;;154;4
Baldissero Torinese;23;13;13;471;286;93;211;523;9;6;81;6;27;484;;;;;;;;;;;;;;;;;;;594;19
Borgaro Torinese;68;40;22;1319;733;259;217;1442;21;20;248;14;57;2590;;;;;;;;;;;;;;;;;;;1957;41
Brandizzo;69;21;29;1014;569;151;122;924;24;17;161;11;43;1665;;;;;;;;;;;;;;;;;;;1619;52
Brozolo;6;1;2;71;32;13;10;34;0;5;5;2;2;85;;;;;;;;;;;;;;;;;;;78;2
Brusasco;17;6;9;221;156;22;16;101;0;4;23;2;7;261;;;;;;;;;;;;;;;;;;;331;9
Caluso;54;32;29;960;537;163;160;898;16;13;150;10;38;983;;;;;;;;;;;;;;;;;;;1478;50
Casalborgone;11;5;4;218;102;35;67;214;7;3;43;4;10;222;;;;;;;;;;;;;;;;;;;371;12
Caselle Torinese;80;26;26;1576;877;243;259;1479;24;18;295;17;72;2295;;;;;;;;;;;;;;;;;;;2545;65
Castagneto po;19;3;12;184;135;33;72;200;5;5;59;2;13;241;;;;;;;;;;;;;;;;;;;289;7
Castiglione Torinese;39;24;26;838;556;151;227;863;13;17;151;6;42;960;;;;;;;;;;;;;;;;;;;1005;30
Cavagnolo;25;5;8;304;218;32;34;195;1;2;37;3;7;333;;;;;;;;;;;;;;;;;;;459;18
Chieri;167;140;109;3775;2486;787;1021;4805;95;90;663;90;226;5768;;;;;;;;;;;;;;;;;;;6439;180
Chivasso;176;93;520;2830;1639;418;467;2808;43;126;523;55;145;4637;;;;;;;;;;;;;;;;;;;5347;129
Cinzano;1;1;1;38;19;6;19;40;1;3;10;2;5;42;;;;;;;;;;;;;;;;;;;69;2
Foglizzo;21;13;5;321;151;51;31;191;3;3;40;2;8;410;;;;;;;;;;;;;;;;;;;443;14
Gassino Torinese;57;17;25;1122;705;196;248;1300;28;24;261;15;69;1493;;;;;;;;;;;;;;;;;;;1618;46
Lauriano;8;5;5;161;105;31;33;151;2;8;29;4;20;275;;;;;;;;;;;;;;;;;;;300;14
Leini;93;22;161;2065;1175;316;250;1550;27;28;272;33;97;2981;;;;;;;;;;;;;;;;;;;2834;70
Lombardore;8;15;4;219;131;27;21;170;0;0;33;95;7;272;;;;;;;;;;;;;;;;;;;306;10
Mappano;45;15;15;916;514;147;107;852;12;14;142;8;36;1486;;;;;;;;;;;;;;;;;;;1232;16
Marentino;8;1;6;176;103;22;39;170;4;7;39;6;5;193;;;;;;;;;;;;;;;;;;;255;6
Mazze';32;12;17;640;258;81;83;503;8;6;78;5;27;635;;;;;;;;;;;;;;;;;;;777;22
Mombello di Torino;0;0;2;58;36;9;13;50;1;2;8;2;0;67;;;;;;;;;;;;;;;;;;;55;1
Montaldo Torinese;5;1;0;105;59;14;36;90;1;1;18;0;10;117;;;;;;;;;;;;;;;;;;;126;4
Montanaro;44;14;41;618;313;95;86;644;12;13;125;7;66;831;;;;;;;;;;;;;;;;;;;1081;29
Monteu da po;2;2;0;119;49;7;16;84;0;4;19;2;10;135;;;;;;;;;;;;;;;;;;;178;0
