fullName;shortName;circleColor;shadeColor;emoji
LO;LO;#c46283;#c46283;🟪
Nathalie Perrin-Gilbert;LFI;#cc2443;#cc2443;🟪
Grégory Doucet;EÉLV;#00c000;#00c000;🟩
Sandrine Runel;PS;#ff8080;#ff8080;🟥
Georges Képénékian;Respirations;#FAC577;#FAC577;🟨
Yann Cucherat;LREM;#ffeb00;#ffeb00;🟨
Étienne Blanc;LR;#0066cc;#0066cc;🟦
Agnès Marion;RN;#475e88;#475e88;🟫
Denis Broloquier;LC;#00ffff;#00ffff;🟦
UPR;UPR;#c0c0c0;#c0c0c0;⬛
Bruno Dalmais;G-Dalmais;#ffc0c0;#ffc0c0;🟥
Michaël Jouteux;G-Jouteux;#ffc0c0;#ffc0c0;🟥
Autres;Autres;#c0c0c0;#c0c0c0;⬛
