Code B.Vote;@abs;@blank;@null;EÉLV;LR;LREM;Respirations;LFI;PS;RN;LC;LO;UPR;G-Dalmais;G-Jouteux
101;370;2;8;106;41;26;34;75;35;11;10;1;;6;
102;445;2;0;115;22;45;23;107;24;8;8;2;;1;
103;600;3;11;174;33;43;27;210;64;13;7;6;;6;
104;678;3;6;131;79;54;44;129;31;22;18;1;;10;
105;546;0;12;168;26;36;51;149;58;7;14;6;;9;
106;566;2;12;163;57;51;53;109;44;14;13;7;;6;
107;600;1;7;213;43;48;43;142;49;13;3;1;;5;
108;367;0;6;145;15;14;14;79;29;4;2;5;;1;
109;506;3;5;135;22;18;36;139;40;8;7;6;;4;
110;603;3;3;177;54;53;46;148;37;12;7;3;;4;
111;769;3;8;178;75;52;48;129;39;19;8;4;;5;
112;560;2;4;119;66;49;40;108;19;18;7;1;;0;
113;514;1;9;121;68;46;50;82;20;9;8;2;;4;
114;706;1;6;148;99;65;66;122;29;22;13;5;;2;
115;549;1;8;136;30;28;37;133;19;7;3;3;;6;
116;407;4;5;108;6;15;25;120;42;11;2;2;;0;
117;527;0;2;152;24;30;31;133;42;10;15;2;;6;
201;337;3;2;67;95;31;23;17;10;20;69;;;;
202;548;2;2;87;88;57;31;12;10;27;92;;;;
203;576;1;11;76;109;49;24;23;15;26;104;;;;
204;600;2;8;95;113;44;44;23;18;32;79;;;;
205;455;1;0;72;106;33;21;27;11;26;66;;;;
206;395;0;1;56;80;32;34;16;9;27;67;;;;
207;509;3;5;103;161;46;22;15;20;25;93;;;;
208;493;1;15;81;124;36;32;18;19;40;70;;;;
209;526;2;7;92;82;40;22;30;27;31;68;;;;
210;352;2;7;71;77;16;29;8;9;35;43;;;;
211;560;0;10;100;49;38;35;20;40;22;46;;;;
212;448;3;11;116;34;46;18;34;24;22;98;;;;
213;498;1;6;58;36;33;22;20;16;9;54;;;;
214;678;1;13;121;67;52;18;31;22;28;79;;;;
215;581;1;13;106;79;59;30;26;11;23;62;;;;
216;634;4;6;109;144;57;34;35;13;21;82;;;;
217;703;2;3;123;97;64;40;28;21;19;91;;;;
218;536;2;8;64;105;42;19;29;12;15;65;;;;
219;482;2;8;78;33;26;13;22;14;16;37;;;;
220;655;2;10;129;60;75;25;27;21;12;70;;;;
301;506;1;2;76;71;37;59;23;24;12;9;;;;
302;590;1;8;89;98;59;64;25;32;34;11;;;;
303;458;3;4;97;61;39;43;33;25;23;26;;;;
304;593;1;7;84;41;32;34;21;12;17;6;;;;
305;556;0;4;81;134;51;36;24;21;23;14;;;;
306;480;2;3;110;129;45;34;22;15;21;22;;;;
307;466;1;11;132;93;35;36;56;24;27;16;;;;
308;552;2;5;130;86;53;33;52;37;15;14;;;;
309;547;4;6;197;56;57;60;75;31;12;8;;;;
310;625;2;5;162;58;42;39;79;35;12;9;;;;
311;500;2;8;130;87;48;39;35;39;14;18;;;;
312;690;1;9;155;100;74;60;39;28;21;20;;;;
313;607;1;7;147;50;62;66;39;27;15;6;;;;
314;646;2;0;171;61;59;54;45;42;22;16;;;;
315;723;1;7;162;41;72;53;40;34;26;7;;;;
316;730;4;8;145;58;80;61;37;28;21;17;;;;
317;701;3;5;146;51;67;46;31;28;22;19;;;;
318;617;2;15;193;51;69;46;44;41;23;17;;;;
319;588;1;7;76;40;47;38;35;23;14;6;;;;
320;583;5;5;165;51;68;49;29;35;22;12;;;;
321;640;0;3;84;62;53;57;21;24;10;13;;;;
322;525;2;9;93;36;45;45;21;30;12;5;;;;
323;592;1;13;111;54;54;42;28;27;16;9;;;;
324;601;4;8;75;44;56;58;24;20;17;9;;;;
325;592;2;4;86;44;41;34;27;22;16;11;;;;
326;622;0;6;148;46;53;51;31;28;15;20;;;;
327;537;4;6;134;26;45;38;37;35;14;12;;;;
328;523;2;7;83;34;40;21;27;25;15;9;;;;
329;476;1;5;74;33;33;33;13;18;23;8;;;;
330;646;3;7;112;30;51;40;21;21;28;14;;;;
331;565;5;5;71;63;60;40;17;26;18;14;;;;
332;623;6;13;103;72;56;50;16;28;26;16;;;;
333;543;4;8;103;85;65;47;20;25;20;18;;;;
334;478;3;17;76;86;51;40;21;23;19;8;;;;
335;489;2;5;93;112;47;43;15;25;21;7;;;;
336;427;2;1;106;87;48;49;11;19;24;8;;;;
337;567;3;0;104;122;68;49;20;25;21;10;;;;
338;574;2;9;112;40;58;37;39;23;20;13;;;;
339;651;1;5;121;101;65;53;23;22;19;15;;;;
340;565;1;4;120;61;54;31;29;22;12;4;;;;
341;470;2;5;69;68;61;37;19;23;13;7;;;;
342;389;2;9;94;65;57;40;14;39;5;14;;;;
343;526;0;8;93;45;71;34;30;30;18;20;;;;
344;562;3;9;107;56;60;44;28;30;21;10;;;;
345;462;6;2;115;62;50;51;31;39;15;38;;;;
346;695;1;2;96;37;33;27;18;26;26;10;;;;
347;549;3;7;102;53;63;18;25;20;24;17;;;;
348;669;2;5;97;32;49;42;13;25;21;10;;;;
349;835;2;9;171;101;123;80;37;28;37;18;;;;
350;431;2;3;92;36;56;27;20;31;9;3;;;;
351;514;2;10;131;35;62;55;26;29;14;11;;;;
352;564;7;15;114;86;78;58;32;17;29;10;;;;
353;494;1;6;85;117;60;48;18;20;17;12;;;;
354;500;3;5;115;52;53;48;30;22;27;10;;;;
355;560;4;9;105;46;46;32;27;26;22;2;;;;
356;425;1;4;86;68;45;42;23;28;11;19;;;;
357;392;3;11;92;53;74;42;14;24;6;10;;;;
358;557;2;7;107;86;47;44;27;39;23;9;;;;
401;581;3;7;179;36;48;101;100;44;15;15;6;;;
402;509;0;9;114;48;44;59;51;34;11;7;4;;;
403;569;5;15;143;47;29;79;63;49;12;14;6;;;
404;513;0;4;141;63;49;87;65;26;19;9;2;;;
405;587;15;5;177;72;59;105;75;34;18;12;0;;;
406;443;2;11;64;56;46;61;17;12;16;10;7;;;
407;669;0;5;86;62;65;67;33;16;20;10;5;;;
408;703;0;5;152;45;43;90;92;49;18;7;8;;;
409;450;3;10;163;40;54;83;77;36;13;6;4;;;
410;448;1;18;189;26;24;60;101;45;11;4;4;;;
411;502;4;7;146;31;32;63;84;48;9;8;2;;;
412;544;1;5;172;24;37;74;73;40;14;8;9;;;
413;528;1;11;191;43;50;75;89;52;10;17;2;;;
414;471;2;9;164;28;24;84;80;41;12;3;2;;;
415;487;2;7;150;46;35;46;50;25;20;3;2;;;
416;446;1;11;46;87;39;57;24;21;17;17;1;;;
417;462;0;7;74;78;39;65;19;12;21;12;0;;;
418;513;5;10;39;30;22;51;42;13;17;14;3;;;
419;632;1;9;80;105;57;69;38;15;9;20;1;;;
420;457;2;7;80;54;49;114;42;9;13;6;1;;;
421;600;8;3;145;77;54;137;93;29;18;23;0;;;
422;699;5;12;89;51;28;63;49;35;19;9;4;;;
423;589;1;8;101;62;44;100;55;13;11;14;1;;;
424;667;2;10;180;37;37;88;56;37;14;9;3;;;
501;548;1;4;61;82;89;78;20;17;29;11;2;;;
502;633;1;11;30;41;59;68;22;18;20;11;7;;;
503;610;2;6;69;69;77;56;18;8;14;16;6;;;
504;533;1;6;55;94;63;98;11;3;14;8;2;;;
505;509;5;5;83;88;81;58;21;17;26;15;2;;;
506;456;1;6;52;90;77;75;8;9;28;9;1;;;
507;649;1;5;72;78;115;70;12;17;21;9;2;;;
508;640;2;3;77;68;65;32;20;10;17;6;1;;;
509;620;4;5;74;42;106;39;14;16;26;3;3;;;
510;625;2;3;65;88;57;61;23;11;24;5;3;;;
511;682;2;6;92;78;74;43;29;13;27;8;1;;;
512;636;5;6;82;66;78;52;30;25;22;15;1;;;
