;@abs;@blank;@invalid;EÉLV;UCD;Respirations
101;428;57;14;227;;
102;482;44;19;257;;
103;668;58;16;454;;
104;777;75;26;325;;
105;591;49;16;425;;
106;618;101;19;349;;
107;673;61;19;416;;
108;396;22;11;255;;
109;528;46;25;333;;
110;691;68;18;377;;
111;850;74;17;392;;
112;610;83;28;270;;
113;540;100;30;264;;
114;771;133;32;348;;
115;618;40;14;284;;
116;466;15;7;265;;
117;540;35;20;381;;
201;312;3;16;114;225;
202;519;10;7;148;270;
203;558;10;8;166;272;
204;625;10;4;197;223;
205;453;9;6;136;214;
206;390;9;6;125;186;
207;506;11;3;145;346;
208;467;12;13;179;258;
209;535;4;7;179;207;
210;348;2;5;123;173;
211;596;11;12;172;131;
212;515;4;15;191;129;
213;497;7;2;134;113;
214;722;12;4;214;160;
215;587;3;17;177;204;
216;630;12;8;200;290;
217;689;16;5;241;242;
218;507;3;4;155;226;
219;499;6;3;138;83;
220;686;4;5;228;173;
301;515;4;1;128;89;81
302;595;0;1;147;192;77
303;473;2;2;166;85;84
304;601;3;3;140;56;50
305;514;2;2;149;207;74
306;459;2;3;153;194;67
307;463;5;5;238;128;57
308;560;5;5;215;131;63
309;578;2;3;282;94;95
310;650;4;1;274;78;65
311;526;4;5;194;123;69
312;691;4;3;238;163;100
313;585;1;7;233;108;93
314;646;1;4;285;92;88
315;740;2;5;237;90;98
316;728;1;2;227;123;106
317;709;2;5;248;89;68
318;621;2;14;289;112;80
319;591;1;2;139;67;69
320;598;2;7;221;100;98
321;656;1;5;130;96;84
322;519;3;4;165;68;64
323;578;2;9;171;108;79
324;613;6;7;125;90;82
325;602;7;2;148;75;47
326;632;7;4;210;92;73
327;559;3;2;201;55;69
328;540;1;4;148;57;39
329;463;3;2;132;55;62
330;660;0;4;168;82;60
331;583;6;6;114;108;74
332;651;5;4;157;119;74
333;592;2;0;142;115;84
334;517;7;7;125;103;64
335;477;1;0;138;181;64
336;445;1;11;134;115;77
337;549;3;5;169;183;81
338;573;0;2;189;106;59
339;670;5;5;185;137;77
340;586;2;6;172;82;56
341;444;4;2;126;129;67
342;391;3;2;157;93;84
343;559;0;2;165;85;67
344;572;4;6;187;90;73
345;447;2;1;241;99;85
346;704;3;5;138;70;54
