fullName;shortName;circleColor;shadeColor;emoji
LO;LO;#c46283;#c46283;🟪
Mohamed Bensaada;G-Bensaada;#cc2443;#cc2443;🟪
Sébastien Barles;EÉLV;#00c000;#00c000;🟩
Michèle Rubirola;UG;#ff8080;#ff8080;🟥
Samia Ghali;G-Ghali;#cc6666;#cc6666;🟥
Yvon Berland;LREM;#ffeb00;#ffeb00;🟨
Martine Vassal;UD;#0066cc;#0066cc;🟦
Stéphane Ravier;RN;#475e88;#475e88;🟫
Bruno Gilles;D-Gilles;#00ffff;#00ffff;🟦
Hervé Manin;G-Manin;#ffc0c0;#ffc0c0;🟥
Georges Vinapon;G-Vinapon;#ffc0c0;#ffc0c0;🟥
POID;POID;#ffc0c0;#ffc0c0;🟥
UPR;UPR;#c0c0c0;#c0c0c0;⬛
PA;PA;#c0c0c0;#c0c0c0;⬛
EXD-Comas;EXD-Comas;#c0c0c0;#c0c0c0;⬛
D-Harouche;D-Harouche;#c0c0c0;#c0c0c0;⬛
Autres;Autres;#c0c0c0;#c0c0c0;⬛
UCD;UCD;#38AAE6;#38AAE6;🟦
