;@abs;@blank;@null;UG;UD;RN;D-Gilles;EÉLV;LREM;G-Ghali;G-Bensaada;LO;G-Manin;UPR;POID;G-Vinapon;PA;EXD-Comas;D-Harouche
101;716;4;1;196;44;20;14;34;18;34;;;;;;;;0;
102;532;3;0;82;54;20;6;22;26;13;;;;;;;;0;
104;664;3;5;108;51;8;6;14;9;20;;;;;;;;1;
121;762;2;4;123;62;29;19;41;25;29;;;;;;;;1;
122;825;4;6;265;39;22;12;58;17;26;;;;;;;;1;
125;488;3;7;111;59;32;9;32;47;7;;;;;;;;1;
126;561;5;5;284;33;28;7;62;25;17;;;;;;;;1;
127;527;2;10;265;42;24;8;44;19;16;;;;;;;;1;
128;557;6;12;301;34;18;12;48;28;11;;;;;;;;0;
141;641;1;4;113;54;12;10;25;9;44;;;;;;;;1;
142;707;6;2;80;51;12;16;22;16;48;;;;;;;;2;
181;823;6;2;267;64;20;13;54;21;25;;;;;;;;4;
182;450;3;3;270;34;26;21;45;12;16;;;;;;;;1;
183;703;3;12;338;41;49;25;46;18;20;;;;;;;;4;
184;784;3;4;363;41;26;15;69;20;15;;;;;;;;1;
186;833;3;7;329;55;38;28;74;40;13;;;;;;;;0;
187;749;7;6;323;58;56;39;77;29;16;;;;;;;;1;
188;867;3;7;215;69;65;39;69;30;20;;;;;;;;2;
201;432;2;7;86;81;45;53;33;26;12;;4;;;;;3;;
202;328;2;5;84;70;40;54;15;20;4;;1;;;;;3;;
204;421;2;7;106;36;35;68;33;11;13;;3;;;;;4;;
231;389;0;2;144;21;22;30;27;10;14;;4;;;;;2;;
233;489;1;5;119;61;51;85;16;26;17;;4;;;;;1;;
235;768;3;6;111;68;44;44;46;42;31;;4;;;;;6;;
238;834;7;16;192;77;43;74;50;37;29;;6;;;;;6;;
251;657;3;1;79;31;24;30;19;15;31;;2;;;;;0;;
252;891;6;9;97;44;45;63;25;20;43;;4;;;;;2;;
253;692;0;5;52;52;28;36;26;17;34;;4;;;;;2;;
254;843;4;3;84;57;37;67;31;26;25;;2;;;;;3;;
255;820;2;4;66;60;43;49;26;36;21;;1;;;;;6;;
281;351;0;1;25;18;26;15;1;3;14;;3;;;;;3;;
301;577;6;4;53;39;33;28;19;17;33;;4;;;;;1;;
302;582;5;5;35;46;32;39;15;16;24;;1;;;;;2;;
303;495;7;3;48;49;33;32;15;13;26;;1;;;;;5;;
351;630;4;4;45;69;37;63;16;8;39;;2;;;;;1;;
352;952;4;3;92;41;38;36;24;28;37;;3;;;;;4;;
353;576;4;5;32;39;18;40;9;17;19;;2;;;;;4;;
354;745;3;1;35;34;29;35;11;34;30;;4;;;;;3;;
356;1128;3;3;36;67;42;43;17;41;53;;2;;;;;1;;
357;1244;5;8;37;89;34;73;18;30;68;;5;;;;;1;;
358;1220;0;11;25;85;31;65;12;107;53;;4;;;;;2;;
360;614;4;3;35;30;50;52;13;30;18;;3;;;;;2;;
361;354;0;1;37;13;16;26;15;13;18;;0;;;;;3;;
362;861;7;1;36;33;32;59;7;13;21;;5;;;;;0;;
363;1022;7;2;81;56;43;38;22;27;46;;3;;;;;6;;
364;556;5;3;72;29;32;44;12;16;26;;10;;;;;3;;
365;448;2;1;54;14;47;20;15;9;19;;2;;;;;1;;
366;859;3;2;74;24;28;47;22;17;55;;5;;;;;3;;
368;803;6;12;172;40;72;56;16;18;24;;2;;;;;3;;
370;735;10;0;82;26;58;48;15;19;23;;0;;;;;2;;
371;784;5;7;104;40;73;51;18;10;15;;3;;;;;1;;
401;778;9;8;256;40;51;87;47;23;14;;;;;3;1;;;
402;713;4;4;291;37;60;62;36;28;10;;;;;2;3;;;
404;719;4;11;190;33;82;86;21;24;11;;;;;3;4;;;
406;911;0;6;104;61;86;91;32;38;13;;;;;2;2;;;
407;618;19;0;88;38;57;66;23;16;11;;;;;1;1;;;
408;612;3;6;79;27;46;77;11;12;7;;;;;3;1;;;
410;953;2;4;178;38;76;118;43;22;20;;;;;2;5;;;
421;917;4;4;157;43;84;110;46;16;14;;;;;1;2;;;
422;792;1;14;135;52;69;86;31;21;6;;;;;6;1;;;
424;563;1;7;59;21;57;136;19;14;15;;;;;2;2;;;
425;457;2;6;50;16;55;174;8;11;14;;;;;4;0;;;
426;458;6;6;57;19;53;87;20;12;7;;;;;1;1;;;
427;453;1;2;22;24;36;54;17;7;13;;;;;2;1;;;
428;948;3;6;82;61;73;96;21;18;25;;;;;2;7;;;
441;652;1;5;116;39;62;61;33;19;9;;;;;1;0;;;
442;448;4;0;73;30;49;62;16;12;12;;;;;3;1;;;
443;531;3;4;45;44;64;88;10;8;12;;;;;1;0;;;
451;574;3;9;275;34;38;58;38;40;6;;;;;3;1;;;
452;577;4;4;211;36;39;81;41;32;11;;;;;1;0;;;
453;477;5;0;141;41;37;89;32;22;11;;;;;4;0;;;
454;607;4;13;146;41;47;94;39;19;10;;;;;3;0;;;
455;431;2;5;96;32;43;96;27;12;2;;;;;1;1;;;
456;548;5;5;154;40;49;105;25;17;4;;;;;0;1;;;
471;695;3;9;157;44;64;111;46;26;12;;;;;3;4;;;
473;748;0;10;62;58;74;117;27;18;14;;;;;2;3;;;
474;692;2;7;85;57;60;113;29;21;6;;;;;0;1;;;
475;785;2;6;109;54;66;96;30;24;6;;;;;3;3;;;
491;635;1;10;93;21;43;84;18;11;6;;;;;0;6;;;
501;306;0;3;214;24;11;18;22;17;2;;;;;0;0;;;
502;640;2;1;399;35;39;68;50;19;15;;;;;5;0;;;
504;661;3;7;378;40;33;51;58;33;6;;;;;2;0;;;
505;380;1;3;165;12;29;38;21;10;4;;;;;1;1;;;
506;759;7;5;335;46;63;72;54;25;20;;;;;2;3;;;
507;406;7;5;158;30;31;53;21;20;2;;;;;4;0;;;
508;632;3;10;194;28;43;94;43;17;14;;;;;2;4;;;
510;530;8;8;177;32;34;82;57;15;10;;;;;4;2;;;
511;577;3;8;170;41;39;59;60;17;8;;;;;2;2;;;
512;662;2;8;212;53;49;112;54;42;6;;;;;1;1;;;
513;555;2;10;197;40;43;82;51;27;11;;;;;5;1;;;
514;645;3;11;129;38;63;116;25;17;8;;;;;4;2;;;
515;577;0;4;100;33;48;66;38;24;4;;;;;3;1;;;
551;803;6;5;223;43;70;102;51;42;20;;;;;0;3;;;
552;704;3;7;188;47;61;55;52;33;7;;;;;1;2;;;
554;792;3;14;148;59;75;71;38;29;11;;;;;4;3;;;
555;628;1;3;122;26;32;45;35;17;9;;;;;3;1;;;
556;848;6;11;119;65;89;62;32;29;16;;;;;0;2;;;
557;615;10;2;92;38;55;127;17;18;13;;;;;2;3;;;
558;424;3;2;30;23;33;70;16;10;4;;;;;1;2;;;
559;764;2;9;85;44;62;133;18;47;9;;;;;1;1;;;
560;659;2;8;74;34;41;80;21;11;10;;;;;3;3;;;
561;713;0;8;144;31;62;122;26;29;11;;;;;4;1;;;
563;655;0;14;55;32;49;144;19;11;12;;;;;2;0;;;
601;644;2;3;284;33;25;26;42;16;9;;;;;;;;;
602;385;0;2;96;39;31;28;41;23;7;;;;;;;;;
603;652;2;9;217;55;30;17;41;39;13;;;;;;;;;
604;804;8;5;229;73;67;40;94;49;12;;;;;;;;;
605;841;3;5;191;86;67;29;79;56;13;;;;;;;;;
607;727;3;7;135;137;45;43;64;80;6;;;;;;;;;
608;418;0;0;96;59;29;23;34;50;7;;;;;;;;;
