;@abs;@blank;@invalid;UG;UD;RN;D-Gilles;G-Ghali;LREM
101;696;7;2;296;64;19;;;
102;486;13;0;150;90;22;;;
104;645;3;3;164;63;14;;;
121;708;3;2;270;75;37;;;
122;800;6;3;376;65;29;;;
125;452;7;5;215;83;30;;;
126;528;2;5;412;51;31;;;
127;506;5;8;362;51;27;;;
128;538;6;1;397;63;19;;;
141;632;5;0;181;82;19;;;
142;727;5;3;135;78;18;;;
181;788;3;2;394;96;20;;;
182;404;5;5;381;58;27;;;
183;673;4;4;451;65;58;;;
184;753;7;4;481;63;35;;;
186;794;7;7;479;90;46;;;
187;691;4;4;500;102;62;;;
188;805;10;10;382;109;73;;;
201;411;6;4;169;102;42;47;;
202;299;2;1;131;102;45;43;;
204;386;3;1;187;60;36;66;;
231;367;4;0;203;38;20;35;;
233;448;4;0;202;83;44;89;;
235;772;3;4;222;68;45;60;;
238;809;9;10;328;103;42;77;;
251;651;4;2;127;41;26;42;;
252;852;10;2;179;57;47;100;;
253;673;5;7;123;63;24;53;;
254;813;7;2;166;82;43;74;;
255;800;6;3;158;82;41;42;;
281;352;0;1;58;21;16;13;;
301;594;3;4;82;63;35;37;;
302;563;4;2;98;50;38;51;;
303;502;5;1;86;56;32;43;;
351;599;6;4;107;80;39;88;;
352;940;3;4;174;50;34;63;;
353;591;7;2;63;48;17;41;;
354;765;4;4;76;44;31;39;;
356;1138;2;2;103;87;37;70;;
357;1268;7;5;117;107;30;96;;
358;1215;4;8;74;151;32;145;;
360;609;5;4;94;35;47;61;;
361;357;0;2;63;13;18;42;;
362;875;5;4;78;43;24;56;;
363;1050;8;2;153;48;45;51;;
364;568;6;4;109;39;33;54;;
365;480;0;1;79;19;35;21;;
366;878;5;0;124;50;34;52;;
368;804;3;0;235;53;71;57;;
370;749;2;3;120;36;63;47;;
371;761;6;6;164;41;75;55;;
401;727;1;10;383;;66;123;;
402;649;8;3;426;;62;101;;
404;672;10;0;302;;86;119;;
406;872;10;6;211;;91;155;;
407;600;7;5;166;;57;102;;
408;595;6;4;158;;39;86;;
410;920;2;5;318;;87;128;;
421;899;6;6;292;;86;111;;
422;709;5;6;265;;74;158;;
424;542;2;6;122;;62;161;;
425;431;4;1;107;;64;184;;
426;437;8;6;118;;57;101;;
427;452;1;0;60;;33;88;;
428;941;11;4;171;;83;130;;
441;620;8;1;206;;66;99;;
442;434;4;4;114;;60;94;;
443;543;0;15;94;;64;98;;
451;544;15;4;386;;40;90;;
452;534;5;1;329;;45;125;;
453;437;5;2;226;;58;127;;
454;598;5;4;235;;57;117;;
455;382;2;6;184;;53;120;;
456;509;7;4;226;;65;140;;
471;682;5;5;254;;74;152;;
473;692;5;3;168;;100;155;;
474;665;3;2;163;;67;171;;
475;751;5;3;215;;73;138;;
491;610;0;1;168;;49;99;;
501;254;3;0;295;;16;46;;
502;596;4;1;523;;41;105;;
504;599;8;4;529;;42;92;;
505;355;0;0;224;;32;53;;
