RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Lijst Leschot;@abs
Aalburg-G0738;8;;1415;640;433;144;842.0;7.0;10.0;31.0;41.0;7.0;2946
Aalsmeer-G0358;39;;3351;1979;2185;855;93.0;71.0;124.0;77.0;63.0;30.0;5204
Aalten-G0197;32;;5090;1433;761;298;59.0;11.0;66.0;101.0;80.0;16.0;4044
Aardenburg-G0648;13;;868;413;372;84;6.0;4.0;27.0;24.0;6.0;10.0;1110
Aarle-Rixtel-G0739;10;;945;445;219;113;2.0;7.0;9.0;22.0;2.0;9.0;1615
Abbenbroek-G0481;4;;96;231;188;58;11.0;4.0;5.0;6.0;1.0;1.0;310
Abcoude-G0305;35;;1364;603;1035;424;51.0;32.0;58.0;61.0;39.0;6.0;1514
Achtkarspelen-G0059;35;;5870;3840;535;386;183.0;80.0;70.0;79.0;443.0;10.0;5479
Adorp-G0001;5;;358;208;147;59;6.0;2.0;2.0;36.0;85.0;1.0;321
Aduard-G0002;2;;484;427;225;74;7.0;7.0;23.0;18.0;133.0;4.0;419
Akersloot-G0360;11;;924;448;385;211;6.0;13.0;40.0;41.0;6.0;6.0;1145
Alblasserdam-G0482;30;;1631;3098;780;563;633.0;40.0;83.0;55.0;103.0;14.0;4729
Alkemade-G0483;23;;2893;675;892;372;17.0;13.0;81.0;72.0;5.0;25.0;3359
Alkmaar-G0361;142;;7445;8872;5700;3301;77.0;667.0;783.0;641.0;139.0;131.0;19979
Almelo-G0141;121;;9058;10665;3355;2282;181.0;541.0;313.0;339.0;192.0;63.0;15379
Alphen aan den Rijn-G0484;111;;7439;4264;3850;2144;521.0;127.0;318.0;375.0;170.0;71.0;14422
Alphen en Riel-G0741;28;;3113;793;428;275;5.0;14.0;65.0;50.0;;24.0;4031
Ambt Delden-G0142;8;;2028;315;263;95;2.0;2.0;14.0;20.0;2.0;1.0;890
Ameide-G0485;11;;647;428;139;64;151.0;6.0;5.0;7.0;9.0;;442
Ameland-G0060;9;;761;448;250;93;6.0;12.0;30.0;17.0;13.0;4.0;442
Amerongen-G0306;19;;968;671;600;217;198.0;7.0;30.0;37.0;19.0;8.0;1583
Amersfoort-G0307;211;;12747;10016;6424;4548;657.0;452.0;571.0;623.0;1328.0;97.0;24215
Ammerstol-G0486;0;;46;472;96;80;11.0;31.0;12.0;5.0;;3.0;359
Ammerzoden-G0198;10;;1012;376;187;81;31.0;5.0;5.0;12.0;3.0;;971
Amstelveen-G0362;168;;8976;6997;10208;5023;158.0;431.0;854.0;811.0;124.0;96.0;18603
Amstenrade-G0884;22;;723;400;139;86;1.0;16.0;20.0;23.0;4.0;50.0;968
Amsterdam-G0363;1711;;45916;110020;41743;33106;1130.0;28252.0;11553.0;6032.0;868.0;998.0;259795
Andijk-G0364;6;;974;483;247;176;52.0;82.0;33.0;34.0;31.0;2.0;1529
Angerlo-G0199;4;;844;565;195;119;2.0;4.0;10.0;37.0;7.0;3.0;1106
Anloo-G0105;8;;175;1471;934;267;5.0;32.0;58.0;40.0;12.0;1.0;1791
Anna Paulowna-G0366;20;;1307;1062;1143;308;25.0;53.0;28.0;82.0;49.0;14.0;2690
Apeldoorn-G0200;287;;21087;17764;11238;5860;1382.0;316.0;789.0;980.0;442.0;121.0;36917
Appeltern-G0201;19;;1213;307;91;41;3.0;3.0;18.0;12.0;3.0;6.0;1149
Appingedam-G0003;26;;1652;2475;594;294;26.0;92.0;55.0;84.0;105.0;7.0;3738
Arcen en Velden-G0885;19;;2016;498;337;140;;13.0;33.0;34.0;3.0;20.0;2156
Arkel-G0487;8;;298;710;278;118;18.0;10.0;17.0;21.0;6.0;1.0;688
Arnemuiden-G0649;15;;360;276;118;60;330.0;4.0;10.0;12.0;12.0;3.0;1244
Arnhem-G0202;265;;14982;17548;8194;5258;233.0;576.0;1261.0;1203.0;324.0;191.0;44164
Asperen-G0488;0;;425;243;212;66;74.0;7.0;5.0;18.0;3.0;9.0;691
Assen-G0106;95;;4676;8090;2992;1956;150.0;196.0;343.0;573.0;1261.0;30.0;11395
Asten-G0743;15;;1441;345;307;113;;2.0;26.0;18.0;;6.0;1507
Avereest-G0143;21;;3136;1468;807;305;69.0;14.0;32.0;46.0;109.0;19.0;3188
Axel-G0650;29;;1736;1492;649;201;73.0;16.0;40.0;61.0;495.0;22.0;3797
Baarderadeel-G0061;10;;682;909;433;192;4.0;13.0;41.0;52.0;5.0;2.0;1131
Baarle-Nassau-G0744;26;;1613;396;287;79;1.0;3.0;29.0;24.0;7.0;2.0;1628
Baarn-G0308;53;;3210;2436;2937;1206;227.0;72.0;230.0;199.0;99.0;34.0;7132
Baexem-G0886;8;;573;118;81;50;;3.0;10.0;13.0;;11.0;607
Baflo-G0004;7;;696;429;207;77;7.0;10.0;20.0;30.0;67.0;6.0;527
Bakel en Milheeze-G0745;11;;1791;549;177;100;2.0;12.0;31.0;27.0;2.0;4.0;2036
Bangert-G1246;14;;1607;576;485;284;5.0;34.0;54.0;77.0;2.0;27.0;2032
Barendrecht-G0489;26;;2736;1546;1464;773;640.0;29.0;83.0;70.0;116.0;18.0;3968
Barneveld-G0203;38;;6673;1453;2014;735;1984.0;31.0;42.0;133.0;143.0;25.0;9679
Barradeel-G0062;17;;1797;782;214;123;11.0;17.0;20.0;14.0;31.0;1.0;1502
Barsingerhorn-G0369;9;;175;777;443;89;4.0;21.0;17.0;19.0;2.0;13.0;900
Batenburg-G0204;5;;163;51;18;15;2.0;;10.0;3.0;;;144
Bathmen-G0144;7;;594;616;772;268;4.0;6.0;19.0;24.0;6.0;2.0;1020
Bedum-G0005;18;;2103;1040;459;356;45.0;16.0;57.0;68.0;635.0;6.0;1598
Beegden-G0887;11;;271;178;74;41;1.0;4.0;4.0;11.0;;17.0;547
Beek-G0888;85;;2201;1214;659;339;9.0;22.0;48.0;63.0;4.0;123.0;4239
Beek en Donk-G0746;25;;1741;873;245;139;3.0;70.0;40.0;41.0;;6.0;2425
Beemster-G0370;12;;1020;924;1100;293;10.0;50.0;104.0;44.0;11.0;23.0;1843
