RegioNaam;@invalid;@blank;PvdA;CDA;VVD;CPN/GNP/PPR/PSP;SGP-GPV-RPF;Centrumpartij;D66;Europese Groenen;God Met Ons;@abs
Aalburg-G0738;17;;613;1121;492;58;1150.0;50;33.0;29.0;10.0;3419.0
Aalsmeer-G0358;54;;2073;2767;2257;329;329.0;195;179.0;105.0;24.0;6397.0
Aalten-G0197;36;;1564;4441;845;241;308.0;62;102.0;68.0;28.0;5081.0
Aardenburg-G0648;17;;345;581;408;33;13.0;27;78.0;10.0;7.0;1133.0
Aarle-Rixtel-G0739;17;;503;963;299;60;10.0;32;29.0;25.0;6.0;1883.0
Abcoude-G0305;20;;699;1045;1184;170;135.0;78;132.0;44.0;10.0;1999.0
Achtkarspelen-G0059;62;;4409;4555;752;293;1227.0;63;90.0;102.0;26.0;6895.0
Adorp-G0001;1;;221;293;156;72;114.0;6;10.0;9.0;4.0;414.0
Aduard-G0002;6;;452;412;200;62;199.0;14;31.0;14.0;3.0;602.0
Akersloot-G0360;19;;491;792;426;108;17.0;39;69.0;41.0;11.0;1489.0
Alblasserdam-G0482;45;;2897;1226;812;233;948.0;137;101.0;89.0;29.0;5675.0
Alkemade-G0483;39;;970;2551;1040;271;41.0;87;85.0;75.0;14.0;4122.0
Alkmaar-G0361;238;;11022;6347;5524;2780;523.0;897;708.0;556.0;113.0;31081.0
Almelo-G0141;161;;10212;6681;3463;983;637.0;564;491.0;242.0;67.0;20013.0
Almere-G0034;61;;5101;958;1673;1024;119.0;609;356.0;193.0;26.0;13335.0
Alphen aan den Rijn-G0484;166;;5166;5775;5000;942;1171.0;354;507.0;297.0;78.0;18336.0
Alphen en Riel-G0741;17;;403;1238;409;62;6.0;37;31.0;12.0;5.0;1852.0
Ambt Delden-G0142;14;;279;1827;427;27;;19;23.0;15.0;2.0;1247.0
Ameide-G0485;5;;404;534;157;23;262.0;10;21.0;2.0;3.0;692.0
Ameland-G0060;7;;485;601;302;54;49.0;7;38.0;16.0;1.0;696.0
Amerongen-G0306;22;;691;817;631;77;272.0;37;65.0;28.0;4.0;2041.0
Amersfoort-G0307;260;;9937;9627;6902;1930;2543.0;700;966.0;349.0;85.0;30532.0
Ammerstol-G0486;11;;526;53;85;47;14.0;8;11.0;13.0;1.0;411.0
Ammerzoden-G0198;13;;369;796;167;29;61.0;27;33.0;8.0;4.0;1379.0
Amstelveen-G0362;212;;7929;6804;10420;2054;537.0;743;1156.0;549.0;112.0;23255.0
Amsterdam-G0363;1787;;96662;28547;34874;32452;2265.0;15199;6767.0;3534.0;851.0;287148.0
Andijk-G0364;21;;590;768;308;156;225.0;35;40.0;32.0;6.0;1819.0
Angerlo-G0199;11;;621;760;210;43;15.0;21;38.0;23.0;8.0;1349.0
Anloo-G0105;18;;1588;193;1056;188;43.0;31;61.0;43.0;2.0;1923.0
Anna Paulowna-G0366;29;;1059;1126;1170;159;115.0;59;100.0;46.0;14.0;3310.0
Apeldoorn-G0200;330;;17846;15086;12568;2061;3231.0;986;1467.0;535.0;188.0;50423.0
Appingedam-G0003;41;;2787;1233;588;219;199.0;70;64.0;41.0;23.0;4172.0
Arcen en Velden-G0885;18;;520;1455;437;113;9.0;28;45.0;37.0;19.0;3268.0
Arkel-G0487;9;;736;254;290;47;38.0;22;29.0;14.0;7.0;909.0
Arnemuiden-G0649;5;;238;251;174;15;458.0;15;9.0;8.0;5.0;1621.0
Arnhem-G0202;327;;18714;10809;8627;3375;1000.0;1418;1207.0;638.0;260.0;51450.0
Asperen-G0488;1;;260;322;234;25;126.0;15;18.0;7.0;10.0;940.0
Assen-G0106;112;;8515;3698;3397;1150;1714.0;227;457.0;244.0;49.0;14935.0
Asten-G0743;37;;979;2991;659;209;8.0;52;73.0;56.0;28.0;4885.0
Avereest-G0143;46;;1629;2623;1022;123;442.0;65;97.0;42.0;30.0;3823.0
Axel-G0650;24;;1204;1308;638;101;683.0;73;66.0;41.0;22.0;4575.0
Baarle-Nassau-G0744;3;;375;1223;413;78;11.0;35;26.0;22.0;13.0;1847.0
Baarn-G0308;56;;2626;2604;3297;496;537.0;160;245.0;131.0;34.0;8240.0
Baexem-G0886;5;;146;524;99;21;;5;7.0;5.0;6.0;813.0
Baflo-G0004;4;;450;540;204;60;105.0;10;22.0;6.0;2.0;663.0
Bakel en Milheeze-G0745;22;;603;1789;254;76;5.0;28;47.0;27.0;7.0;2455.0
Barendrecht-G0489;38;;1682;2332;1771;228;1018.0;194;199.0;105.0;17.0;5745.0
Barneveld-G0203;78;;1591;5212;2632;273;3594.0;176;162.0;90.0;45.0;11836.0
Barsingerhorn-G0369;13;;780;152;417;81;14.0;30;30.0;19.0;4.0;1241.0
Bathmen-G0144;12;;681;544;827;74;17.0;15;85.0;25.0;2.0;1390.0
Bedum-G0005;15;;1188;1749;526;170;840.0;24;72.0;35.0;3.0;2200.0
Beegden-G0887;5;;135;239;96;18;;12;20.0;9.0;5.0;716.0
Beek-G0888;84;;1732;2330;1085;264;29.0;89;137.0;94.0;99.0;6116.0
Beek en Donk-G0746;14;;743;1495;302;204;9.0;41;41.0;20.0;19.0;3306.0
Beemster-G0370;24;;1089;969;1084;171;27.0;42;105.0;34.0;6.0;2162.0
Beers-G0747;6;;232;832;119;41;2.0;15;23.0;7.0;5.0;824.0
Beerta-G0006;21;;684;67;180;669;15.0;24;10.0;22.0;2.0;729.0
Beesel-G0889;58;;1100;1731;454;124;16.0;67;59.0;40.0;40.0;4738.0
Beilen-G0107;32;;2720;1872;1116;182;212.0;55;97.0;57.0;18.0;3601.0
Belfeld-G0890;21;;473;842;197;41;4.0;30;19.0;15.0;20.0;1818.0
Bellingwedde-G0007;47;;2828;487;592;348;91.0;62;38.0;35.0;12.0;2679.0
Bemmel-G0206;37;;1593;2558;621;178;22.0;45;92.0;40.0;28.0;5749.0
Bennebroek-G0372;27;;427;935;1030;114;45.0;19;84.0;31.0;10.0;1666.0
Benschop-G0309;14;;123;555;187;23;320.0;13;16.0;12.0;5.0;895.0
Benthuizen-G0490;11;;263;251;298;26;324.0;18;40.0;10.0;1.0;956.0
Bergambacht-G0491;36;;727;520;528;48;456.0;58;46.0;19.0;4.0;1463.0
Bergen-G0373;35;;1622;1548;2157;429;50.0;172;200.0;142.0;24.0;4181.0
Bergen-G0893;54;;1155;2356;552;137;14.0;54;66.0;33.0;25.0;4896.0
Bergen op Zoom-G0748;142;;5338;4899;3815;675;132.0;587;335.0;141.0;48.0;16672.0
Bergeyk-G0749;26;;761;1853;482;116;18.0;47;58.0;34.0;23.0;3374.0
Bergh-G0207;53;;1783;3126;890;203;39.0;94;85.0;50.0;53.0;6382.0
Berghem-G0750;12;;712;662;187;55;7.0;27;37.0;19.0;7.0;2162.0
Bergschenhoek-G0492;6;;593;1106;641;64;250.0;109;60.0;42.0;15.0;2083.0
Berkel en Rodenrijs-G0493;39;;949;2502;1546;170;708.0;150;174.0;79.0;17.0;4171.0
Berkel-Enschot-G0751;18;;766;1993;982;179;14.0;50;104.0;42.0;7.0;2697.0
Berkenwoude-G0494;3;;156;113;215;16;129.0;6;23.0;12.0;1.0;342.0
Berlicum-G0752;13;;879;1452;468;105;13.0;30;48.0;35.0;20.0;2828.0
Bernisse-G0568;30;;1557;1115;1222;155;209.0;132;130.0;60.0;15.0;4138.0
Best-G0753;44;;1687;2642;964;254;71.0;156;169.0;96.0;25.0;7341.0
Beuningen-G0209;29;;1802;2170;785;304;45.0;72;137.0;82.0;28.0;7331.0
Beverwijk-G0375;81;;5344;3498;2097;1037;211.0;364;263.0;198.0;73.0;13213.0
Bierum-G0008;8;;496;803;276;64;78.0;12;21.0;20.0;7.0;1235.0
Binnenmaas-G0585;41;;2236;1610;1816;207;597.0;155;147.0;63.0;12.0;6183.0
Bladel en Netersel-G0754;23;;682;1621;388;141;12.0;39;46.0;46.0;10.0;3593.0
Blaricum-G0376;17;;977;1000;1764;272;68.0;86;178.0;79.0;4.0;3468.0
Bleiswijk-G0495;17;;575;1195;940;62;288.0;58;96.0;40.0;13.0;2299.0
Bleskensgraaf en Hofwegen-G0496;4;;134;290;130;30;345.0;9;19.0;5.0;3.0;647.0
Bloemendaal-G0377;54;;1463;2075;3830;339;130.0;124;258.0;139.0;22.0;5039.0
Bodegraven-G0497;40;;1341;2406;1325;234;777.0;121;147.0;62.0;21.0;5425.0
Boekel-G0755;26;;694;2020;326;110;5.0;46;32.0;36.0;9.0;2604.0
Bolsward-G0064;28;;1504;1761;484;139;94.0;13;52.0;24.0;18.0;2996.0
Boornsterhem-G0057;36;;4558;1399;1421;249;124.0;32;179.0;76.0;4.0;4436.0
Borculo-G0211;44;;1880;1231;1182;139;49.0;38;94.0;39.0;15.0;2504.0
Borger-G0108;41;;3079;1158;1033;225;172.0;41;100.0;44.0;7.0;3259.0
Born-G0897;19;;1399;2117;465;176;26.0;66;85.0;92.0;91.0;5200.0
Borne-G0147;5;;2605;3961;1086;218;94.0;60;166.0;93.0;33.0;5083.0
Borsele-G0654;29;;1582;2722;1214;250;1144.0;116;115.0;75.0;25.0;6595.0
Boskoop-G0499;39;;1107;2065;1465;348;475.0;112;136.0;92.0;26.0;4025.0
Boxmeer-G0756;43;;1713;2708;707;254;23.0;68;112.0;57.0;20.0;4232.0
Boxtel-G0757;47;;2368;3219;1058;372;40.0;113;202.0;96.0;57.0;9448.0
Brakel-G0212;15;;668;544;212;33;693.0;21;28.0;13.0;8.0;2121.0
Brandwijk-G0500;1;;104;186;87;9;118.0;2;3.0;1.0;;275.0
Breda-G0758;332;;13316;12774;8364;2423;347.0;1371;1016.0;508.0;218.0;50320.0
