RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP-GPV-RPF;GL;DG;SP;Centrumdemocraten;Een Betere Toekomst;Lijst de Groen;@abs
Aalburg-G0738;10;;915;309;400;157;1534.0;26;28;13.0;32.0;7.0;;4542
Aalsmeer-G0358;10;;1954;1280;1650;702;367.0;159;116;20.0;60.0;15.0;7.0;10785
Aalten-G0197;19;;3668;988;694;475;349.0;111;130;25.0;16.0;15.0;20.0;7362
Aardenburg-G0648;11;;375;214;305;180;16.0;26;54;4.0;9.0;2.0;2.0;1756
Aarle-Rixtel-G0739;10;;831;334;258;179;5.0;25;21;18.0;13.0;4.0;8.0;2783
Abcoude-G0305;7;;878;516;822;357;147.0;86;106;13.0;29.0;4.0;7.0;3126
Achtkarspelen-G0059;7;;3402;1855;499;349;1332.0;86;194;27.0;37.0;8.0;5.0;12878
Akersloot-G0360;4;;451;288;320;160;24.0;25;35;8.0;11.0;4.0;6.0;2363
Alblasserdam-G0482;14;;1062;1424;624;443;1323.0;72;38;32.0;67.0;20.0;6.0;8140
Albrandswaard-G0613;12;;1339;743;1276;442;307.0;93;83;31.0;41.0;22.0;10.0;7340
Alkemade-G0483;15;;1439;577;1158;327;56.0;106;113;22.0;40.0;15.0;5.0;6756
Alkmaar-G0361;48;;5221;7026;3810;3039;634.0;1447;700;639.0;254.0;65.0;44.0;44241
Almelo-G0141;50;;5243;4395;2252;1747;699.0;415;298;183.0;138.0;36.0;134.0;31476
Almere-G0034;81;;2737;5985;5010;3793;526.0;991;427;291.0;360.0;82.0;45.0;48498
Alphen aan den Rijn-G0484;32;;4464;3093;4132;2408;1593.0;496;289;495.0;134.0;39.0;19.0;31370
Alphen en Riel-G0741;4;;964;219;279;178;13.0;20;33;6.0;7.0;9.0;2.0;2983
Ambt Delden-G0142;3;;1365;171;310;80;10.0;8;42;6.0;12.0;;7.0;1987
Ambt Montfort-G1679;11;;1873;527;379;373;18.0;90;25;16.0;58.0;9.0;9.0;5376
Ameland-G0060;3;;635;343;228;123;15.0;25;30;5.0;7.0;;1.0;1144
