RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SGP-GPV-RPF;D66;SP;De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala;@abs
Aa en Hunze-G1680;;9.0;995;2236;1889;724;150;353;200;55;16;14;18.0;12607
Aalburg-G0738;;13.0;813;248;360;76;1510;52;64;17;11;5;4.0;5255
Aalsmeer-G0358;;15.0;1318;920;1475;458;397;325;132;33;23;25;21.0;12179
Aalten-G0197;;23.0;3122;779;556;418;393;147;145;20;15;12;4.0;8238
Abcoude-G0305;;23.0;606;428;805;330;135;257;74;8;6;18;36.0;3549
Achtkarspelen-G0059;;29.0;3298;1557;573;444;1151;102;245;24;32;5;5.0;13673
Akersloot-G0360;;6.0;264;187;266;107;30;66;36;8;7;11;5.0;2636
Alblasserdam-G0482;;6.0;816;1053;508;229;1349;124;137;23;16;6;4.0;8988
Albrandswaard-G0613;;12.0;937;656;975;300;298;218;139;37;16;18;10.0;8588
Alkemade-G0483;;9.0;1146;395;977;301;35;117;123;13;17;5;11.0;7606
Alkmaar-G0361;;60.0;3174;4700;3267;3290;444;1118;1724;140;95;60;50.0;50809
Almelo-G0141;;52.0;3606;3311;2162;1361;623;571;679;70;39;26;16.0;36307
Almere-G0034;;111.0;2487;5832;6215;3537;803;1819;1135;248;129;127;144.0;72013
Alphen aan den Rijn-G0484;;47.0;3320;2531;3522;1641;1537;963;861;107;90;81;56.0;36586
Alphen-Chaam-G1723;;7.0;1126;301;530;184;10;82;71;9;16;2;2.0;4782
Ambt Delden-G0142;;11.0;1140;106;258;50;6;33;26;6;5;12;0.0;2359
Ambt Montfort-G1679;;30.0;1577;353;298;196;9;68;93;16;16;18;1.0;5981
Ameland-G0060;;2.0;471;330;245;88;24;40;34;6;2;2;5.0;1408
Amerongen-G0306;;5.0;507;221;451;145;436;119;58;17;3;3;4.0;3519
Amersfoort-G0307;;105.0;5789;5484;5909;4868;3801;2038;1326;146;77;73;75.0;61469
Amstelveen-G0362;;0.0;3534;4185;6479;3046;570;1778;630;176;107;121;106.0;38105
Amsterdam-G0363;;1398.0;11957;35921;22886;32469;2021;11938;9431;952;946;684;2669.0;393844
Andijk-G0364;;2.0;439;243;260;114;236;36;60;9;8;3;2.0;3282
Angerlo-G0199;;3.0;442;243;206;100;9;54;54;12;2;6;0.0;2578
Anna Paulowna-G0366;;14.0;737;516;854;216;83;142;72;27;12;22;8.0;7478
Apeldoorn-G0200;;84.0;8988;7937;8073;4188;4100;2024;1281;212;155;108;82.0;80178
Appingedam-G0003;;5.0;720;873;364;163;169;103;146;30;8;8;8.0;7095
Arcen en Velden-G0885;;16.0;1353;290;320;154;18;76;52;15;8;5;0.0;4432
Arnhem-G0202;;207.0;5560;7080;5375;5547;1062;2041;2202;187;156;84;66.0;75860
Assen-G0106;;40.0;2901;4142;2349;1724;2119;812;699;123;55;21;25.0;28057
Asten-G0743;;18.0;1641;495;1394;369;15;162;162;19;15;3;5.0;7451
Avereest-G0143;;12.0;1656;789;695;214;472;110;109;13;12;11;5.0;7365
Axel-G0650;;18.0;665;434;344;151;518;349;61;12;18;16;3.0;6406
Baarle-Nassau-G0744;;6.0;854;177;238;102;11;76;38;6;11;1;4.0;3103
Baarn-G0308;;16.0;1427;1056;2024;877;622;473;269;46;29;23;24.0;11615
Barendrecht-G0489;;14.0;1624;946;1362;610;1333;340;208;26;31;26;10.0;13477
Barneveld-G0203;;10.0;3658;890;1804;530;5567;261;178;49;44;16;15.0;20142
Bathmen-G0144;;5.0;372;371;522;169;25;86;34;6;6;3;4.0;2428
Bedum-G0005;;17.0;1273;668;342;266;792;138;84;21;6;7;2.0;4318
Beek-G0888;;22.0;1882;548;663;455;17;174;160;19;18;24;9.0;9210
Beemster-G0370;;9.0;371;507;701;217;32;112;83;26;5;4;11.0;4301
Beesel-G0889;;12.0;1427;400;352;226;16;76;79;8;45;6;6.0;7228
Belfeld-G0890;;4.0;561;158;164;76;1;28;28;4;11;0;0.0;3050
Bellingwedde-G0007;;23.0;421;987;465;237;76;85;144;15;22;2;4.0;5024
Bemmel-G0206;;15.0;1332;744;624;319;30;225;115;9;14;5;5.0;9992
Bennebroek-G0372;;10.0;506;217;593;179;47;106;30;5;2;10;4.0;2320
Bergambacht-G0491;;4.0;458;616;575;154;867;110;49;15;8;2;6.0;4001
Bergeijk-G1724;;10.0;1874;566;706;299;35;215;128;18;23;11;12.0;9584
Bergen-G0893;;17.0;1502;410;344;177;6;72;78;12;9;12;3.0;7424
Bergen-G0373;;33.0;743;815;1391;604;48;345;112;35;18;13;14.0;6559
Bergen op Zoom-G0748;;33.0;3248;2141;2776;1385;167;1120;650;102;116;36;26.0;36160
Bergh-G0207;;6.0;1768;671;678;258;43;148;91;12;26;13;5.0;10442
Bergschenhoek-G0492;;11.0;758;375;752;220;328;126;88;27;20;13;2.0;5846
Berkel en Rodenrijs-G0493;;19.0;1399;450;912;404;729;210;92;21;25;16;5.0;7971
Bernheze-G1721;;17.0;3033;821;841;404;31;223;646;28;27;23;6.0;15167
Bernisse-G0568;;8.0;672;558;669;186;193;148;80;25;14;13;10.0;7238
Best-G0753;;27.0;1831;910;1197;557;155;318;276;44;35;15;13.0;13537
Beuningen-G0209;;22.0;1478;1028;950;638;56;288;270;23;20;14;14.0;13640
Beverwijk-G0375;;26.0;1585;1904;1236;928;134;329;341;70;69;77;41.0;20736
Binnenmaas-G0585;;13.0;1006;959;1284;447;740;243;166;33;39;21;3.0;9890
Bladel-G1728;;26.0;2035;610;733;348;21;235;213;19;7;5;4.0;10157
