RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;Europa Transparant;SP;CU-SGP;D66;PvdD;LPF;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu;@abs
Aa en Hunze-G1680;;9.0;1218;3458;1976;598;466;454;124;336;243;129;267;14;5;7;6;10264
Aalburg-G0738;;2.0;1178;395;324;62;246;117;1367;46;101;78;0;16;4;5;4;4876
Aalsmeer-G0358;;32.0;1888;1253;1268;408;463;296;319;335;272;365;6;24;11;13;4;10409
Aalten-G0197;;8.0;2989;1116;529;283;380;503;330;155;150;108;6;7;12;11;7;7381
Abcoude-G0305;;5.0;762;535;660;287;305;133;97;211;135;80;4;7;3;10;1;2992
Achtkarspelen-G0059;;13.0;3116;2287;418;252;344;326;947;106;124;104;257;25;10;3;1;13111
Alblasserdam-G0482;;11.0;1135;1505;484;165;324;315;1405;97;159;140;5;17;9;6;0;7653
Albrandswaard-G0613;;13.0;1245;1187;1045;223;565;345;275;242;234;403;10;28;27;7;3;9127
Alkemade-G0483;;7.0;1535;714;843;242;278;247;22;153;121;158;1;27;14;6;15;6485
Alkmaar-G0361;;55.0;3993;8284;2970;2791;2191;2621;458;1134;1077;682;42;88;59;49;34;43955
Almelo-G0141;;37.0;4842;5929;2311;1054;1264;1281;705;565;469;485;16;37;31;14;19;34163
Almere-G0034;;94.0;3867;11355;6537;3273;2670;3172;1041;2351;1728;1517;47;178;124;73;66;79782
Alphen aan den Rijn-G0484;;58.0;4476;4186;3168;1470;1522;1584;1370;1059;736;638;16;109;36;44;24;31697
Alphen-Chaam-G1723;;4.0;1144;384;418;119;409;175;6;87;83;84;1;12;4;2;1;4242
Ambt Montfort-G1679;;7.0;1727;513;222;116;170;157;9;66;61;58;1;8;5;12;4;5519
Ameland-G0060;;0.0;481;405;243;77;95;70;24;36;37;31;25;5;3;4;0;1137
Amerongen-G0306;;11.0;669;353;355;117;213;106;347;94;102;47;0;4;6;2;3;3021
Amersfoort-G0307;;124.0;7569;9326;5478;4864;2876;3044;3453;2296;1440;858;27;94;70;71;26;54907
Amstelveen-G0362;;52.0;4541;5760;5307;2466;2407;1425;460;1792;1333;637;31;83;54;66;28;31564
Amsterdam-G0363;;1185.0;14665;53743;21347;33876;13768;19241;1782;13030;12295;4531;185;522;351;481;195;337703
Andijk-G0364;;1.0;611;371;276;92;174;143;191;45;46;76;0;2;4;1;4;2739
Angerlo-G0199;;0.0;494;394;198;62;79;114;3;45;44;39;1;4;1;1;0;2388
Anna Paulowna-G0366;;6.0;955;832;796;150;438;179;87;142;113;146;8;16;10;3;9;6416
Apeldoorn-G0200;;73.0;10614;12298;6621;3311;3146;2653;3943;2097;1602;1033;41;114;77;91;38;71376
Appingedam-G0003;;1.0;767;1433;304;144;162;232;169;76;82;71;228;8;2;4;1;6171
Arcen en Velden-G0885;;1.0;1417;430;221;118;166;105;10;67;31;47;1;4;4;2;1;4067
Arnhem-G0202;;132.0;6309;10718;4387;5044;2675;3985;864;2051;1635;805;26;137;59;68;23;68294
Assen-G0106;;46.0;3594;7159;2320;1512;971;1420;2159;762;453;333;357;38;15;13;17;25331
Asten-G0743;;12.0;1475;630;2493;211;342;336;11;119;78;85;4;10;9;4;3;6324
Baarle-Nassau-G0744;;1.0;937;280;214;68;219;121;4;57;54;51;2;1;3;3;2;3109
