RegioNaam;@invalid;@blank;CDA;PVV;PvdA;VVD;D66;GL;SP;CU-SGP;PvdD;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;DG;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek;@abs
Aa en Hunze-G1680;11;6;1096;993;1843;1408;871;717;537;147;286;48;29;11;12;9;4;6;4;11971
Aalburg-G0738;5;2;843;559;145;226;102;87;100;1501;71;18;4;11;6;3;2;0;0;5513
Aalsmeer-G0358;11;12;1645;1785;748;1320;868;487;381;483;300;38;20;18;26;12;10;8;4;12731
Aalten-G0197;14;8;3290;920;820;641;415;410;625;454;179;31;19;19;11;15;4;2;2;12901
Abcoude-G0305;6;6;628;500;276;622;597;372;136;115;114;11;14;8;12;8;2;1;1;2822
Achtkarspelen-G0059;7;10;2389;859;1018;357;256;269;381;1022;112;25;19;10;3;4;1;5;3;14788
Alblasserdam-G0482;11;4;969;871;737;422;275;220;275;1646;139;11;21;15;5;7;5;6;2;8291
Albrandswaard-G0613;13;8;1131;1740;665;916;726;368;357;368;268;26;19;20;19;5;7;8;7;10888
Alkmaar-G0361;31;41;3001;3981;3767;2468;3009;3339;2555;547;1209;155;153;92;63;70;52;37;18;46870
Almelo-G0141;30;29;3330;2920;2406;1667;1590;1075;1182;779;407;64;39;50;37;32;42;15;4;38123
Almere-G0034;113;65;3232;10889;5111;4851;4838;3642;3268;1224;2084;233;217;165;100;85;100;50;29;90561
Alphen aan den Rijn-G0484;53;36;3767;3567;2041;2642;2444;1654;1536;1495;677;116;93;62;68;22;14;22;10;34075
Alphen-Chaam-G1723;0;5;1134;541;182;349;232;163;133;18;47;18;8;10;3;5;2;2;3;4394
Ameland-G0060;2;0;398;187;222;172;87;73;72;25;27;9;2;2;0;5;0;1;0;1353
Amersfoort-G0307;67;92;6113;5702;5305;4561;6518;5430;2900;4066;1446;172;234;151;124;84;78;30;28;61356
Amstelveen-G0362;53;56;3373;4430;3048;4293;4455;2781;1404;561;1091;121;160;111;88;51;21;33;33;30851
Amsterdam-G0363;748;479;9748;25607;29369;18441;42616;40127;16071;2199;10672;782;1581;663;625;821;792;287;97;343279
Andijk-G0364;3;1;445;360;194;224;111;108;138;223;77;10;5;10;2;1;1;1;0;3005
Anna Paulowna-G0366;1;8;778;743;374;688;264;218;212;97;108;23;16;15;7;8;3;6;3;7120
Apeldoorn-G0200;74;80;8275;6694;5556;5335;4991;3576;2916;4512;1725;192;183;117;85;73;68;50;24;75827
Appingedam-G0003;6;2;595;462;639;231;211;133;262;205;90;12;2;8;2;5;1;7;1;6713
Arcen en Velden-G0885;2;14;1030;635;187;202;162;114;122;20;51;13;7;8;1;6;1;1;1;4117
Arnhem-G0202;71;68;4259;5013;4902;3364;5721;5532;3398;1059;1534;153;217;131;99;127;81;39;17;75113
Assen-G0106;32;34;3127;2086;3488;1812;1799;1794;1573;2167;606;65;58;39;31;32;31;10;13;31313
Asten-G0743;4;7;1195;648;281;2302;200;233;273;16;87;13;12;6;9;10;15;4;1;7074
Baarle-Nassau-G0744;0;1;761;383;118;151;137;77;148;1;56;15;9;12;8;5;2;1;0;3414
Baarn-G0308;18;18;1342;1357;837;1448;1147;787;436;493;280;34;28;36;20;9;7;3;6;10512
Barendrecht-G0489;28;20;2304;2821;1146;1563;1200;728;624;1587;442;57;48;42;33;9;25;10;4;21064
Barneveld-G0203;24;23;4196;2454;633;1314;596;396;353;6800;206;80;32;27;30;8;16;12;2;20086
Bedum-G0005;1;9;1038;276;576;255;230;302;237;626;81;11;3;2;2;2;1;3;0;4370
Beek-G0888;5;8;1586;1358;464;417;344;253;308;33;130;17;23;11;11;5;4;3;0;8178
Beemster-G0370;5;3;559;611;388;514;292;208;195;31;124;16;6;13;11;4;2;3;5;3632
Beesel-G0889;1;2;1093;985;312;240;168;181;199;18;84;9;14;11;3;2;0;5;1;7341
Bellingwedde-G0007;1;4;353;549;548;241;186;176;345;77;139;19;7;8;2;9;1;2;1;4806
Bergambacht-G0491;10;2;599;492;419;457;227;124;141;927;73;13;7;5;1;4;0;3;0;3756
Bergeijk-G1724;1;4;1899;766;374;572;338;184;356;28;104;17;12;21;3;3;2;4;2;9091
Bergen-G0893;4;5;1160;766;234;252;156;120;206;10;43;5;5;11;3;5;10;2;2;7357
Bergen-G0373;21;27;1647;1996;1261;1695;1453;1122;651;93;568;64;50;57;40;44;3;9;6;13750
Bergen op Zoom-G0748;28;32;2818;3494;1807;1944;1567;1023;1232;209;553;182;47;56;35;18;36;8;9;34460
Berkelland-G1859;14;27;3958;1657;1993;1748;1137;816;1069;227;340;39;37;28;16;22;4;7;6;21743
Bernheze-G1721;6;19;2664;866;563;681;526;332;783;33;147;28;23;29;12;10;4;4;6;15483
Bernisse-G0568;9;15;796;895;388;533;331;168;196;214;145;39;19;16;6;4;3;10;4;6093
Best-G0753;15;16;1710;1168;729;1018;822;444;496;220;191;40;41;22;18;10;7;6;5;14467
Beuningen-G0209;9;6;1525;985;746;683;669;507;563;80;152;39;22;21;10;4;7;6;1;13203
Beverwijk-G0375;13;15;1350;2095;1307;943;866;842;712;112;421;66;63;29;25;27;29;17;4;19833
Binnenmaas-G0585;6;24;1667;1888;963;1160;741;433;478;1193;285;39;39;36;11;11;6;4;6;13629
Bladel-G1728;0;6;1851;714;385;568;327;252;384;30;115;36;20;52;8;4;0;6;2;9847
Blaricum-G0376;3;2;468;618;309;811;549;229;148;40;131;18;16;7;13;5;2;4;1;3591
Bloemendaal-G0377;14;23;1465;1158;733;2280;1952;720;259;132;309;26;39;32;55;19;5;8;3;7298
Boarnsterhim-G0055;6;10;1246;558;1562;763;603;496;465;106;159;39;21;11;7;9;3;7;2;8624
Bodegraven-G0497;9;11;1666;948;456;657;461;384;250;1125;144;23;8;26;24;7;6;3;3;8176
Boekel-G0755;6;13;1113;352;184;232;120;79;213;10;62;8;5;7;3;0;2;2;2;4746
Bolsward-G0064;7;4;936;331;456;163;201;189;236;117;91;22;5;6;1;6;4;4;0;4790
Borger-Odoorn-G1681;13;11;1396;1122;1455;951;568;537;443;314;285;33;18;20;10;10;8;7;5;13335
Borne-G0147;5;10;1729;745;823;654;639;407;466;95;99;25;15;2;10;8;6;1;2;10152
Borsele-G0654;14;7;1515;860;508;531;320;349;315;1675;224;28;32;16;10;7;7;4;3;10475
Boskoop-G0499;6;4;1336;815;352;665;447;364;208;555;151;31;18;17;7;7;8;1;3;6104
Boxmeer-G0756;18;15;2979;1312;703;829;638;447;1227;75;165;32;32;13;17;9;4;7;2;13156
Boxtel-G0757;14;18;1960;1112;850;787;822;568;794;71;192;42;52;41;19;10;1;8;5;15623
Breda-G0758;99;113;8213;7146;5051;6190;6797;4554;3616;500;1308;219;205;149;106;83;53;50;22;86680
Breukelen-G0311;4;11;1005;825;415;672;563;359;192;696;119;20;18;14;5;9;3;0;4;5853
Briefstemmen-G9999;1262;39;15309;1527;1170;2499;2039;3311;459;359;345;83;77;99;60;82;6;17;12;10846
Brielle-G0501;6;20;724;1067;545;717;495;278;450;113;147;17;17;8;7;2;4;2;1;7489
Bronckhorst-G1876;22;12;3654;1461;1334;1547;997;693;736;349;282;38;27;24;22;23;7;7;5;18184
Brummen-G0213;11;6;1107;941;965;777;638;441;485;126;188;24;17;14;9;18;10;4;5;10600
Brunssum-G0899;15;19;1583;2163;762;370;329;350;633;168;311;36;13;37;12;9;7;3;2;16781
Bunnik-G0312;9;7;1277;605;642;698;874;887;267;204;205;25;38;18;19;9;4;10;1;5087
Bunschoten-G0313;19;2;1513;905;148;247;133;88;79;2549;40;19;10;13;4;1;1;7;0;8738
Buren-G0214;0;8;1293;1571;759;1166;706;442;316;689;240;27;19;23;16;15;7;2;5;12371
Bussum-G0381;16;30;1471;1579;1101;2044;2026;1076;513;240;424;52;49;59;39;19;8;11;6;12965
Capelle aan den IJssel-G0502;39;45;2218;3941;1978;1929;1726;971;1139;2454;810;91;57;54;36;33;53;19;20;32186
Castricum-G0383;15;18;2195;1869;1557;1746;1514;1385;705;146;497;83;125;45;26;27;11;18;1;14726
Coevorden-G0109;13;9;2609;1479;1873;1480;767;558;718;312;274;42;19;15;16;11;9;3;1;17620
Cranendonck-G1706;5;21;1518;1099;446;633;348;177;390;48;166;30;22;21;14;2;3;6;1;10833
Cromstrijen-G0611;11;6;747;819;455;574;326;194;218;497;126;17;14;3;5;6;0;7;2;6044
Cuijk-G1684;22;53;2302;1341;941;863;776;544;818;42;180;33;24;27;9;8;13;7;5;10283
Culemborg-G0216;10;15;1152;1352;1146;929;981;1147;556;319;264;32;33;22;27;19;11;7;1;11910
Dalfsen-G0148;9;12;3158;859;659;735;509;346;276;1341;125;18;13;14;17;11;5;3;3;12291
Dantumadiel-G1891;6;6;1755;649;692;201;169;214;256;986;91;27;7;9;6;5;2;2;2;9781
De Bilt-G0310;17;27;2611;2181;1678;2676;2757;1894;1027;1176;611;65;98;59;62;16;8;7;12;15214
De Marne-G1663;3;3;773;367;533;340;206;323;255;359;138;7;4;2;5;9;1;2;2;4979
De Ronde Venen-G0736;19;20;2445;2274;719;1746;1109;619;404;746;355;39;42;50;27;10;7;14;1;15406
De Wolden-G1690;12;9;1942;1013;1068;1480;619;446;366;374;219;20;20;16;9;15;4;4;0;10552
Delft-G0503;80;147;3643;3988;3834;3098;5637;3964;2151;1189;1114;126;237;154;161;75;63;52;16;42200
Delfzijl-G0010;5;18;1274;1014;1219;534;386;284;496;437;196;36;9;9;9;7;8;0;2;15077
Den Helder-G0400;20;22;1759;3207;1401;1645;1044;694;901;723;665;84;37;46;27;20;15;9;8;32546
Deurne-G0762;16;24;2097;1144;507;1797;457;381;564;35;138;23;18;14;12;14;1;7;3;17010
Deventer-G0150;41;53;4034;3126;4376;2814;3639;3302;2248;958;919;92;152;66;57;83;130;36;5;46377
Diemen-G0384;8;16;643;1480;959;692;1001;944;538;107;294;36;45;41;23;19;15;8;2;11232
Dinkelland-G1774;11;11;3550;988;425;722;402;280;215;74;100;34;10;13;3;5;3;6;6;12542
Dirksland-G0504;4;2;549;446;204;211;92;68;116;965;75;10;3;9;1;2;0;5;3;3536
Doesburg-G0221;5;5;484;411;438;328;422;226;602;78;92;15;9;7;6;4;4;7;0;5643
Doetinchem-G0222;18;20;3501;2246;2216;1536;1530;1385;1459;621;465;75;46;38;20;20;16;13;12;27903
Dongen-G0766;12;8;1623;1034;691;736;611;411;781;128;206;20;30;10;10;6;4;7;4;12913
Dongeradeel-G0058;11;15;2791;718;764;419;348;350;444;677;172;41;11;19;6;9;1;4;3;11747
Dordrecht-G0505;51;66;4043;5621;3852;2847;3161;2676;2411;3113;1322;178;109;95;71;57;75;22;20;58699
Drechterland-G0498;7;11;1210;1092;542;840;483;366;356;59;185;24;18;26;15;10;3;3;4;9167
Drimmelen-G1719;10;18;1780;1296;664;825;619;481;435;53;173;40;27;25;18;11;2;2;2;14288
Dronten-G0303;26;17;3151;2017;1008;1657;958;613;578;1022;291;41;47;24;29;17;23;15;6;16661
Druten-G0225;10;9;1212;688;593;488;440;256;462;18;107;15;9;10;13;1;2;2;8;9280
Duiven-G0226;7;19;1335;1050;721;710;627;502;469;160;182;27;21;18;10;12;3;11;0;12918
Echt-Susteren-G1711;21;30;3838;2560;653;493;439;459;497;63;344;25;27;28;20;11;5;8;2;16198
Edam-Volendam-G0385;7;17;1431;2954;509;860;445;425;341;66;246;53;27;23;16;14;5;7;3;14042
Ede-G0228;36;46;7407;5078;2729;3177;2689;2233;1303;9006;750;141;118;105;53;59;34;24;14;44875
Eemnes-G0317;5;9;568;517;313;462;361;189;165;136;126;13;16;7;6;1;3;5;2;3647
Eemsmond-G1651;7;8;1257;513;914;415;251;350;394;790;170;24;20;7;7;10;1;1;1;7536
Eersel-G0770;3;16;1956;697;394;626;493;259;291;33;119;26;24;32;12;5;6;6;1;9244
Eijsden-G0905;9;10;1089;682;342;273;277;211;162;15;74;11;12;9;10;12;0;0;0;5646
Eindhoven-G0772;103;206;8011;7986;6255;5849;7199;5432;5374;901;1720;233;390;204;181;132;106;91;33;109319
Elburg-G0230;4;12;1649;837;387;518;252;201;205;2670;130;16;11;15;4;7;2;3;1;9709
Emmen-G0114;43;41;5930;4562;5188;2042;1674;1469;1972;1010;807;123;69;61;39;38;24;20;9;59606
Enkhuizen-G0388;8;13;676;878;692;540;530;421;483;281;231;43;25;21;12;12;5;3;7;9014
Enschede-G0153;93;114;5506;5414;5809;4211;4727;3526;3114;2072;1055;122;228;105;131;91;83;35;24;81133
Epe-G0232;12;16;2181;1568;1312;1284;816;503;445;1210;296;32;25;14;17;14;10;6;5;15949
Ermelo-G0233;11;14;2431;1245;558;886;609;441;335;2106;257;37;31;18;16;11;4;5;3;11329
Etten-Leur-G0777;26;19;2118;1855;1093;1344;927;613;674;142;293;54;35;25;27;17;15;13;6;22047
Ferwerderadiel-G1722;7;9;946;223;299;198;126;118;179;205;80;16;6;1;2;1;6;1;1;4327
Franekeradeel-G0070;5;4;1792;723;1003;458;359;364;365;341;131;49;11;3;9;4;7;3;1;10107
Gaasterlân-Sleat-G0653;10;6;1239;398;410;306;240;209;170;252;86;23;7;7;8;9;3;2;1;4546
Geertruidenberg-G0779;4;13;1166;1068;558;569;363;275;379;85;142;26;14;15;11;4;7;5;1;11648
Geldermalsen-G0236;11;8;1640;1785;865;1101;710;497;371;1231;196;33;40;37;20;16;11;5;9;10911
Geldrop-Mierlo-G1771;9;39;2121;1592;943;1507;1044;763;936;138;346;49;29;20;36;15;9;11;11;19557
Gemert-Bakel-G1652;13;13;2453;970;527;925;412;335;610;26;146;26;21;13;8;10;5;6;0;15275
Gennep-G0907;11;12;1261;719;443;386;385;262;424;36;119;26;13;14;8;7;5;1;2;9174
Giessenlanden-G0689;7;7;1294;760;533;625;308;172;241;1048;101;21;12;18;8;9;0;3;2;5707
Gilze en Rijen-G0784;5;15;1679;1196;836;728;619;415;513;37;182;30;23;22;17;16;8;8;1;12972
Goedereede-G0511;6;3;1178;618;278;338;150;101;146;1544;88;11;8;5;2;0;1;2;0;4356
Goes-G0664;25;23;2134;1358;1148;1082;907;828;653;1745;366;45;50;33;14;12;11;1;7;18260
Goirle-G0785;3;18;1506;924;744;706;720;512;522;38;203;14;32;16;11;10;0;6;3;11578
Gorinchem-G0512;18;16;1245;1589;1175;979;985;644;668;955;315;41;36;97;16;16;15;4;4;16553
Gouda-G0513;37;48;2974;3819;2692;1941;2673;2231;1477;2755;810;88;122;69;55;55;25;17;10;30458
Graafstroom-G0693;4;4;1263;359;176;217;101;83;93;1391;56;17;3;14;3;2;0;1;1;3207
Graft-De Rijp-G0365;3;4;443;435;302;338;211;163;198;13;109;9;14;4;2;2;4;1;2;2676
Grave-G0786;7;2;930;587;316;446;341;251;387;30;113;24;23;8;9;2;2;5;1;6033
Groesbeek-G0241;9;8;1488;878;664;392;444;499;428;60;187;26;15;17;4;12;5;3;1;9894
Groningen-G0014;105;178;5183;4718;10207;5243;10068;10098;5686;3394;2197;221;431;181;199;152;106;33;35;90483
Grootegast-G0015;2;3;1212;337;303;238;128;160;140;505;74;13;10;13;2;2;2;1;0;5841
Gulpen-Wittem-G1729;5;6;1773;1055;384;279;284;318;291;53;122;18;21;29;16;17;3;4;4;7150
Haaksbergen-G0158;16;15;2335;1029;757;802;601;306;415;80;151;23;12;13;14;13;9;7;2;12149
Haaren-G0788;9;8;1403;466;264;453;307;227;193;25;87;24;10;15;2;4;1;12;1;6939
Haarlem-G0392;76;92;4363;6042;6042;4178;7466;6538;3799;902;2378;174;258;161;230;141;71;40;21;69724
Haarlemmerliede en Spaarnwoude-G0393;4;2;340;327;189;216;193;132;78;22;74;12;9;6;8;3;1;1;3;2461
Haarlemmermeer-G0394;70;72;5980;8827;3637;6377;4371;2678;2170;1656;1713;220;208;148;111;60;137;29;19;64728
Halderberge-G1655;15;14;1687;1611;672;899;585;319;444;60;190;45;27;23;16;5;7;9;4;16034
Hardenberg-G0160;14;26;5983;2000;1680;1157;675;584;732;3207;270;54;24;28;26;19;19;12;4;27547
Harderwijk-G0243;9;18;2832;1882;1054;1273;1044;723;539;2139;344;48;37;24;19;14;23;10;4;20417
Hardinxveld-Giessendam-G0523;4;6;1019;647;401;367;137;112;177;2732;89;12;5;7;8;5;6;1;2;7245
Haren-G0017;12;13;1251;660;1134;1260;1255;1022;351;554;220;29;18;24;16;17;1;4;0;6463
Harenkarspel-G0395;3;9;984;722;449;595;351;304;225;41;158;37;25;23;10;11;2;5;1;7901
Harlingen-G0072;11;6;734;658;697;398;289;305;455;227;161;41;16;8;5;10;6;1;1;8050
Hattem-G0244;6;11;902;390;586;404;340;203;131;988;90;7;10;8;7;11;5;4;3;4843
Heemskerk-G0396;14;12;1804;2015;1358;1047;951;919;701;186;358;67;70;27;33;9;14;14;3;19607
Heemstede-G0397;11;16;1576;1280;933;2123;2003;900;380;142;365;48;51;35;40;15;8;7;4;9712
Heerde-G0246;12;3;1642;848;697;545;335;204;178;1203;171;18;13;7;11;6;7;3;3;8288
Heerenveen-G0074;19;6;2254;1348;2841;1347;1211;926;869;616;370;76;44;32;20;12;40;9;3;21335
Heerhugowaard-G0398;22;18;2078;2225;1499;1547;1222;938;957;285;461;74;74;40;28;25;16;20;12;26074
Heerlen-G0917;57;45;4430;5534;2220;1537;1328;1236;3297;284;784;108;54;88;47;37;27;9;16;49551
Heeze-Leende-G1658;6;11;1289;571;410;970;498;240;270;32;120;20;13;12;37;7;3;3;1;7278
Heiloo-G0399;7;13;1324;1202;993;1271;1063;799;375;110;342;54;39;41;19;22;7;7;2;9430
Helden-G0918;2;6;2106;1110;290;381;234;271;239;24;87;32;16;24;1;8;2;6;0;10252
Hellendoorn-G0163;9;18;4143;1210;977;733;624;540;462;728;236;38;25;16;7;9;9;7;4;17857
Hellevoetsluis-G0530;14;12;1108;2841;1173;1275;902;554;802;278;423;58;51;28;21;7;13;10;7;21045
Helmond-G0794;46;31;2786;3837;1636;4301;1473;1176;1917;160;486;46;61;39;38;20;23;16;7;46113
Hendrik-Ido-Ambacht-G0531;8;14;1286;1342;614;799;462;283;243;2045;197;29;20;18;11;11;12;5;0;11922
Hengelo-G0164;55;61;4429;3149;3208;2100;2433;1795;2565;746;604;95;99;64;51;62;43;12;8;39689
Het Bildt-G0063;4;7;989;356;499;264;174;167;264;94;92;19;5;0;0;3;1;1;0;5091
Heumen-G0252;6;11;1464;673;686;568;773;634;432;48;136;21;21;11;6;8;5;9;1;6981
Heusden-G0797;31;24;2777;1971;879;1297;1027;593;775;146;274;78;50;32;11;15;8;25;3;22254
Hillegom-G0534;11;15;1284;1360;576;981;663;496;351;159;278;39;23;25;25;17;14;11;4;9287
Hilvarenbeek-G0798;7;1;1768;535;332;448;388;290;298;23;137;21;15;17;7;1;1;5;2;7174
Hilversum-G0402;52;51;3374;4425;3104;3613;4315;2831;2100;988;1166;123;110;95;95;60;31;24;12;36986
Hof van Twente-G1735;19;19;3466;1416;1502;1525;944;552;499;165;227;39;16;31;20;16;4;4;5;16632
Hoogeveen-G0118;22;25;4460;2215;1992;1112;748;717;881;1615;261;52;34;27;21;12;11;11;5;28057
Hoogezand-Sappemeer-G0018;14;7;931;1416;1855;820;570;580;714;521;297;55;25;19;19;13;21;10;1;19012
Hoorn-G0405;25;42;2246;3364;2456;1986;2072;1853;1771;310;862;126;79;60;31;50;36;21;9;34978
Horst aan de Maas-G1507;10;11;3102;1390;457;551;435;353;782;37;155;22;20;23;9;7;4;6;4;14845
Houten-G0321;10;26;2541;2034;1602;1689;2083;1674;760;1859;506;69;85;38;35;23;26;12;2;19115
Huizen-G0406;8;36;2320;2344;1292;1967;1745;983;700;1377;511;84;46;40;41;23;16;11;12;18454
Hulst-G0677;21;19;1894;1586;782;759;487;355;572;81;230;30;17;31;6;7;2;10;4;13785
IJsselstein-G0353;10;14;1744;1746;1010;1145;1166;720;660;471;280;37;32;33;19;10;7;18;4;15788
Kaag en Braassem-G1884;14;9;2212;1404;630;1287;677;491;377;135;182;45;39;24;21;10;9;12;8;11823
Kampen-G0166;14;14;3590;1612;1163;755;662;838;793;4690;315;40;21;33;15;14;22;7;2;22215
Kapelle-G0678;9;13;859;487;329;394;273;175;187;962;114;15;6;3;6;7;4;3;2;5289
Katwijk-G0537;30;32;4380;2938;839;1230;782;570;601;3875;479;74;47;41;24;26;10;13;12;29657
Kerkrade-G0928;20;27;2788;3076;1803;434;357;478;900;62;392;48;28;44;20;16;10;4;9;26313
Kessel-G0929;2;3;509;335;64;107;43;34;29;2;12;3;2;1;2;0;1;1;2;2114
Koggenland-G1598;10;7;1763;1053;615;926;493;407;384;65;215;47;21;10;11;10;6;8;5;10256
Kollumerland en Nieuwkruisland-G0079;9;7;1399;464;352;238;140;178;165;359;101;30;8;7;5;3;3;3;1;6511
Korendijk-G0588;5;4;650;638;284;355;196;157;162;993;163;10;12;6;3;2;4;4;0;4700
Krimpen aan den IJssel-G0542;16;30;1352;1829;980;994;805;466;448;2400;272;53;23;24;16;7;1;5;4;12394
Laarbeek-G1659;10;17;1673;898;494;1258;341;279;507;34;136;21;18;13;12;7;5;7;1;10866
Landerd-G1685;7;4;1608;642;317;460;267;188;410;20;82;21;19;5;5;3;2;6;0;7219
Landgraaf-G0882;13;20;2287;2604;957;501;479;470;1063;94;364;36;23;38;18;16;4;13;3;21668
Landsmeer-G0415;11;5;331;815;575;515;416;344;250;40;151;23;13;14;14;3;2;3;1;4391
Langedijk-G0416;21;13;1424;1334;818;1083;773;656;448;314;276;45;46;31;12;21;4;6;11;12804
Lansingerland-G1621;20;32;3514;2998;1160;2294;1707;873;519;1489;505;89;75;51;46;14;7;25;13;21523
Laren-G0417;7;6;614;834;303;1141;703;253;169;39;168;23;16;20;18;6;3;2;3;4223
Leek-G0022;9;10;1249;626;1007;554;452;469;414;744;144;24;14;19;9;8;10;7;6;9030
Leerdam-G0545;12;10;1086;1097;633;536;416;213;246;1203;137;15;6;11;14;6;7;7;3;9726
Leeuwarden-G0080;35;46;3802;2782;4867;1989;2686;2918;2266;1240;950;145;114;51;51;59;52;12;16;50004
Leeuwarderadeel-G0081;3;6;905;335;807;259;258;191;233;140;114;21;7;8;6;4;4;1;2;4595
