RegioNaam;@invalid;@blank;D66;CDA;PVV;VVD;SP;PvdA;CU-SGP;GL;PvdD;50+;PPNL;Artikel50;Anti  EU(ro)  Partij;DG;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij;@abs
Aa en Hunze-G1680;10;27;1288;876;702;1483;906;1459;214;626;454;358;24;38;20;20;5;11;6;6;2;11740
Aalburg-G0738;13;8;173;690;599;305;197;145;1855;46;67;91;10;16;12;2;20;3;3;3;0;5329
Aalsmeer-G0358;14;32;1265;1435;1171;1767;479;631;548;326;349;330;71;64;31;19;19;7;5;6;3;13923
Aalten-G0197;13;19;711;2622;649;729;867;571;568;337;260;265;26;29;15;16;6;11;10;2;0;13109
Achtkarspelen-G0059;10;21;364;1979;964;461;641;874;1281;179;140;227;32;31;19;8;33;4;2;3;1;14209
Alblasserdam-G0482;9;6;487;756;827;456;506;559;2005;134;179;158;28;28;18;2;47;2;1;1;4;8508
Albrandswaard-G0613;18;19;1007;914;1438;1211;540;527;478;233;350;235;38;45;37;4;15;7;10;7;3;11761
Alkmaar-G0361;67;132;5256;2584;3398;2987;3307;3657;667;2963;1972;1343;396;193;90;100;48;60;41;29;7;43723
Almelo-G0141;59;41;2157;3583;2509;1503;1890;1736;943;762;537;562;111;63;50;25;36;28;21;21;4;37589
Almere-G0034;153;171;7421;2787;8108;5276;4645;4419;1419;2706;2625;1504;610;391;189;105;121;74;58;40;27;97722
Alphen aan den Rijn-G0484;73;149;5048;5364;4215;4497;2518;2508;3255;1879;1263;1118;270;197;90;37;99;49;39;20;9;48293
Alphen-Chaam-G1723;4;11;395;857;353;520;226;167;17;126;94;186;21;9;7;6;6;5;5;1;0;4592
Ameland-G0060;2;8;129;377;160;227;77;212;41;68;64;26;6;6;11;2;0;0;1;0;0;1324
Amersfoort-G0307;85;175;9605;4839;4337;5296;4083;4328;4974;4549;2003;892;433;232;87;111;102;75;55;42;19;64522
Amstelveen-G0362;58;99;5688;2484;2655;4640;1800;2546;673;2088;1325;1103;234;165;79;66;35;28;38;11;11;33492
Amsterdam-G0363;860;816;51510;8476;16415;19657;19555;29626;2772;33772;12741;3521;3863;1126;372;1155;238;322;306;140;70;374172
Apeldoorn-G0200;83;118;7464;6252;4849;5697;3982;4393;5703;3032;2175;1498;290;240;139;97;104;53;66;28;9;76727
Appingedam-G0003;7;20;303;499;403;236;517;448;201;92;135;162;14;13;10;2;5;3;1;1;3;6568
Arnhem-G0202;97;110;8149;3004;4211;3855;4825;4237;1443;4466;2289;1110;515;221;93;133;53;74;38;22;11;76251
Assen-G0106;36;72;2858;2191;1717;1885;2326;2778;2592;1274;828;560;143;78;91;48;42;16;18;9;5;31862
Asten-G0743;19;18;455;1030;586;498;419;236;28;166;123;1451;13;25;14;8;5;7;5;5;2;7576
Baarle-Nassau-G0744;7;4;195;570;316;218;155;81;11;60;63;127;5;6;6;5;3;0;1;0;2;3457
Baarn-G0308;20;39;1658;1291;949;1409;519;621;585;695;412;302;61;56;33;21;12;9;13;8;4;10346
Barendrecht-G0489;21;43;1818;1924;2273;1790;934;855;1781;533;585;429;90;69;33;11;29;20;9;8;4;21683
Barneveld-G0203;31;29;1054;3596;1926;1651;785;540;8285;337;259;406;65;63;28;16;69;19;8;10;3;20170
Bedum-G0005;12;11;380;821;228;229;330;435;645;223;124;104;28;9;3;9;3;4;3;1;1;4567
