RegioNaam;@invalid;@blank;Tegen;Voor;@abs
Aa en Hunze-G1680;;139;8218;4965;6358
Aalburg-G0738;;44;4852;1345;2525
Aalsmeer-G0358;;75;6718;5017;5935
Aalten-G0197;;108;7087;5397;7816
Abcoude-G0305;;48;2188;2374;1625
Achtkarspelen-G0059;;82;9329;4173;7928
Alblasserdam-G0482;;47;6711;2232;4393
Albrandswaard-G0613;;60;6934;3538;5046
Alkemade-G0483;;55;3685;3443;3691
Alkmaar-G0361;;299;30153;16510;23665
Almelo-G0141;;203;20052;10617;22231
Almere-G0034;;444;51396;22498;45773
Alphen aan den Rijn-G0484;;215;19471;14157;18350
Alphen-Chaam-G1723;;22;2394;2023;2729
Ambt Montfort-G1679;;33;3237;1921;3392
Ameland-G0060;;8;1220;968;458
Amerongen-G0306;;28;2373;1404;1632
Amersfoort-G0307;;554;36635;28446;31904
Amstelveen-G0362;;348;21147;18802;17115
Amsterdam-G0363;;3116;168854;125212;228390
Andijk-G0364;;21;2177;1164;1447
Anna Paulowna-G0366;;36;4683;2437;3248
Apeldoorn-G0200;;546;49723;28117;40423
Appingedam-G0003;;57;4231;1581;3873
Arcen en Velden-G0885;;32;2372;1911;2350
Arnhem-G0202;;490;36426;25251;44781
Assen-G0106;;296;19528;11117;15976
Asten-G0743;;60;4060;3616;4449
Baarle-Nassau-G0744;;15;1642;1249;2235
Baarn-G0308;;83;7047;5731;5529
Barendrecht-G0489;;124;12639;6940;9417
Barneveld-G0203;;105;18808;6811;9632
Bedum-G0005;;70;3379;2170;2344
Beek-G0888;;48;5004;3470;4612
Beemster-G0370;;36;2664;1791;1970
Beesel-G0889;;41;3756;2244;4143
Bellingwedde-G0007;;42;3713;1087;2649
Bennebroek-G0372;;13;1294;1603;1083
Bergambacht-G0491;;27;3299;1727;1878
Bergeijk-G1724;;57;4553;3503;5425
Bergen-G0893;;44;3515;2266;4409
Bergen-G0373;;129;10019;7374;6989
Bergen op Zoom-G0748;;170;18479;10327;19819
Bergschenhoek-G0492;;56;4318;3145;3666
Berkel en Rodenrijs-G0493;;73;4981;4018;4441
Berkelland-G1859;;202;12645;9099;12796
Bernheze-G1721;;68;7012;5191;9631
Bernisse-G0568;;30;4571;2257;2928
Best-G0753;;87;7822;5379;7943
Beuningen-G0209;;61;7085;4330;7172
Beverwijk-G0375;;96;11503;5888;10053
Binnenmaas-G0585;;57;6939;3481;4777
Bladel-G1728;;55;4516;3725;6056
Blaricum-G0376;;31;2658;2502;1865
Bleiswijk-G0495;;35;2930;2258;2137
Bloemendaal-G0377;;77;3760;5776;3045
Boarnsterhim-G0055;;61;5843;4213;4509
Bodegraven-G0497;;47;5311;3731;5052
Boekel-G0755;;28;2182;1753;2907
Bolsward-G0064;;48;2959;1971;2233
Borger-Odoorn-G1681;;124;9229;4105;6965
Borne-G0147;;58;5815;4213;5034
Borsele-G0654;;55;7762;3316;5473
Boskoop-G0499;;30;4397;3222;3505
Boxmeer-G0756;;114;7590;6068;8027
Boxtel-G0757;;95;7729;5353;9114
Breda-G0758;;588;41339;33114;52828
Breukelen-G0311;;54;4144;3150;3317
Brielle-G0501;;54;5470;2875;3978
Bronckhorst-G1876;;179;10504;7982;10369
Brummen-G0213;;62;6936;3760;5567
Brunssum-G0899;;61;9771;4132;9423
Bunnik-G0312;;87;3708;4154;2723
Bunschoten-G0313;;31;6859;2698;4437
Buren-G0214;;66;8910;4180;6304
Bussum-G0381;;101;8309;8233;6831
Capelle aan den IJssel-G0502;;180;21075;9642;18499
Castricum-G0383;;130;10407;8768;7266
Coevorden-G0109;;130;11141;6487;10098
Cranendonck-G1706;;56;5411;3617;6265
Cromstrijen-G0611;;30;4557;2295;3230
