RegioNaam;@invalid;@blank;Tegen;Voor;Blanco;@abs
Aa en Hunze-G1680;36;;5880;5852;547;8285
Aalburg-G0738;4;;1093;1353;28;7203
Aalsmeer-G0358;29;;5811;6250;483;10188
Aalten-G0197;35;;5118;5974;594;9316
Achtkarspelen-G0059;25;;5438;5288;441;10320
Alblasserdam-G0482;32;;3408;4660;297;6443
Albrandswaard-G0613;42;;4652;5134;268;8941
Alkmaar-G0361;151;;23811;19313;1569;38360
Almelo-G0141;93;;13127;12154;971;28459
Almere-G0034;271;;37287;26834;1764;80002
Alphen aan den Rijn-G0484;146;;20631;23240;1704;37574
Alphen-Chaam-G1723;83;;1757;2655;225;3152
Ameland-G0060;6;;966;1046;91;725
Amersfoort-G0307;218;;33719;29265;2909;48810
Amstelveen-G0362;137;;17744;15410;1317;24210
Amsterdam-G0363;1317;;204795;98628;15617;265088
Apeldoorn-G0200;259;;31186;32718;2562;58564
Appingedam-G0003;12;;2527;1786;181;4905
Arnhem-G0202;348;;33339;21225;2184;61504
Assen-G0106;180;;13785;12419;982;24823
Asten-G0743;20;;2881;4032;433;5400
Baarle-Nassau-G0744;11;;1150;1450;164;2515
Baarn-G0308;21;;5312;5502;447;8333
Barendrecht-G0489;58;;8913;10088;637;16396
Barneveld-G0203;98;;9904;15921;1194;14527
Bedum-G0005;6;;1675;1161;23;5357
Beek-G0888;25;;3362;3821;319;5530
Beemster-G0370;15;;2193;2290;159;2842
Beesel-G0889;17;;2277;2662;285;5377
Berg en Dal-G1945;50;;7714;7166;712;12851
Bergeijk-G1724;20;;3186;4542;483;6232
Bergen-G0893;18;;2290;2735;256;5200
Bergen-G0373;54;;7078;7278;638;9222
Bergen op Zoom-G0748;80;;10734;12882;872;26410
Berkelland-G1859;70;;8818;10798;914;14600
Bernheze-G1721;48;;4850;6554;624;11489
Best-G0753;27;;5083;5915;470;10940
Beuningen-G0209;30;;4883;5055;430;9961
Beverwijk-G0375;57;;7148;6160;481;16333
Binnenmaas-G0585;19;;3451;3202;64;16337
Bladel-G1728;36;;3303;4588;473;7737
Blaricum-G0376;19;;2059;2585;183;3409
Bloemendaal-G0377;35;;4889;5779;333;6296
Bodegraven-Reeuwijk-G1901;95;;6111;8216;607;10703
Boekel-G0755;15;;1649;2445;332;3566
Bonaire-O9001;7;;469;228;6;11667
Borger-Odoorn-G1681;34;;5339;5000;428;9830
Borne-G0147;21;;4433;5167;401;7833
Borsele-G0654;33;;3771;5665;380;7518
Boxmeer-G0756;39;;6038;6873;673;9209
Boxtel-G0757;38;;5359;6184;617;11356
Breda-G0758;219;;32091;34018;2906;77134
Brielle-G0501;25;;3135;3551;241;6572
Bronckhorst-G1876;53;;7275;8816;794;12383
Brummen-G0213;39;;4103;4173;322;8133
Brunssum-G0899;36;;6364;4738;427;11297
Bunnik-G0312;41;;3389;3564;348;4192
Bunschoten-G0313;25;;3653;5599;415;5826
Buren-G0214;31;;5093;5567;425;9436
Capelle aan den IJssel-G0502;61;;11919;11737;957;26152
Castricum-G0383;56;;8402;8755;636;10455
Coevorden-G0109;47;;6470;7596;694;13117
Cranendonck-G1706;22;;3358;4365;452;7822
Cromstrijen-G0611;3;;1484;1513;15;7295
Cuijk-G1684;32;;4898;5015;524;8939
Culemborg-G0216;69;;6095;5077;506;9648
Dalfsen-G0148;43;;5596;7458;733;7919
Dantumadiel-G1891;52;;3788;3612;267;7100
De Bilt-G0310;61;;9672;10084;915;12867
De Fryske Marren-G1940;58;;10349;11019;834;17824
De Marne-G1663;8;;1410;898;31;5704
De Ronde Venen-G0736;81;;8903;9890;835;14002
De Wolden-G1690;55;;4795;6198;548;7483
Delft-G0503;153;;23689;15913;2153;32308
Delfzijl-G0010;21;;5092;3796;372;10547
Den Helder-G0400;54;;9985;10396;545;23339
Deurne-G0762;37;;5394;7244;715;11925
Deventer-G0150;210;;21713;17866;1851;33621
Diemen-G0384;29;;6281;3733;411;9772
Dinkelland-G1774;47;;4698;7418;682;7820
Doesburg-G0221;19;;2535;2120;217;4229
Doetinchem-G0222;66;;10719;10227;1036;22981
Dongen-G0766;30;;4297;5099;423;10321
Dongeradeel-G0058;15;;2738;2310;50;13389
Dordrecht-G0505;116;;23056;20005;1724;44179
Drechterland-G0498;25;;3643;4276;342;6607
Drimmelen-G1719;40;;4858;6255;448;9917
Dronten-G0303;45;;7495;8545;600;14744
Druten-G0225;16;;3614;4014;449;6657
Duiven-G0226;10;;4753;4952;336;9916
Echt-Susteren-G1711;58;;6782;6525;778;11486
Edam-Volendam-G0385;15;;4924;3408;57;19662
Ede-G0228;137;;21653;26148;2327;36026
Eemnes-G0317;15;;2074;2341;140;2412
Eemsmond-G1651;7;;2212;1507;36;8508
Eersel-G0770;27;;2943;4516;374;7371
Eijsden-Margraten-G1903;52;;5381;6425;455;8131
