RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij;Vrijzinnig-Democratische Bond (VDB);Communistische Partij Holland;Staatkundig Gereformeerde Partij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);Hervormd Gereformeerde Staatspartij;Plattelanders Bond;@abs
Aagtekerke-G1000;3;2;1.0;1.0;123.0;32.0;19.0;5.0;1.0;152.0;;;;;38
Aalsmeer-G0358;57;56;688.0;751.0;665.0;512.0;963.0;55.0;40.0;82.0;23.0;49.0;6.0;;283
Aalten-G0197;75;93;724.0;536.0;1924.0;1017.0;211.0;301.0;14.0;1.0;;29.0;14.0;17.0;233
Aardenburg-G0648;13;47;476.0;151.0;75.0;18.0;125.0;125.0;;10.0;7.0;9.0;;;64
Aarle-Rixtel-G0739;11;19;919.0;26.0;3.0;16.0;15.0;8.0;;;40.0;;;;73
Abbekerk-G0359;6;4;122.0;74.0;5.0;12.0;61.0;104.0;2.0;;3.0;;;4.0;30
Abbenbroek-G0481;2;3;;140.0;19.0;14.0;95.0;6.0;;4.0;;10.0;1.0;54.0;29
Abcoude-Baambrugge-G1003;3;4;169.0;25.0;175.0;250.0;39.0;7.0;5.0;5.0;;1.0;1.0;4.0;45
Abcoude-Proostdij-G1004;6;14;368.0;49.0;71.0;206.0;12.0;1.0;2.0;6.0;;4.0;2.0;4.0;50
Achtkarspelen-G0059;119;109;8.0;1107.0;2750.0;1124.0;272.0;497.0;125.0;37.0;;144.0;11.0;31.0;659
Achttienhoven-G1005;2;7;58.0;10.0;81.0;99.0;14.0;;2.0;23.0;;1.0;19.0;5.0;26
Adorp-G0001;2;7;3.0;92.0;351.0;65.0;97.0;23.0;7.0;;;8.0;4.0;14.0;66
Aduard-G0002;5;8;6.0;196.0;406.0;61.0;194.0;62.0;9.0;;;3.0;5.0;17.0;73
Aengwirden-G1006;20;63;116.0;878.0;167.0;194.0;73.0;529.0;118.0;8.0;;15.0;11.0;41.0;303
Akersloot-G0360;3;11;499.0;76.0;6.0;28.0;87.0;147.0;5.0;;3.0;2.0;;;54
Alblasserdam-G0482;32;72;11.0;626.0;324.0;776.0;174.0;83.0;11.0;574.0;4.0;35.0;39.0;35.0;275
Alem, Maren en Kessel-G1007;6;9;494.0;10.0;;;5.0;2.0;;;4.0;;4.0;;49
Alkemade-G0483;14;20;1842.0;12.0;184.0;151.0;11.0;19.0;5.0;9.0;3.0;9.0;6.0;;129
Alkmaar-G0361;232;410;4362.0;3584.0;491.0;1311.0;1818.0;1611.0;86.0;23.0;327.0;120.0;;;1175
Almelo-G0141;295;1130;2639.0;5268.0;1503.0;1659.0;1317.0;539.0;596.0;137.0;;453.0;;86.0;833
Almkerk-G0740;11;23;7.0;95.0;972.0;359.0;109.0;17.0;;3.0;;;6.0;;204
Alphen aan den Rijn-G0484;38;173;1429.0;663.0;1736.0;2141.0;440.0;198.0;31.0;488.0;7.0;62.0;33.0;80.0;585
Alphen en Riel-G0741;2;2;1058.0;6.0;1.0;;1.0;1.0;;;12.0;;;;52
Ambt Delden-G0142;28;13;992.0;201.0;29.0;178.0;83.0;37.0;7.0;4.0;;6.0;;152.0;100
Ambt Hardenberg-G1011;60;49;655.0;537.0;1868.0;1318.0;493.0;182.0;16.0;48.0;;7.0;19.0;24.0;443
Ambt Vollenhove-G1013;15;16;8.0;70.0;565.0;276.0;110.0;16.0;;3.0;;;1.0;3.0;105
Amby-G0883;23;31;577.0;50.0;5.0;;12.0;;3.0;;124.0;9.0;;;53
Ameide-G0485;19;9;;188.0;344.0;7.0;64.0;39.0;4.0;74.0;;2.0;;15.0;71
Ameland-G0060;4;7;220.0;100.0;91.0;159.0;229.0;71.0;1.0;1.0;;9.0;5.0;;163
Amerongen-G0306;17;44;11.0;169.0;181.0;378.0;170.0;23.0;6.0;198.0;;6.0;1.0;5.0;172
Amersfoort-G0307;235;855;4123.0;4353.0;2324.0;1862.0;1480.0;871.0;144.0;203.0;;344.0;53.0;14.0;1253
Ammerstol-G0486;5;11;2.0;273.0;24.0;12.0;29.0;123.0;2.0;19.0;4.0;6.0;;16.0;43
Ammerzoden-G0198;4;2;924.0;3.0;99.0;278.0;5.0;;1.0;13.0;;1.0;3.0;;80
Amstenrade-G0884;7;16;465.0;18.0;10.0;;7.0;;;;18.0;5.0;;;19
Amsterdam-G0363;12658;21395;52671.0;128938.0;19895.0;27603.0;35638.0;17922.0;24692.0;766.0;25096.0;10874.0;1518.0;;27246
Andel-G0742;6;12;2.0;24.0;294.0;68.0;22.0;15.0;;2.0;;;7.0;;81
Andijk-G0364;1;39;228.0;368.0;598.0;35.0;88.0;311.0;13.0;25.0;12.0;37.0;1.0;29.0;121
Angerlo-G0199;10;9;613.0;56.0;113.0;120.0;182.0;2.0;;5.0;;1.0;22.0;29.0;93
Ankeveen-G1014;2;3;131.0;33.0;36.0;71.0;7.0;;2.0;1.0;;4.0;;;18
Anloo-G0105;31;52;17.0;910.0;107.0;31.0;508.0;251.0;;;;;;420.0;193
