RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij;Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Katholiek Democratische Partij;Revolutionair Socialistische Arbeiderspartij;Hervormd Gereformeerde Staatspartij;Overige partij(en) zonder zetel(s);Overige partij(en) met zetel(s);Plattelandersbond;@abs
Aagtekerke-G1000;3;6;;1.0;88.0;59.0;2.0;19.0;5.0;;171.0;;;;;;;;40.0
Aalsmeer-G0358;68;80;770.0;928.0;674.0;550.0;532.0;570.0;219.0;98.0;111.0;36.0;23.0;42.0;;7.0;;;261.0
Aalten-G0197;85;141;752.0;511.0;1960.0;970.0;481.0;127.0;121.0;13.0;5.0;113.0;3.0;4.0;8.0;;;10.0;265.0
Aardenburg-G0648;14;36;420.0;83.0;101.0;20.0;45.0;87.0;187.0;;10.0;;;;;;72.0;;96.0
Aarle-Rixtel-G0739;16;23;1019.0;21.0;8.0;9.0;;11.0;4.0;1.0;;;18.0;;;;;15.0;65.0
Abbekerk-G0359;5;2;133.0;82.0;7.0;3.0;2.0;59.0;72.0;3.0;6.0;2.0;3.0;;;;;;40.0
Abbenbroek-G0481;5;5;1.0;168.0;14.0;12.0;66.0;78.0;5.0;3.0;2.0;;1.0;2.0;;;;;36.0
Abcoude-Baambrugge-G1003;5;6;181.0;27.0;172.0;229.0;71.0;39.0;12.0;;17.0;8.0;2.0;;;;;2.0;45.0
Abcoude-Proostdij-G1004;7;6;381.0;45.0;83.0;170.0;45.0;12.0;4.0;;7.0;1.0;1.0;;;;;;39.0
Achtkarspelen-G0059;111;224;8.0;1146.0;2855.0;1051.0;79.0;168.0;510.0;135.0;77.0;469.0;;9.0;;;;;542.0
Achttienhoven-G1005;2;17;62.0;15.0;80.0;115.0;28.0;5.0;2.0;2.0;26.0;1.0;1.0;2.0;;;;1.0;24.0
Adorp-G0001;4;8;;96.0;337.0;45.0;24.0;45.0;42.0;4.0;;100.0;;1.0;1.0;;5.0;;61.0
Aduard-G0002;13;16;3.0;158.0;446.0;57.0;78.0;87.0;107.0;19.0;;50.0;;3.0;2.0;;5.0;;55.0
Akersloot-G0360;5;20;514.0;86.0;6.0;20.0;43.0;44.0;141.0;9.0;;9.0;5.0;8.0;;;;;62.0
Alblasserdam-G0482;33;113;18.0;772.0;309.0;635.0;107.0;329.0;33.0;22.0;594.0;3.0;;1.0;9.0;;;4.0;331.0
Alem, Maren en Kessel-G1007;4;3;517.0;9.0;;1.0;;6.0;;1.0;1.0;;2.0;;;;;2.0;66.0
Alkemade-G0483;4;21;2014.0;16.0;215.0;137.0;57.0;4.0;11.0;2.0;11.0;2.0;9.0;1.0;2.0;;;;116.0
Alkmaar-G0361;249;511;4236.0;3385.0;695.0;1158.0;1449.0;1145.0;1244.0;310.0;12.0;187.0;490.0;680.0;;19.0;;;1049.0
Almelo-G0141;460;1023;2587.0;4238.0;1187.0;912.0;1018.0;915.0;824.0;831.0;65.0;1785.0;637.0;582.0;;;;158.0;829.0
Almkerk-G0740;11;30;7.0;51.0;1053.0;342.0;;108.0;8.0;9.0;15.0;;1.0;;23.0;5.0;;45.0;169.0
Alphen aan den Rijn-G0484;53;165;1521.0;665.0;1781.0;2241.0;622.0;242.0;219.0;66.0;470.0;34.0;37.0;5.0;32.0;23.0;;12.0;594.0
Alphen en Riel-G0741;2;14;1080.0;5.0;6.0;4.0;;;3.0;;1.0;;26.0;;;1.0;;9.0;50.0
Ambt Delden-G0142;18;40;1065.0;124.0;34.0;211.0;42.0;29.0;124.0;6.0;5.0;4.0;12.0;10.0;;;;112.0;107.0
Ambt Hardenberg-G1011;61;101;654.0;602.0;2054.0;1229.0;340.0;332.0;101.0;4.0;36.0;128.0;4.0;37.0;8.0;;;10.0;450.0
Ambt Vollenhove-G1013;4;24;14.0;43.0;546.0;328.0;13.0;142.0;16.0;2.0;34.0;30.0;4.0;8.0;1.0;;;1.0;82.0
Amby-G0883;28;34;595.0;12.0;4.0;;183.0;;10.0;2.0;;;5.0;;;11.0;;;51.0
Ameide-G0485;29;16;2.0;241.0;287.0;31.0;42.0;54.0;15.0;2.0;108.0;2.0;;1.0;4.0;;;2.0;97.0
Ameland-G0060;10;7;243.0;83.0;105.0;197.0;1.0;93.0;245.0;;1.0;15.0;;;;;;;127.0
Amerongen-G0306;30;51;10.0;212.0;180.0;309.0;170.0;85.0;20.0;2.0;210.0;3.0;2.0;2.0;;;;7.0;155.0
Amersfoort-G0307;363;1016;4152.0;4941.0;2414.0;1956.0;1653.0;1315.0;510.0;215.0;241.0;420.0;610.0;279.0;;;;32.0;1566.0
Ammerstol-G0486;0;16;2.0;347.0;14.0;17.0;26.0;39.0;41.0;2.0;23.0;4.0;;;1.0;;;;47.0
Ammerzoden-G0198;9;13;859.0;16.0;136.0;255.0;9.0;4.0;1.0;;16.0;;1.0;;8.0;;;;92.0
Amstenrade-G0884;3;30;450.0;41.0;22.0;;189.0;;;;;;2.0;1.0;;10.0;;;25.0
Amsterdam-G0363;11573;19343;54578.0;118031.0;24052.0;21472.0;40886.0;30888.0;9426.0;47291.0;741.0;9833.0;3661.0;15553.0;;2095.0;;;26378.0
Andel-G0742;6;11;2.0;18.0;359.0;62.0;;14.0;;;16.0;;;;8.0;2.0;;7.0;79.0
Andijk-G0364;10;48;248.0;296.0;662.0;28.0;12.0;79.0;267.0;91.0;30.0;55.0;10.0;66.0;;;;;130.0
Angerlo-G0199;10;8;642.0;83.0;31.0;238.0;62.0;64.0;44.0;;8.0;21.0;6.0;;9.0;;;15.0;88.0
Ankeveen-G1014;5;10;135.0;43.0;31.0;83.0;14.0;3.0;4.0;7.0;4.0;5.0;2.0;3.0;;;;;33.0
Anloo-G0105;55;91;13.0;741.0;76.0;14.0;912.0;288.0;155.0;115.0;;6.0;;9.0;;;12.0;10.0;203.0
Anna Paulowna-G0366;20;119;549.0;888.0;212.0;100.0;79.0;242.0;337.0;34.0;12.0;9.0;133.0;42.0;;;;;166.0
Apeldoorn-G0200;595;1639;2726.0;6738.0;3158.0;7677.0;2481.0;1526.0;2063.0;412.0;636.0;653.0;430.0;248.0;120.0;;;97.0;2292.0
Appeltern-G0201;7;12;1345.0;28.0;;119.0;56.0;5.0;;;3.0;;;;8.0;;;;55.0
Appingedam-G0003;40;96;61.0;473.0;612.0;551.0;164.0;145.0;461.0;403.0;;346.0;;8.0;8.0;;13.0;;243.0
Arcen en Velden-G0885;24;27;1178.0;12.0;11.0;;86.0;;11.0;;;;60.0;;;9.0;;;82.0
Arkel-G0487;4;34;11.0;196.0;60.0;39.0;19.0;212.0;8.0;2.0;18.0;1.0;1.0;5.0;1.0;;;;34.0
Arnemuiden-G0649;26;33;9.0;76.0;252.0;178.0;85.0;40.0;33.0;;313.0;;;;32.0;;;;85.0
Arnhem-G0202;665;2335;10635.0;12439.0;3159.0;2588.0;3658.0;2335.0;964.0;1472.0;146.0;327.0;301.0;441.0;784.0;;;117.0;2624.0
Asperen-G0488;19;17;;86.0;228.0;118.0;126.0;33.0;14.0;3.0;165.0;;;3.0;1.0;;;2.0;79.0
Assen-G0106;171;387;262.0;2378.0;1484.0;746.0;725.0;467.0;1588.0;324.0;;62.0;;107.0;;;77.0;24.0;707.0
Assendelft-G0367;35;63;943.0;558.0;78.0;36.0;40.0;84.0;389.0;284.0;24.0;11.0;17.0;30.0;;1.0;;;131.0
Asten-G0743;10;13;2375.0;7.0;5.0;22.0;;11.0;1.0;2.0;;;2.0;;;;;83.0;162.0
Avenhorn-G0368;11;8;231.0;109.0;10.0;4.0;41.0;41.0;188.0;5.0;1.0;2.0;6.0;4.0;;;;;59.0
Avereest-G0143;96;77;387.0;642.0;929.0;1343.0;226.0;367.0;135.0;10.0;33.0;28.0;9.0;35.0;6.0;;;7.0;556.0
Axel-G0650;56;65;402.0;388.0;900.0;547.0;167.0;221.0;44.0;;162.0;;;;;;55.0;;199.0
Baarderadeel-G0061;30;39;80.0;826.0;348.0;295.0;86.0;193.0;605.0;25.0;6.0;34.0;;9.0;6.0;;;;277.0
Baarland-G0651;7;11;82.0;27.0;86.0;94.0;11.0;35.0;7.0;;38.0;;;;;;;;25.0
Baarle-Nassau-G0744;12;17;1053.0;23.0;8.0;7.0;5.0;2.0;1.0;1.0;;;30.0;;;1.0;;;65.0
Baarn-G0308;99;235;925.0;1328.0;1064.0;736.0;648.0;583.0;288.0;46.0;326.0;71.0;100.0;20.0;;;;7.0;517.0
Baexem-G0886;1;7;448.0;;1.0;;5.0;;;;;;;;;3.0;;;18.0
