RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Aagtekerke-G1000;5;3;1.0;1.0;72.0;64.0;8.0;19.0;1.0;;169.0;;;3.0;;58.0
Aalsmeer-G0358;65;52;893.0;1020.0;981.0;633.0;609.0;423.0;344.0;111.0;52.0;50.0;33.0;5.0;;259.0
Aalten-G0197;75;106;780.0;401.0;2122.0;1175.0;158.0;237.0;414.0;10.0;3.0;96.0;;;;333.0
Aardenburg-G0648;25;26;504.0;96.0;95.0;26.0;196.0;62.0;32.0;;11.0;;;13.0;;88.0
Aarle-Rixtel-G0739;7;27;1073.0;40.0;4.0;14.0;;11.0;8.0;;;;;1.0;;82.0
Abbekerk-G0359;4;3;127.0;68.0;6.0;11.0;101.0;61.0;10.0;2.0;;1.0;8.0;2.0;;25.0
Abbenbroek-G0481;3;9;2.0;131.0;22.0;21.0;64.0;56.0;34.0;16.0;4.0;;;1.0;;34.0
Abcoude-Baambrugge-G1003;3;14;191.0;39.0;189.0;269.0;17.0;25.0;33.0;1.0;4.0;10.0;;;;65.0
Abcoude-Proostdij-G1004;8;6;406.0;53.0;93.0;204.0;11.0;14.0;25.0;2.0;2.0;3.0;1.0;;;52.0
Achtkarspelen-G0059;181;90;13.0;877.0;3087.0;1096.0;693.0;184.0;12.0;163.0;48.0;792.0;11.0;;259.0;493.0
Achttienhoven-G1005;5;12;77.0;15.0;84.0;152.0;5.0;5.0;6.0;;21.0;;;;;30.0
Adorp-G0001;5;10;;53.0;343.0;44.0;43.0;73.0;21.0;2.0;;135.0;;;5.0;54.0
Aduard-G0002;12;8;4.0;162.0;450.0;64.0;108.0;131.0;29.0;6.0;;81.0;;;4.0;86.0
Akersloot-G0360;7;18;563.0;77.0;12.0;7.0;172.0;36.0;26.0;2.0;2.0;2.0;12.0;;;59.0
Alblasserdam-G0482;34;79;32.0;651.0;387.0;833.0;50.0;497.0;74.0;16.0;551.0;4.0;5.0;25.0;;302.0
Alem, Maren en Kessel-G1007;4;13;512.0;3.0;1.0;11.0;;3.0;1.0;;;;;;;69.0
Alkemade-G0483;2;14;2132.0;31.0;226.0;120.0;31.0;10.0;21.0;3.0;9.0;4.0;;3.0;;116.0
Alkmaar-G0361;308;475;5420.0;3608.0;969.0;987.0;2124.0;1163.0;686.0;363.0;20.0;189.0;505.0;297.0;;1251.0
Almelo-G0141;419;646;3543.0;4931.0;1539.0;989.0;1238.0;973.0;616.0;992.0;104.0;2225.0;310.0;;;1066.0
Almkerk-G0740;13;21;6.0;44.0;1113.0;439.0;;77.0;17.0;;15.0;;;;;195.0
Alphen aan den Rijn-G0484;63;106;1704.0;778.0;2059.0;2458.0;367.0;362.0;344.0;54.0;416.0;28.0;6.0;81.0;;424.0
Alphen en Riel-G0741;2;11;1176.0;18.0;3.0;;;3.0;;;1.0;;;;;77.0
Ambt Delden-G0142;22;18;1166.0;128.0;56.0;234.0;217.0;33.0;33.0;1.0;3.0;6.0;2.0;;;128.0
Ambt Hardenberg-G1011;58;102;735.0;570.0;2277.0;1427.0;280.0;386.0;168.0;10.0;12.0;140.0;6.0;;;488.0
Ambt Vollenhove-G1013;14;18;15.0;56.0;584.0;392.0;11.0;84.0;12.0;5.0;31.0;17.0;2.0;;;110.0
Amby-G0883;45;55;786.0;30.0;4.0;1.0;;;40.0;;;;;;;76.0
Ameide-G0485;21;9;3.0;236.0;368.0;22.0;54.0;47.0;14.0;1.0;49.0;6.0;;15.0;;92.0
