RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Aagtekerke-G1000;5;0;1;6;50;0;79;10;196;0;0;54.0
Aalsmeer-G0358;130;0;1104;1838;905;353;947;640;58;50;0;325.0
Aalten-G0197;214;0;1051;1078;2585;22;1389;249;8;0;0;513.0
Aardenburg-G0648;59;0;1169;225;148;33;53;165;12;0;0;128.0
Aarle-Rixtel-G0739;26;0;1245;40;30;12;20;12;0;7;0;93.0
Abbekerk-G0359;13;0;161;210;35;22;13;37;1;1;0;46.0
Abbenbroek-G0481;8;0;3;132;40;90;33;107;4;0;0;33.0
Abcoude-G0305;11;0;658;241;239;16;524;27;24;0;0;84.0
Achtkarspelen-G0059;177;0;22;2229;3703;567;1407;236;62;0;0;531.0
Achttienhoven-G1005;4;0;82;31;94;8;159;2;26;0;0;30.0
Adorp-G0001;11;0;9;198;397;22;77;103;0;1;0;55.0
Aduard-G0002;14;0;6;317;507;38;69;196;0;0;0;70.0
Akersloot-G0360;13;0;694;203;18;97;13;34;3;0;0;79.0
Alblasserdam-G0482;57;0;29;1179;477;147;1059;299;677;0;0;259.0
Alem, Maren en Kessel-G1007;6;0;571;10;10;0;4;0;1;0;0;26.0
Alkemade-G0483;33;0;2596;38;273;7;142;40;9;0;0;121.0
Alkmaar-G0361;546;0;6694;6397;1470;3227;798;1079;61;31;0;1351.0
Almelo-G0141;757;0;4549;7535;1832;4297;1261;1106;140;0;0;1570.0
Almkerk-G0740;17;0;10;144;1291;0;475;117;9;0;0;205.0
Alphen aan den Rijn-G0484;179;0;2016;1627;2417;245;2751;444;365;0;0;691.0
Alphen en Riel-G0741;13;0;1360;11;10;2;3;0;0;62;0;41.0
Ambt Delden-G0142;53;0;1386;338;51;23;288;49;1;0;0;114.0
Amby-G0883;100;0;908;163;0;22;0;0;0;14;0;65.0
Ameide-G0485;19;0;1;351;486;2;10;78;47;0;0;79.0
Ameland-G0060;22;0;300;608;112;37;159;14;1;0;0;64.0
Amerongen-G0306;39;0;16;444;303;29;584;92;267;0;0;185.0
Amersfoort-G0307;736;0;6449;8253;3380;3653;3245;1672;350;0;0;2525.0
Ammerstol-G0486;20;0;4;348;18;160;3;56;19;0;0;44.0
Ammerzoden-G0198;51;0;905;0;177;0;185;13;31;0;0;79.0
Amstenrade-G0884;87;0;808;114;0;65;0;0;0;68;0;69.0
Amsterdam-G0363;12661;0;76187;135755;32717;134050;17665;23799;1165;3979;0;59161.0
Andel-G0742;9;0;2;47;240;0;298;4;5;0;0;59.0
Andijk-G0364;40;0;304;487;928;379;36;36;37;13;0;127.0
Angerlo-G0199;15;0;816;168;85;0;339;44;0;0;0;69.0
Ankeveen-G1014;10;0;158;59;24;48;76;12;1;0;0;38.0
Anloo-G0105;165;0;20;1540;132;274;86;773;0;0;0;259.0
Anna Paulowna-G0366;53;0;994;1116;308;669;157;184;17;8;0;256.0
Apeldoorn-G0200;1782;0;5600;13414;5634;2324;9686;3116;757;0;0;4288.0
Appeltern-G0201;67;0;1457;0;11;0;173;4;2;0;0;89.0
Appingedam-G0003;84;0;83;1055;764;707;766;332;0;206;0;279.0
Arcen en Velden-G0885;61;0;1775;73;0;0;0;0;0;12;0;90.0
Arkel-G0487;21;0;20;348;104;24;15;209;19;0;0;39.0
Arnemuiden-G0649;45;0;15;225;309;18;338;38;465;0;0;144.0
Arnhem-G0202;2035;0;15745;17468;3747;5238;4065;3524;193;0;0;4073.0
Asperen-G0488;23;0;3;191;323;8;130;97;182;0;0;64.0
Assen-G0106;370;0;340;5031;2143;1143;1103;1204;0;0;0;1565.0
Assendelft-G0367;45;0;1272;940;110;804;27;43;37;1;0;165.0
Asten-G0743;39;0;3223;37;20;11;37;13;0;7;0;163.0
Avenhorn-G0368;9;0;337;305;7;67;13;38;6;0;0;23.0
Avereest-G0143;130;0;539;1068;1250;68;2052;354;24;0;0;521.0
Axel-G0650;91;0;587;553;1009;27;821;267;200;36;0;378.0
Baarderadeel-G0061;45;0;123;1429;436;151;309;341;0;0;0;274.0
Baarland-G0651;6;0;111;43;96;32;139;29;37;0;0;37.0
Baarle-Nassau-G0744;19;0;1514;11;22;11;10;0;0;58;0;106.0
Baarn-G0308;289;0;1414;2375;1828;653;786;984;114;0;0;970.0
Baexem-G0886;18;0;627;7;0;0;0;0;0;1;0;8.0
Baflo-G0004;26;0;2;463;782;41;61;204;0;16;0;88.0
Bakel en Milheeze-G0745;30;0;1769;23;16;5;10;7;0;3;0;65.0
Barendrecht-G0489;59;0;34;851;1466;41;627;275;206;0;0;238.0
Barneveld-G0203;135;0;612;819;1814;199;3815;173;1223;0;0;1062.0
Barradeel-G0062;48;0;26;1285;1287;200;1293;98;1;0;0;309.0
Barsingerhorn-G0369;29;0;45;403;77;314;41;276;6;2;0;111.0
Barwoutswaarder-G1017;5;0;70;21;105;3;147;4;36;0;0;31.0
Batenburg-G0204;17;0;205;0;7;0;39;5;1;0;0;21.0
Bathmen-G0144;40;0;46;434;50;14;342;281;5;0;0;111.0
Bedum-G0005;51;0;142;868;1953;66;117;370;0;4;0;234.0
Beegden-G0887;5;0;476;11;0;0;0;0;0;0;0;24.0
Beek-G0888;154;0;2645;310;0;35;0;0;0;248;0;236.0
Beek-G1247;69;0;1725;50;26;11;5;3;0;16;0;56.0
Beek en Donk-G0746;34;0;1642;9;8;11;7;10;0;3;0;73.0
Beemster-G0370;65;0;844;1209;175;373;54;446;27;10;0;267.0
Beers-G0747;13;0;1008;2;1;0;1;0;0;0;0;39.0
Beerta-G0006;102;0;19;470;38;1080;84;288;0;8;0;194.0
Beesd-G0205;29;0;615;209;94;43;303;102;53;0;0;102.0
Beesel-G0889;39;0;2327;77;0;11;0;0;0;5;0;96.0
Beets-G0371;3;0;6;173;13;16;6;62;2;3;0;25.0
Beilen-G0107;164;0;35;1689;1265;123;989;490;0;0;0;576.0
Belfeld-G0890;33;0;1042;40;0;7;0;0;0;5;0;36.0
Bellingwolde-G1019;132;0;24;1625;214;851;224;394;0;15;0;320.0
Bemelen-G0891;3;0;137;9;0;0;0;0;0;1;0;1.0
Bemmel-G0206;84;0;3279;106;38;0;252;32;0;0;0;249.0
Bennebroek-G0372;24;0;590;277;241;33;84;129;9;8;0;97.0
Benschop-G0309;9;0;306;118;273;2;185;60;100;0;0;79.0
Benthuizen-G0490;8;0;12;72;88;2;76;29;296;0;0;46.0
Berg en Terblijt-G0892;27;0;923;30;0;12;0;0;0;2;0;17.0
Bergambacht-G0491;40;0;13;581;523;95;54;255;374;0;0;192.0
Bergen-G0373;81;0;1546;1248;207;388;109;440;11;3;0;190.0
Bergen-G0893;108;0;3450;99;0;0;0;0;0;24;0;176.0
Bergen op Zoom-G0748;510;0;9787;1942;636;266;307;196;54;17;0;998.0
Bergeyk-G0749;18;0;1598;35;14;15;24;4;0;1;0;172.0
