RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overige partijen met 1 of meer zetels;Overige partijen zonder zetels;@abs
Aagtekerke-G1000;0;0;0;11;49;100;8;0;205;0;0;58.0
Aalsmeer-G0358;0;0;1234;1697;1092;991;853;309;47;0;42;691.0
Aalten-G0197;0;0;1118;1045;2546;1498;389;15;17;0;22;690.0
Aardenburg-G0648;0;0;1144;284;160;56;150;7;17;0;0;235.0
Aarle-Rixtel-G0739;0;0;1231;42;5;15;14;2;0;118;0;192.0
Abbekerk-G0359;0;0;168;160;15;15;66;23;1;0;1;52.0
Abbenbroek-G0481;0;0;4;160;25;22;122;29;4;1;3;75.0
Abcoude-G0305;0;0;670;190;296;519;26;31;39;7;0;181.0
Achtkarspelen-G0059;0;0;28;2162;3483;1367;394;394;86;70;365;984.0
Achttienhoven-G1005;0;0;86;41;119;110;5;8;38;3;0;59.0
Adorp-G0001;0;0;6;235;316;65;98;1;0;69;0;84.0
Aduard-G0002;0;0;6;327;398;74;211;15;0;88;0;94.0
Akersloot-G0360;0;0;744;148;29;11;124;69;1;0;0;94.0
Alblasserdam-G0482;0;0;55;1352;454;1005;391;80;810;26;41;468.0
Alem, Maren en Kessel-G1007;0;0;608;10;2;4;0;0;2;5;1;94.0
Alkemade-G0483;0;0;2749;42;261;175;22;5;2;16;2;217.0
Alkmaar-G0361;0;0;6880;6594;1253;1140;2409;1737;25;0;389;2309.0
Almelo-G0141;0;0;5036;7609;2181;1565;2280;2512;109;0;71;2478.0
Almkerk-G0740;0;0;6;147;1316;489;106;0;13;6;0;259.0
Alphen aan den Rijn-G0484;0;0;2095;1571;2261;3168;563;105;395;41;24;915.0
Alphen en Riel-G0741;0;0;1484;17;4;2;2;0;0;1;7;103.0
Ambt Delden-G0142;0;0;1493;308;34;296;109;9;2;0;3;214.0
Amby-G0883;0;0;896;77;0;0;0;14;0;88;20;263.0
Ameide-G0485;0;0;5;360;444;32;83;2;50;0;1;129.0
Ameland-G0060;0;0;324;358;116;217;160;17;4;2;17;148.0
Amerongen-G0306;0;0;35;475;268;597;128;21;277;12;0;254.0
Amersfoort-G0307;0;0;6964;8068;3225;4565;2518;1630;381;689;0;4555.0
Ammerstol-G0486;0;0;4;370;10;10;69;138;20;0;1;82.0
Ammerzoden-G0198;0;0;990;70;183;181;12;0;36;0;1;170.0
Amstenrade-G0884;0;0;885;76;0;0;0;35;0;65;30;198.0
Amsterdam-G0363;0;0;79130;142110;41039;20673;47101;109283;536;0;4573;62307.0
Andel-G0742;0;0;5;47;202;309;2;0;27;3;0;102.0
Andijk-G0364;0;0;346;435;891;43;107;289;33;0;4;217.0
Angerlo-G0199;0;0;803;91;59;377;83;0;3;0;1;194.0
Ankeveen-G1014;0;0;174;36;35;107;11;32;3;0;1;46.0
Anloo-G0105;0;0;14;1432;121;87;1089;100;0;0;13;510.0
Anna Paulowna-G0366;0;0;1074;1096;306;170;328;324;4;0;14;372.0
Apeldoorn-G0200;0;0;5572;11877;5432;11786;5081;1259;894;0;262;6871.0
Appeltern-G0201;0;0;1438;40;3;138;1;0;3;0;8;205.0
Appingedam-G0003;0;0;96;1293;852;944;498;491;0;20;0;583.0
Arcen en Velden-G0885;0;0;1913;38;0;0;0;0;0;19;25;265.0
Arkel-G0487;0;0;23;375;84;26;200;11;19;2;1;115.0
Arnemuiden-G0649;0;0;15;258;275;328;19;3;399;6;0;193.0
Arnhem-G0202;0;0;16793;17242;4808;5497;3838;2367;243;0;2008;7127.0
Asperen-G0488;0;0;3;209;266;153;95;6;188;0;2;105.0
Assen-G0106;0;0;392;5232;1970;1218;1595;524;0;0;422;2085.0
Assendelft-G0367;0;0;1373;944;156;33;144;679;31;0;7;262.0
Asten-G0743;0;0;2920;27;5;40;10;11;0;370;0;403.0
Avenhorn-G0368;0;0;364;234;10;10;118;24;0;0;0;55.0
Avereest-G0143;0;0;544;947;1258;2088;397;35;27;0;21;1011.0
Axel-G0650;0;0;599;668;759;762;168;7;217;335;0;433.0
Baarderadeel-G0061;0;0;117;1323;426;322;484;28;6;0;37;369.0
Baarland-G0651;0;0;110;59;89;131;20;21;38;7;0;59.0
