RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;KNP;Gereformeerd Politiek Verbond (GPV);Socialistische Unie;Katholieke Democratische Lijst;Protestants-Christelijke Lijst;Middenstandspartij;Vrijzinnig-Democratische Bond (VDB);Katholieke Arbeiders Lijst;Bond van Wereldburgers;Lijst van Nunen;@abs
Aagtekerke-G1000;0;0;2;7;47;110;11;0;212;0.0;0;0;0;0;0;0;0;0;0;48
Aalsmeer-G0358;0;0;1398;2148;1025;1205;629;225;54;48.0;35;53;0;0;0;0;0;0;0;594
Aalten-G0197;0;0;1222;1217;2732;1601;364;14;11;0.0;14;0;0;0;0;0;0;0;0;529
Aardenburg-G0648;0;0;1179;367;134;84;152;6;11;0.0;4;0;0;0;0;0;17;0;0;207
Aarle-Rixtel-G0739;0;0;1411;64;6;24;7;0;0;13.0;0;0;0;0;0;0;0;0;0;150
Abbekerk-G0359;0;0;186;166;12;5;71;15;0;0.0;0;2;0;0;0;0;0;0;0;48
Abbenbroek-G0481;0;0;1;190;31;24;129;18;2;1.0;0;0;0;0;0;0;0;0;0;63
Abcoude-G0305;0;0;727;277;301;495;117;6;49;0.0;2;0;0;0;0;0;0;7;0;132
Achtkarspelen-G0059;0;0;23;2598;3583;1373;423;365;60;0.0;343;0;0;0;0;35;0;0;0;758
Adorp-G0001;0;0;0;245;329;60;101;3;0;0.0;62;0;0;0;11;0;0;0;0;28
Aduard-G0002;0;0;8;397;421;65;189;12;0;0.0;94;0;0;0;22;0;0;0;0;78
Akersloot-G0360;0;0;838;178;19;12;147;40;0;6.0;1;1;0;0;0;0;0;0;0;66
Alblasserdam-G0482;0;0;124;1877;509;1127;538;101;864;36.0;45;3;0;0;0;0;0;0;0;534
Alem, Maren en Kessel-G1007;0;0;698;4;0;8;1;0;0;0.0;0;0;0;0;0;0;0;0;0;69
Alkemade-G0483;0;0;2965;122;304;140;32;3;14;32.0;2;2;0;0;0;0;0;0;0;156
Alkmaar-G0361;0;0;7665;7330;1532;996;2356;1456;41;261.0;46;37;0;0;0;0;0;0;0;2069
Almelo-G0141;0;0;5991;9157;2293;1806;2545;2388;207;0.0;174;0;0;0;0;0;0;0;0;1910
Almkerk-G0740;0;0;8;212;1441;511;24;0;14;9.0;0;0;0;0;0;0;0;0;0;244
Alphen aan den Rijn-G0484;0;0;2247;2038;2342;2978;608;114;502;71.0;17;10;0;0;0;0;0;0;0;816
Alphen en Riel-G0741;0;0;1543;29;0;6;1;2;1;17.0;0;0;0;0;0;0;0;0;0;85
Ambt Delden-G0142;0;0;1615;327;43;229;176;13;1;0.0;1;0;0;0;0;0;0;0;0;143
Amby-G0883;0;0;1047;202;0;0;0;1;0;0.0;0;0;10;11;0;0;0;0;0;139
Ameide-G0485;0;0;5;402;438;59;71;1;68;0.0;1;2;0;0;0;0;0;0;0;65
Ameland-G0060;0;0;336;402;143;199;167;5;1;0.0;2;0;0;0;0;6;0;0;0;131
Amerongen-G0306;0;0;74;563;297;608;123;8;272;0.0;7;0;0;0;0;0;0;8;0;246
Amersfoort-G0307;0;0;8010;9758;3371;4362;3357;1071;533;0.0;653;0;0;0;0;0;0;128;0;4261
Ammerstol-G0486;0;0;2;452;10;11;64;95;16;0.0;0;1;0;0;0;0;0;0;0;49
Ammerzoden-G0198;0;0;1109;94;96;216;9;0;52;3.0;0;0;0;0;0;0;0;0;0;141
Amstenrade-G0884;0;0;1069;202;0;0;0;15;0;0.0;7;0;13;82;0;0;0;0;0;137
Amsterdam-G0363;0;0;80893;172647;33498;22558;55494;101715;1615;5028.0;1130;1155;0;0;0;0;0;0;0;56590
Andel-G0742;0;0;1;69;219;306;6;0;23;5.0;0;0;0;0;0;0;0;0;0;98
Andijk-G0364;0;0;397;527;850;22;124;222;39;10.0;2;4;0;0;0;0;0;0;0;129
Angerlo-G0199;0;0;958;199;43;333;44;3;7;3.0;0;0;0;0;0;0;0;0;0;107
Ankeveen-G1014;0;0;199;91;26;81;9;25;4;3.0;2;1;0;0;0;0;0;0;0;44
Anloo-G0105;0;0;25;1383;143;110;1206;77;0;0.0;14;0;0;0;0;0;0;0;0;451
Anna Paulowna-G0366;0;0;1173;1229;247;140;379;235;5;52.0;23;2;0;0;0;0;0;0;0;254
Apeldoorn-G0200;0;0;6202;15556;5352;11797;5287;1484;1119;336.0;156;0;0;0;0;0;0;0;0;6030
Appeltern-G0201;0;0;1599;47;6;140;2;0;3;1.0;0;0;0;0;0;0;0;0;0;125
Appingedam-G0003;0;0;112;1855;916;849;482;386;0;0.0;34;0;0;0;105;0;0;0;0;488
Arcen en Velden-G0885;0;0;2154;75;0;0;0;0;0;0.0;0;0;0;21;0;0;0;0;0;166
Arkel-G0487;0;0;14;412;85;40;214;7;26;0.0;1;3;0;0;0;0;0;0;0;65
Arnemuiden-G0649;0;0;10;374;269;270;19;5;425;0.0;3;0;0;0;0;0;2;0;0;127
Arnhem-G0202;0;0;20552;21831;4159;5580;5560;1799;185;553.0;153;0;0;0;0;0;0;0;0;5588
Asperen-G0488;0;0;3;245;265;135;98;5;174;1.0;0;0;0;0;0;0;0;0;0;93
Assen-G0106;0;0;542;5913;2081;1314;1847;452;0;0.0;546;0;0;0;0;0;0;0;0;1961
Assendelft-G0367;0;0;1499;1078;135;36;156;644;38;4.0;20;1;0;0;0;0;0;0;0;206
Asten-G0743;0;0;3550;68;5;44;11;11;0;17.0;0;0;0;0;0;0;0;0;0;278
Avenhorn-G0368;0;0;410;250;7;6;131;20;0;2.0;0;0;0;0;0;0;0;0;0;36
