RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Pacifistisch-Socialistische Partij (PSP);Samenwerkende Christelijke Groepering;Boeren Partij;Wereldburgers;Lijst Voogd;@abs
Aagtekerke-G1000;3;0;2;9;15;45;123;0;197;0;0;0;0;0;0;0.0;29.0
Aalsmeer-G0358;127;0;1544;2099;1204;1021;1149;131;73;26;0;400;0;0;0;0.0;345.0
Aalten-G0197;211;0;1331;1375;458;2837;1546;4;13;19;0;0;0;14;0;0.0;304.0
Aardenburg-G0648;107;0;1216;346;152;113;71;7;13;2;0;0;0;0;0;0.0;88.0
Aarle-Rixtel-G0739;58;0;1473;98;25;0;0;4;0;0;28;0;0;0;0;0.0;112.0
Abbekerk-G0359;5;0;198;173;80;15;10;14;0;0;0;9;0;0;0;0.0;31.0
Abbenbroek-G0481;17;0;2;211;134;44;23;15;9;0;0;0;0;0;0;0.0;31.0
Abcoude-G0305;39;0;777;306;270;266;490;12;62;5;0;0;0;0;17;0.0;109.0
Achtkarspelen-G0059;185;0;32;2838;488;3696;1480;343;70;293;0;0;0;0;0;0.0;527.0
Adorp-G0001;9;0;0;231;132;324;64;5;0;56;0;0;0;0;0;0.0;39.0
Aduard-G0002;20;0;8;391;254;407;60;19;0;110;0;0;0;0;0;0.0;29.0
Akersloot-G0360;18;0;902;188;139;13;22;16;0;2;0;7;0;0;0;0.0;44.0
Alblasserdam-G0482;190;0;251;2477;656;643;1258;120;894;50;0;0;0;0;0;0.0;412.0
Alkemade-G0483;28;0;3264;114;58;297;147;6;5;3;0;0;0;0;0;1.0;82.0
Alkmaar-G0361;557;0;8081;7935;3127;1434;1028;1008;58;38;0;397;0;0;0;0.0;1229.0
Almelo-G0141;921;0;6560;10386;3070;2327;1849;1789;166;106;0;0;0;0;0;0.0;1221.0
Almkerk-G0740;36;0;16;276;33;0;0;0;26;92;1987;0;0;0;0;0.0;150.0
Alphen aan den Rijn-G0484;185;0;2515;2455;774;2340;3023;154;585;21;0;0;0;0;0;8.0;446.0
Alphen en Riel-G0741;17;0;1671;27;7;0;0;0;1;0;1;0;0;0;0;0.0;32.0
Ambt Delden-G0142;20;0;1702;305;231;35;223;5;6;0;0;0;0;0;0;0.0;113.0
Amby-G0883;52;0;1194;193;0;0;0;6;0;0;0;0;13;0;0;0.0;70.0
Ameide-G0485;23;0;4;363;80;348;141;1;88;0;0;0;0;0;0;0.0;48.0
Ameland-G0060;18;0;366;413;152;113;215;8;1;0;0;0;0;0;0;0.0;87.0
Amerongen-G0306;43;0;101;656;166;287;670;14;296;5;0;0;0;0;10;0.0;190.0
Amersfoort-G0307;1160;0;8600;11411;4973;3389;4593;1058;537;753;0;0;0;0;206;0.0;2422.0
Ammerstol-G0486;26;0;5;441;64;17;14;99;19;0;0;0;0;0;0;0.0;28.0
