RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Vrije Burgers;Boeren Partij;Samenwerkende Christelijke Groepering;Lijst Fokker;Lijst Groen;Wereldburgers;Christelijk-Nationale Volks Partij;Lijst Hartman;@abs
Aagtekerke-G1000;8;0;5;18;14;42;108;0;0;192;0.0;0;0;0;0;0;0;0;0;0.0;33.0
Aalsmeer-G0358;161;0;1627;2285;1179;1135;1130;456;109;76;22.0;0;65;0;0;0;10;0;0;0.0;493.0
Aalten-G0197;247;0;1370;1480;442;2949;1623;39;8;17;16.0;0;0;45;0;0;0;0;0;0.0;395.0
Aardenburg-G0648;97;0;1222;314;164;103;56;12;5;7;0.0;0;0;0;0;0;0;0;0;0.0;91.0
Aarle-Rixtel-G0739;61;0;1514;123;31;0;0;5;8;0;0.0;24;0;0;0;0;0;0;0;0.0;77.0
Abbekerk-G0359;6;0;205;162;78;11;18;26;6;0;0.0;0;0;0;0;0;0;0;0;0.0;31.0
Abbenbroek-G0481;14;0;6;205;116;35;29;19;8;9;0.0;0;6;0;0;0;0;0;0;0.0;50.0
Abcoude-G0305;57;0;856;463;378;323;568;75;22;70;4.0;0;0;0;0;0;0;19;7;0.0;167.0
Achtkarspelen-G0059;115;0;25;2969;437;3895;1499;158;220;94;280.0;0;0;0;0;0;0;0;0;0.0;580.0
Adorp-G0001;8;0;5;224;125;344;51;9;5;0;73.0;0;0;0;0;0;0;0;0;0.0;27.0
Aduard-G0002;16;0;5;365;238;378;71;27;12;0;110.0;0;0;0;0;0;0;0;0;0.0;51.0
Akersloot-G0360;25;0;933;195;140;17;18;35;22;0;0.0;0;6;0;0;0;1;0;0;0.0;66.0
Alblasserdam-G0482;175;0;239;2827;681;675;1231;147;88;878;60.0;0;22;0;0;0;0;0;0;0.0;642.0
Alkemade-G0483;55;0;3386;143;97;273;138;16;7;7;0.0;0;16;0;0;0;0;0;0;0.0;205.0
Alkmaar-G0361;533;0;8477;8227;2787;1404;1043;1066;824;37;51.0;0;165;0;0;0;32;0;0;0.0;1449.0
Almelo-G0141;891;0;7062;11052;2827;2313;1853;831;1402;203;110.0;0;0;0;0;0;0;0;0;0.0;1493.0
Almkerk-G0740;35;0;17;267;59;0;0;0;0;0;0.0;2004;0;0;0;72;0;0;0;0.0;163.0
Alphen aan den Rijn-G0484;199;0;2725;2903;872;2563;3071;172;102;548;32.0;0;56;0;0;0;0;0;0;0.0;762.0
Alphen en Riel-G0741;31;0;1731;45;12;0;0;1;1;0;0.0;1;0;0;0;0;0;0;0;0.0;51.0
Ambt Delden-G0142;30;0;1738;362;201;40;219;7;3;2;1.0;0;10;0;0;0;0;0;0;0.0;134.0
Amby-G0883;74;0;1201;182;31;0;0;0;16;0;0.0;0;0;0;10;0;0;0;0;0.0;81.0
Ameide-G0485;17;0;0;361;75;377;117;4;3;72;1.0;0;5;0;0;0;0;0;0;0.0;72.0
Ameland-G0060;10;0;386;410;143;112;208;27;1;1;3.0;0;0;0;0;0;0;0;0;0.0;111.0
Amerongen-G0306;42;0;109;727;217;264;748;49;12;291;10.0;0;0;0;0;0;0;5;18;0.0;262.0
Amersfoort-G0307;1020;0;8892;12315;4476;3158;4621;1121;707;554;756.0;0;0;0;0;0;0;140;66;0.0;2890.0
Ammerstol-G0486;14;0;3;426;75;16;18;32;90;17;1.0;0;3;0;0;0;0;0;0;0.0;44.0
Ammerzoden-G0198;27;0;1196;136;11;94;212;1;0;53;3.0;0;0;2;0;0;0;0;0;0.0;55.0
Amstenrade-G0884;90;0;1236;254;33;0;0;0;17;0;0.0;0;0;0;58;0;0;0;0;0.0;73.0
Amsterdam-G0363;20256;0;83517;181214;56137;28988;19837;42915;62958;1564;1745.0;0;8799;0;0;0;1939;0;0;0.0;40489.0
Andel-G0742;12;0;3;82;13;0;0;0;0;0;0.0;517;0;0;0;57;0;0;0;0.0;84.0
Andijk-G0364;38;0;441;521;98;821;33;99;116;36;0.0;0;7;0;0;0;1;0;0;0.0;109.0
Angerlo-G0199;24;0;1020;246;55;39;312;10;1;2;0.0;0;0;15;0;0;0;0;0;0.0;72.0
Ankeveen-G1014;9;0;233;142;40;32;92;13;15;4;0.0;0;3;0;0;0;1;0;0;0.0;36.0
Anloo-G0105;133;0;15;1777;1152;74;74;48;56;0;12.0;0;0;0;0;0;0;0;0;35.0;219.0
Anna Paulowna-G0366;54;0;1399;1154;440;261;132;85;109;20;37.0;0;9;0;0;0;3;0;0;0.0;198.0
Apeldoorn-G0200;1573;0;8007;19215;6989;5812;10883;1299;536;1268;190.0;0;0;1140;0;0;0;0;0;0.0;4664.0
Appeltern-G0201;32;0;1574;52;10;20;127;3;0;2;0.0;0;0;10;0;0;0;0;0;0.0;110.0
Appingedam-G0003;190;0;114;2249;600;958;850;172;199;0;59.0;0;0;0;0;0;0;0;0;0.0;299.0
Arcen en Velden-G0885;39;0;2583;67;0;0;0;0;0;0;0.0;0;0;0;19;0;0;0;0;0.0;64.0
Arkel-G0487;39;0;32;660;204;147;81;10;4;29;2.0;0;4;0;0;0;0;0;0;0.0;61.0
Arnemuiden-G0649;46;0;5;303;34;267;257;8;4;487;6.0;0;0;0;0;0;0;0;0;0.0;132.0
Arnhem-G0202;2143;0;20489;25644;7569;4090;5331;1458;1070;359;218.0;0;0;556;0;0;0;0;0;0.0;4302.0
Asperen-G0488;15;0;12;248;107;243;164;6;1;143;2.0;0;2;0;0;0;0;0;0;0.0;74.0
Assen-G0106;458;0;657;7232;2474;2250;1390;359;322;0;607.0;0;0;0;0;0;0;0;0;62.0;1286.0
Assendelft-G0367;58;0;1577;1144;210;116;70;254;442;0;21.0;0;16;0;0;0;6;0;0;0.0;196.0
Asten-G0743;62;0;4295;124;31;0;0;7;4;0;0.0;33;0;0;0;0;0;0;0;0.0;105.0
Avenhorn-G0368;4;0;450;222;88;8;13;26;7;0;0.0;0;0;0;0;0;1;0;0;0.0;33.0
Avereest-G0143;101;0;638;1383;570;1191;1885;32;17;33;31.0;0;31;0;0;0;0;0;0;0.0;678.0
Axel-G0650;112;0;906;917;350;689;687;34;4;169;417.0;0;0;0;0;0;0;0;0;0.0;263.0
Baarderadeel-G0061;24;0;123;1327;542;356;330;77;9;8;2.0;0;0;0;0;0;0;0;0;0.0;174.0
Baarland-G0651;12;0;95;75;27;76;101;0;8;34;0.0;0;0;0;0;0;0;0;0;0.0;36.0
Baarle-Nassau-G0744;40;0;1942;73;17;0;0;3;7;0;0.0;30;0;0;0;2;0;0;0;0.0;71.0
Baarn-G0308;303;0;2109;3435;2087;1885;1110;385;127;251;84.0;0;0;0;0;0;0;66;17;0.0;1132.0
Baexem-G0886;10;0;735;5;0;0;0;0;2;0;0.0;0;0;0;1;0;0;0;0;0.0;
Baflo-G0004;19;0;8;524;210;715;109;20;14;0;41.0;0;0;0;0;0;0;0;0;0.0;64.0
Bakel en Milheeze-G0745;59;0;2525;97;28;0;0;8;2;0;0.0;19;0;0;0;0;0;0;0;0.0;3.0
Barendrecht-G0489;64;0;108;1172;708;1535;635;44;15;393;51.0;0;17;0;0;0;0;0;0;0.0;287.0
Barneveld-G0203;170;0;629;1671;610;2254;3932;56;19;1914;75.0;0;0;278;0;0;0;0;0;0.0;1076.0
