RegioNaam;@invalid;@blank;KVP;PvdA;VVD;CHU;ARP;Boeren Partij;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Christelijk Democratische Unie;Partij voor Volkswil en Referendum;Samenwerkende Christelijke Groepering;FNP;Lijst van Rappard;Vrije  Burgers;Lijst Germeaux;Partij voor Volksbelang en Volksstemming;@abs
Aagtekerke-G1000;6;0;5;11;10;130.0;34.0;25;1;1;204;2.0;0;0;0;0;0.0;0;0;0;0;20.0
Aalsmeer-G0358;145;0;1848;2150;1300;1416.0;1223.0;657;433;118;67;33.0;0;43;0;0;0.0;0;0;0;0;449.0
Aalten-G0197;261;0;1457;1214;437;1958.0;3127.0;471;56;16;29;29.0;0;0;0;0;0.0;0;0;0;0;268.0
Aardenburg-G0648;66;0;1064;275;152;66.0;80.0;303;11;6;5;3.0;0;0;0;0;0.0;0;0;0;0;129.0
Aarle-Rixtel-G0739;71;0;1456;123;80;0.0;0.0;186;19;13;0;0.0;37;11;0;0;0.0;0;0;0;0;71.0
Abbekerk-G0359;4;0;210;178;64;28.0;25.0;65;22;5;0;0.0;0;0;2;0;0.0;0;0;0;0;32.0
Abbenbroek-G0481;20;0;1;193;123;37.0;37.0;46;21;9;8;0.0;0;0;0;0;0.0;1;0;0;0;36.0
Abcoude-G0305;52;0;864;378;483;690.0;369.0;200;131;27;64;12.0;0;15;20;0;0.0;0;0;0;0;137.0
Achtkarspelen-G0059;226;0;35;2849;375;1617.0;4273.0;461;262;238;103;361.0;0;0;0;0;160.0;0;0;0;0;607.0
Adorp-G0001;11;0;8;198;90;52.0;346.0;70;21;5;0;70.0;0;0;0;0;0.0;0;0;0;0;29.0
Aduard-G0002;21;0;9;368;231;92.0;396.0;108;46;7;0;126.0;0;0;0;0;0.0;0;0;0;0;46.0
Akersloot-G0360;23;0;1048;217;117;43.0;28.0;184;48;21;0;2.0;0;6;0;0;0.0;0;0;0;0;45.0
Alblasserdam-G0482;188;0;364;2942;741;1594.0;772.0;264;469;143;973;80.0;0;0;0;0;0.0;16;0;0;0;475.0
Alkemade-G0483;73;0;3688;142;187;172.0;265.0;328;30;17;20;2.0;0;0;0;0;0.0;3;0;0;0;166.0
Alkmaar-G0361;680;0;8981;7320;3265;1580.0;1568.0;1714;1709;840;0;107.0;0;166;0;0;0.0;0;0;0;0;1296.0
Almelo-G0141;886;0;8007;10033;2802;2684.0;2482.0;2226;1382;1262;218;157.0;0;0;0;0;0.0;0;0;0;0;1360.0
Almkerk-G0740;39;0;25;246;46;0.0;0.0;65;11;5;117;0.0;2161;14;0;0;0.0;0;0;0;0;120.0
Alphen aan den Rijn-G0484;282;0;3093;2781;1357;3730.0;2875.0;918;427;118;612;63.0;0;0;0;0;0.0;24;0;0;0;659.0
Alphen en Riel-G0741;40;0;1906;38;16;0.0;0.0;78;7;7;1;0.0;2;9;0;0;0.0;0;0;0;0;39.0
Ambt Delden-G0142;36;0;1721;262;161;226.0;37.0;377;14;2;9;2.0;0;0;0;0;0.0;0;0;0;0;114.0
Amby-G0883;101;0;1167;241;67;0.0;0.0;121;22;12;0;0.0;0;0;0;17;0.0;0;0;33;0;74.0
