RegioNaam;@invalid;@blank;KVP;PvdA;VVD;D66;ARP;CHU;Combinatie van Christelijke Partijen;Progressief Akkoord;Communistische Partij van Nederland;SGP;Boeren Partij;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);PvdA/PPR;Gereformeerd Politiek Verbond (GPV);Protestants-Christelijke Groepering;Binding Rechts;FNP;Lijst Koekoek;Christen-Democraten Unie;Lijst Steur;Lijst Volleman;Lijst Leferink;Lijst Kooiker;Verenigde Protestantse Partij;@abs
Aalsmeer-G0358;99;0;1367;1773;1399;619;1159;1015;0;0;189;73;114;105;200;0;67;0;55;0.0;0;12;0;0;0;0;0;3200
Aalten-G0197;94;0;1086;1074;407;130;2937;1793;0;0;30;30;98;80;27;0;50;0;47;0.0;0;0;0;0;0;0;0;1749
Aardenburg-G0648;31;0;718;240;221;39;66;53;0;0;11;8;163;152;0;0;0;0;0;;0;3;0;0;0;0;0;545
Aarle-Rixtel-G0739;27;0;1005;0;77;127;0;0;0;0;28;0;16;0;9;114;1;30;9;0.0;26;0;0;0;0;0;0;803
Abbekerk-G0359;6;0;245;141;85;50;15;17;0;0;25;1;20;3;14;0;0;0;0;0.0;0;1;7;0;0;0;0;233
Abbenbroek-G0481;5;0;8;165;147;35;42;31;0;0;12;3;13;11;4;0;0;0;0;0.0;0;0;0;0;0;0;0;195
Abcoude-G0305;14;0;582;0;599;244;347;466;0;399;43;66;45;0;0;0;22;0;13;0.0;0;0;0;0;0;0;0;922
Achtkarspelen-G0059;93;0;0;0;369;180;0;0;5238;2529;289;276;117;0;0;0;377;0;16;221.0;0;0;0;0;0;8;0;2810
Adorp-G0001;8;0;12;147;90;35;313;42;0;0;24;0;31;6;10;0;68;0;4;0.0;0;0;0;0;0;0;0;112
Aduard-G0002;10;0;12;315;196;54;385;68;0;0;60;0;11;7;12;0;130;0;6;0.0;0;0;0;0;0;0;0;203
Akersloot-G0360;11;0;808;251;235;149;46;29;0;0;25;0;35;84;39;0;8;0;6;0.0;0;2;4;0;0;0;0;686
Alblasserdam-G0482;70;0;229;2935;545;503;654;1221;0;0;167;839;40;46;74;0;86;0;25;0.0;0;0;0;0;0;0;0;2717
Alkemade-G0483;19;0;2482;173;282;165;239;150;0;0;15;17;92;91;33;0;4;0;14;0.0;0;0;0;0;0;0;0;1899
Alkmaar-G0361;198;0;5584;5671;3121;2243;1280;890;0;0;1289;0;255;680;577;0;113;0;78;0.0;0;41;96;0;0;0;0;9906
Almelo-G0141;311;0;5732;0;2718;1376;2109;2015;0;9117;1684;235;549;0;0;0;195;0;105;0.0;0;0;0;0;0;0;0;9245
Almkerk-G0740;22;0;26;0;58;20;0;0;0;0;5;67;4;0;9;186;116;1749;7;0.0;11;0;0;0;0;0;0;774
Alphen aan den Rijn-G0484;100;0;2153;2303;1548;927;2531;2972;0;0;197;563;127;191;119;0;101;0;56;0.0;0;0;0;0;0;0;0;5455
Alphen en Riel-G0741;37;0;1485;0;68;74;0;0;0;0;3;0;19;0;10;82;2;36;1;0.0;18;0;0;0;0;0;0;596
Ambt Delden-G0142;17;0;1626;0;206;54;46;202;0;179;3;3;154;0;0;0;3;0;9;0.0;0;0;0;0;4;0;0;642
Amby-G0883;35;0;0;146;326;85;0;0;681;0;14;0;32;55;13;0;0;0;15;0.0;0;0;0;0;0;0;0;783
Ameide-G0485;17;0;8;329;63;22;309;154;0;0;7;98;58;5;7;0;0;0;1;0.0;0;0;0;0;0;0;0;259
Ameland-G0060;21;0;0;0;139;50;0;0;585;270;25;1;30;0;0;0;14;0;2;22.0;0;0;0;0;0;4;0;567
