RegioNaam;@invalid;@blank;PvdA;VVD;CDA;KVP;Politieke Partij Radikalen (PPR);CHU;ARP;Communistische Partij van Nederland;BoerenPartij;SGP;PvdA/PPR/D'66;Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Pacifistisch-Socialistische Partij (PSP);D66;FNP;SGP/NEV;Rooms Katholieke Partij Nederland;Lijst Meijer;Vrouw;Nieuwe Roomse Partij;Anti-Woningnood Aktie;@abs
Aalburg-G0738;31;0;544;360;2009;0;41;0;0;32;150;0;0;56;22;20;7;0;1048;0;0;0;0;0;1316
Aalsmeer-G0358;67;0;2560;3035;3266;0;458;0;0;178;276;0;0;175;196;186;157;0;138;119;0;0;0;0;2522
Aalten-G0197;75;0;1485;951;0;1107;255;1916;2843;26;205;46;0;192;56;37;23;0;0;0;0;0;0;0;1970
Aardenburg-G0648;30;0;403;456;0;594;127;55;61;8;174;10;0;13;2;13;1;0;0;0;0;0;0;0;540
Aarle-Rixtel-G0739;20;0;368;318;1095;0;71;0;0;18;151;0;0;6;27;14;18;0;0;0;0;3;0;0;807
Abbekerk-G0359;3;0;273;146;270;0;32;0;0;22;37;0;0;4;11;27;17;0;0;7;0;0;0;0;265
Abbenbroek-G0481;2;0;233;223;0;13;32;38;43;15;18;7;0;1;7;1;6;0;0;0;0;0;0;0;160
Abcoude-G0305;27;0;0;1385;0;505;0;440;315;44;98;79;912;38;81;32;0;0;0;19;0;0;0;4;690
Achtkarspelen-G0059;80;0;3440;748;5957;0;198;0;0;247;125;0;0;654;31;50;37;430;271;0;0;0;0;0;3007
Adorp-G0001;1;0;236;142;379;0;59;0;0;8;18;0;0;107;12;1;8;0;0;0;6;0;0;0;108
Aduard-G0002;3;0;462;294;467;0;61;0;0;25;17;0;0;170;42;21;20;0;0;0;9;0;0;0;219
Akersloot-G0360;5;0;535;518;878;0;119;0;0;51;77;0;0;10;26;45;49;0;0;55;0;0;0;0;498
Alblasserdam-G0482;77;0;3826;1322;0;219;359;1057;619;179;172;1066;0;209;103;74;93;0;0;0;0;0;0;0;2525
Alkemade-G0483;22;0;526;1126;0;2506;257;178;214;42;183;15;0;17;49;64;44;0;0;22;0;0;0;0;1836
Alkmaar-G0361;129;0;10089;5859;7625;0;2071;0;0;1753;741;0;0;323;779;637;441;0;0;323;0;0;0;0;10692
Almelo-G0141;190;0;11641;4515;0;5488;1449;1746;1816;1535;1070;231;0;502;402;279;272;0;0;0;0;0;0;0;8551
Alphen aan den Rijn-G0484;113;0;4567;4739;0;2176;1126;2911;2218;278;299;722;0;306;347;225;240;0;0;23;0;0;0;0;5941
Alphen en Riel-G0741;16;0;333;436;1412;0;90;0;0;8;129;0;0;6;13;14;18;0;0;0;0;0;0;0;744
Ambt Delden-G0142;5;0;284;399;0;1715;71;173;46;8;198;6;0;10;20;8;13;0;0;0;0;0;0;0;467
Ameide-G0485;9;0;411;131;0;8;28;164;319;7;52;137;0;17;15;6;11;0;0;0;0;0;0;0;189
Ameland-G0060;11;0;421;358;600;0;17;0;0;14;12;0;0;7;10;6;3;17;4;0;0;0;0;0;502
Amerongen-G0306;30;0;0;748;0;59;0;674;236;13;99;338;995;72;37;32;0;0;0;6;0;0;0;2;692
Amersfoort-G0307;285;0;0;10860;0;5953;0;3668;2541;1093;723;761;14704;1932;768;580;0;0;0;549;0;0;0;91;15648
Ammerstol-G0486;3;0;526;104;0;12;31;10;21;62;14;19;0;0;20;9;10;0;0;0;0;0;0;0;153
