RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PvdA/PPR;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Reformatorische Politieke Federatie (RPF);Fryske Nasjonale Partij;Democratisch Socialisten '70;SGP/RPF;Conservatieve Volkspartij;Lijst de Boer;Gronneger Bond;Internationale Kommunistenbond;Christen Democraten Unie;Lijst Wartena;Lijst Hofman;@abs
Aalburg-G0738;20;10;1854;959;693;114;1351.0;0;8;27;9;55;41;0;0;0;0;2.0;0;0;0;13;0;0;1157
Aalsmeer-G0358;48;16;4369;2785;3210;612;85.0;0;89;130;134;39;48;86;0;45;0;0.0;0;0;3;0;0;0;2222
Aalten-G0197;19;26;6572;1973;908;186;28.0;0;8;124;63;57;67;119;0;0;0;4.0;0;0;0;0;0;0;1658
Aardenburg-G0648;11;8;901;514;484;36;8.0;0;1;49;18;8;28;0;0;0;0;69.0;0;0;0;0;0;0;463
Aarle-Rixtel-G0739;1;16;1454;688;330;90;0.0;0;4;27;9;2;18;0;0;0;0;1.0;0;0;0;1;0;0;700
Abbekerk-G0359;7;0;367;343;280;80;0.0;0;16;18;11;0;4;1;0;5;0;0.0;0;0;0;0;0;0;239
Abbenbroek-G0481;4;2;127;282;190;49;16.0;0;4;8;3;5;16;4;0;0;0;0.0;0;0;0;0;0;0;119
Abcoude-G0305;5;10;1722;0;1349;360;73.0;851;25;0;62;52;11;14;0;13;0;1.0;0;0;0;0;0;0;599
Achtkarspelen-G0059;56;14;6838;4932;804;202;0.0;0;100;74;52;454;0;0;450;0;464;0.0;0;0;0;0;3;0;2074
Adorp-G0001;0;3;405;266;176;69;0.0;0;6;35;12;122;8;8;0;0;0;0.0;0;2;0;0;0;0;85
Aduard-G0002;2;5;579;531;287;69;0.0;0;12;18;22;142;7;7;0;0;0;0.0;0;4;0;0;0;0;140
Akersloot-G0360;4;2;1155;628;514;156;0.0;0;32;57;29;4;24;3;0;7;0;0.0;0;0;0;0;0;0;438
Alblasserdam-G0482;38;22;2163;4470;1122;446;1067.0;0;47;72;67;108;46;107;0;0;0;0.0;0;0;0;0;0;0;2062
