RegioNaam;@invalid;@blank;CDA;VVD;PvdA;D66;SGP;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);PSP/CPN/PPR;PvdA/PPR;RPF/GPV;PSP/CPN;RFP;Gereformeerd Politiek Verbond (GPV);SP;RPF/SGP;PPR/PSP;Fryske Nasjonale Partij;SGP-GPV-RPF;Verontruste Provinciale Statengroep;Evangelische Volkspartij;RVP;Federoalistische Partij Gronneger Bond;GOD MET ONS;Lijst Heezen;Lijst Mormon;@abs
Aalburg-G0738;10;7;1637;687;472;195;0;28;24;61;0;0;0;0;0;0;6;0.0;0;0;1808;0;0;0;0;0;0;0;1821
Aalsmeer-G0358;49;19;3680;3540;1726;853;0;117;265;156;0;0;0;0;0;42;13;388.0;0;0;0;0;0;13;0;0;0;0;3418
Aalten-G0197;29;30;5951;1176;1177;472;33;0;0;249;0;0;0;154;263;53;15;0.0;0;0;0;0;0;0;0;0;0;0;2836
Aardenburg-G0648;10;17;885;547;254;226;5;0;0;51;0;0;9;30;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;622
Aarle-Rixtel-G0739;12;8;1360;424;327;208;0;33;55;37;0;0;0;0;0;0;8;0.0;0;0;6;0;0;0;0;0;0;0;1155
Abcoude-G0305;17;8;1387;1640;0;434;84;68;145;0;0;610;97;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;991
Achtkarspelen-G0059;51;12;5986;1177;3759;346;0;184;0;0;0;0;0;0;0;564;0;952.0;311;728;0;0;200;0;0;0;0;0;3780
Adorp-G0001;5;0;371;232;206;64;0;11;18;57;0;0;0;0;29;107;4;0.0;0;0;0;9;0;0;4;0;0;0;153
Aduard-G0002;0;8;529;303;387;104;0;30;36;32;0;0;0;0;23;177;2;0.0;0;0;0;17;0;0;7;0;0;0;287
Akersloot-G0360;2;12;1045;639;362;266;0;35;71;56;0;0;0;0;0;7;4;14.0;0;0;0;0;0;3;0;0;0;0;812
Alblasserdam-G0482;29;22;1753;1192;2752;651;1018;0;0;0;393;0;445;0;0;0;18;0.0;0;0;0;0;0;0;0;0;0;0;3592
Alkemade-G0483;20;11;3242;1584;580;369;25;0;0;0;352;0;44;0;0;0;11;0.0;0;0;0;0;0;0;0;0;0;0;2679
Alkmaar-G0361;189;65;8961;8735;7991;3542;0;1677;2183;1171;0;0;0;0;0;153;314;440.0;0;0;0;0;0;143;0;0;0;0;18962
Almelo-G0141;301;57;9809;5524;8571;2930;162;0;0;608;0;0;0;1731;468;210;256;0.0;0;0;0;0;0;0;0;0;0;0;11962
Alphen aan den Rijn-G0484;100;69;7693;6984;3835;2563;669;0;0;0;1386;0;984;0;0;0;126;0.0;0;0;0;0;0;0;0;0;0;0;11297
Alphen en Riel-G0741;29;10;1773;607;230;176;0;14;40;38;0;0;0;0;0;0;6;0.0;0;0;4;0;0;0;0;0;0;0;979
Ambt Delden-G0142;23;0;2263;577;201;148;6;0;0;26;0;0;0;22;10;5;1;0.0;0;0;0;0;0;0;0;0;0;0;482
