RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Aalburg-G0738;17;0;1920;824;472;135;;76.0;;;;;;;;7.0;1857.0;;;;;;;0.0;;;;2001.0
Aalsmeer-G0358;52;0;4347;2316;2826;673;;;153.0;;;48.0;166.0;116.0;;0.0;325.0;;28.0;;;;;2.0;;;;4960.0
Aalten-G0197;29;0;5714;2206;954;335;36.0;328.0;;324.0;;;89.0;;;3.0;;;;;;;;0.0;;;;3074.0
Aardenburg-G0648;14;0;721;490;501;104;16.0;;46.0;7.0;;;;;17.0;0.0;;;;;;;;;;;;762.0
Aarle-Rixtel-G0739;7;0;1345;748;365;171;;56.0;;;;;;;;17.0;12.0;;;;;;;2.0;;;;1173.0
Abcoude-G0305;15;0;1507;748;1188;418;59.0;;143.0;87.0;;;;;76.0;0.0;;;14.0;;;;;;;10.0;;1254.0
Achtkarspelen-G0059;45;0;5992;5376;800;278;;264.0;;;684.0;;;;;;;;;767.0;;1185.0;;;;;;3769.0
Adorp-G0001;8;0;377;259;140;63;;;51.0;;133.0;11.0;;9.0;;1.0;;;;13.0;;;;;9.0;;;234.0
Aduard-G0002;5;0;555;578;233;68;;;52.0;;196.0;5.0;;17.0;;3.0;;;;14.0;;;;;1.0;;;328.0
Akersloot-G0360;10;0;1138;559;536;220;;;68.0;;;24.0;35.0;31.0;;6.0;23.0;;0.0;;;;;2.0;;;;980.0
Alblasserdam-G0482;31;0;2018;3727;891;465;1071.0;202.0;;314.0;;;63.0;;;0.0;;;28.0;;;;17.0;2.0;;;;3600.0
Albrandswaard-G0613;34;0;2464;2012;1776;578;200.0;180.0;;134.0;;;63.0;;;11.0;;;39.0;;;;17.0;7.0;;;;3300.0
Alkemade-G0483;10;0;3645;1021;1157;299;15.0;230.0;;24.0;;;38.0;;;0.0;;;13.0;;;;8.0;0.0;;;;3305.0
Alkmaar-G0361;167;0;9681;14156;6042;2968;;;1193.0;;;944.0;857.0;1151.0;;121.0;564.0;;0.0;;;;;32.0;;;;24304.0
Almelo-G0141;155;0;9479;13474;3880;1739;149.0;;512.0;;297.0;;;;537.0;;;;;;301.0;;;0.0;;;;13466.0
Almere-G0034;74;0;2666;9883;3501;2437;;;748.0;;119.0;;;;1048.0;223.0;;;;116.0;;;;;;;456.0;13653.0
Alphen aan den Rijn-G0484;104;0;8750;6299;5372;2261;626.0;902.0;;780.0;;;159.0;;;261.0;;;53.0;;;;142.0;13.0;;;;14270.0
Alphen en Riel-G0741;2;0;1823;557;437;130;;64.0;;;;;;;;5.0;2.0;;;;;;;2.0;;;;1341.0
Ambt Delden-G0142;12;0;2402;379;429;75;6.0;;28.0;;1.0;;;;14.0;;;;;;1.0;;;0.0;;;;614.0
Ameland-G0060;10;0;788;567;316;91;;34.0;;;13.0;;;;;;;;;8.0;;7.0;;;;;;456.0
Amerongen-G0306;22;0;1193;833;666;189;379.0;;77.0;155.0;;;;;33.0;4.0;;;8.0;;;;;;;5.0;;1301.0
Amersfoort-G0307;209;0;14289;13453;7193;3630;796.0;;1606.0;2308.0;;;;;1634.0;104.0;;;114.0;;;;;;;61.0;;22696.0
Ammerzoden-G0198;9;0;1159;493;202;64;56.0;21.0;;27.0;;;14.0;;;4.0;;;;;;;;0.0;;;;937.0
Amstelveen-G0362;144;0;9555;8749;11540;3899;;;886.0;;;415.0;571.0;747.0;;22.0;543.0;;195.0;;;;;16.0;;;;16929.0
Amsterdam-G0363;1035;0;39613;126383;40873;26217;;;9462.0;;;18066.0;7233.0;13413.0;;501.0;2266.0;;4121.0;;;;;358.0;;490.0;;219216.0
Andijk-G0364;11;0;1180;734;372;141;;;40.0;;;105.0;38.0;37.0;;0.0;258.0;;0.0;;;;;0.0;;;;1186.0
Angerlo-G0199;14;0;1010;848;237;151;8.0;47.0;;1.0;;;29.0;;;4.0;;;;;;;;0.0;;;;859.0
Anloo-G0105;12;0;347;2171;1323;306;;;68.0;;33.0;;;101.0;;17.0;;;;;14.0;;;;;;;1076.0
Anna Paulowna-G0366;17;0;1505;1366;1560;307;;;88.0;;;20.0;28.0;31.0;;0.0;114.0;;0.0;;;;;3.0;;;;2264.0
Apeldoorn-G0200;267;0;23401;23011;13016;5923;2247.0;2218.0;;2046.0;;;558.0;;;111.0;;;;;;;;0.0;;;;34408.0
Appingedam-G0003;20;0;1634;3546;666;305;;;149.0;;130.0;100.0;;84.0;;31.0;;;;65.0;;;;;48.0;;;2717.0
Arcen en Velden-G0885;8;0;2536;798;466;178;;;77.0;;;;;;74.0;6.0;15.0;34.0;;;;;;;;;;1969.0
Arnemuiden-G0649;9;0;484;361;180;86;563.0;;35.0;261.0;;;;;8.0;3.0;;;;;;;;;;;;937.0
Arnhem-G0202;298;0;14686;23356;9094;5359;312.0;3952.0;;873.0;;;628.0;;;563.0;;;;;;;;77.0;;;;38352.0
Assen-G0106;105;0;5080;11527;4247;1631;;;962.0;;1628.0;;;518.0;;104.0;;;;;338.0;;;;;;;9577.0
Asten-G0743;18;0;4317;1289;610;408;;205.0;;;;;;;;35.0;19.0;;;;;;;22.0;;;;3506.0
Avereest-G0143;20;0;3664;2125;988;319;60.0;;81.0;;158.0;;;;47.0;;;;;;233.0;;;0.0;;;;2531.0
Axel-G0650;29;0;1871;1500;803;249;107.0;;87.0;680.0;;;;;76.0;0.0;;;;;;;;;;;;3493.0
Baarle-Nassau-G0744;16;0;1643;601;339;98;;56.0;;;;;;;;2.0;13.0;;;;;;;1.0;;;;1365.0
Baarn-G0308;44;0;3922;3124;3305;1134;157.0;;452.0;463.0;;;;;292.0;15.0;;;32.0;;;;;;;13.0;;5731.0
Baexem-G0886;11;0;724;215;222;37;;;17.0;;;;;;7.0;1.0;1.0;27.0;;;;;;;;;;477.0
Baflo-G0004;7;0;602;555;223;92;;;58.0;;112.0;14.0;;36.0;;3.0;;;;15.0;;;;;3.0;;;389.0
Bakel en Milheeze-G0745;19;0;2427;598;270;145;;56.0;;;;;;;;16.0;4.0;;;;;;;6.0;;;;1924.0
Barendrecht-G0489;37;0;3842;2104;1940;845;951.0;239.0;;356.0;;;78.0;;;3.0;;;40.0;;;;26.0;11.0;;;;3728.0
Barneveld-G0203;84;0;8790;2203;2675;719;4040.0;261.0;;2038.0;;;121.0;;;11.0;;;;;;;;0.0;;;;6489.0
Barsingerhorn-G0369;6;0;211;977;603;84;;;37.0;;;16.0;29.0;36.0;;1.0;10.0;;0.0;;;;;2.0;;;;903.0
Bathmen-G0144;8;0;911;808;983;245;6.0;;52.0;;14.0;;;;30.0;;;;;;6.0;;;0.0;;;;745.0
Bedum-G0005;18;0;2307;1488;524;330;;;153.0;;828.0;20.0;;36.0;;3.0;;;;130.0;;;;;16.0;;;1122.0
Beegden-G0887;4;0;434;276;72;42;;;16.0;;;;;;9.0;0.0;0.0;20.0;;;;;;;;;;445.0
Beek-G0888;65;0;3610;2299;1052;448;;;439.0;;;;;;99.0;13.0;20.0;586.0;;;;;;;;;;3849.0
Beek en Donk-G0746;18;0;2217;1185;309;210;;188.0;;;;;;;;34.0;15.0;;;;;;;9.0;;;;2373.0
Beemster-G0370;12;0;1325;1240;1271;265;;;74.0;;;57.0;55.0;48.0;;1.0;25.0;;0.0;;;;;2.0;;;;1413.0
Beers-G0747;1;0;1123;306;132;73;;46.0;;;;;;;;7.0;7.0;;;;;;;0.0;;;;530.0
Beerta-G0006;21;0;68;1007;200;44;;;19.0;;4.0;640.0;;18.0;;3.0;;;;7.0;;;;;4.0;;;412.0
