RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;GPV/RPF;Centrumdemocraten;SP;Gereformeerd Politiek Verbond (GPV);DG;Partij Nieuw Limburg;SGP-GPV-RPF;Brabantse Onafhankelijke Federatie;SGP/RPF;Centrumpartij;FNP;Reformatorische Politieke Federatie (RPF);Delta Anders;Onafhankelijke Partijen Drenthe;Socialistische Arbeiderspartij;Lokale Partijen Gelderland;VCN: partij van communisten in Nederland;Vooruitstrevende Volkspartij;Lijst Hendriks;@abs
Aalburg-G0738;13;;1574;463;390;258;60;;;12.0;10.0;;5.0;;1918.0;24.0;;10.0;;;;;6.0;;;;;3050
Aalsmeer-G0358;21;;3446;1343;2203;1340;305;;;85.0;15.0;;158.0;;304.0;;;43.0;;;;;;;5.0;;;7849
Aalten-G0197;14;;5155;1288;710;689;275;33.0;298.0;24.0;3.0;;30.0;;;;;;;;;;1.0;13.0;;;;5083
Aardenburg-G0648;20;;507;235;337;140;20;7.0;7.0;;;;;;;;;;;;77.0;;;;;;;1292
Aarle-Rixtel-G0739;6;;1060;277;273;202;55;;;10.0;7.0;;2.0;;11.0;593.0;;4.0;;;;;6.0;;;;;1834
Abcoude-G0305;14;;1208;475;940;844;144;57.0;109.0;45.0;12.0;;;;;;;;;;;;;;;;;2163
Achtkarspelen-G0059;45;;5331;3259;716;680;223;;;35.0;;797.0;;;;;713.0;;1508.0;;;;;;6.0;;;6795
Akersloot-G0360;4;;832;327;429;358;83;;;8.0;8.0;;28.0;;17.0;;;4.0;;;;;;;1.0;;;1749
Alblasserdam-G0482;31;;1724;2120;818;1060;169;1135.0;385.0;68.0;14.0;;22.0;;;;;21.0;;;;;5.0;;;2.0;;5405
Albrandswaard-G0613;31;;2030;1090;1561;1139;180;177.0;184.0;103.0;18.0;;27.0;;;;;22.0;;;;;6.0;;;4.0;;4565
Alkemade-G0483;15;;2674;634;1039;549;292;19.0;28.0;46.0;6.0;;21.0;;;;;14.0;;;;;7.0;;;7.0;;5013
Alkmaar-G0361;99;;7326;6786;5013;6179;2744;;;377.0;339.0;;649.0;;589.0;;;181.0;;;;;47.0;;27.0;;;35294
Almelo-G0141;86;;8002;6258;3234;3670;914;112.0;;;139.0;320.0;;;;;;;;357.0;;;;;21.0;;;21984
