RegioNaam;@invalid;@blank;VVD;CDA;PvdA;D66;GL;AOV/Unie55+;SGP;GPV/RPF;SP;GL/DG;Algemeen Ouderen Verbond (AOV);Centrumdemocraten;Gereformeerd Politiek Verbond (GPV);U55;PNL;DG;Reformatorische Politieke Federatie (RPF);FNP;RPF/SGP;NB;BOF;PNG;SGP-GPV-RPF;Natuurwetpartij (NWP);Centrumpartij;ZVV;Nieuwe Communistische Partij (NCPN);OPD;BWGB;FGF;LOGO;GB;DA;LINS;BPN;PDA;KANS;SAP;@abs
Aalburg-G0738;16;0;850;1131;349;148;52.0;113.0;;;73.0;;;53.0;;;;8.0;;;;;2.0;;1996.0;;;;;;;;;17.0;;2.0;5.0;;;;3198
Aalsmeer-G0358;10;0;3618;2049;1115;703;404.0;308.0;55.0;367.0;56.0;;;106.0;;;;113.0;;;;;;;;26.0;;;0.0;;112.0;;;;;;;;;;8083
Aalten-G0197;15;0;1411;4283;1020;654;206.0;289.0;30.0;440.0;65.0;;;18.0;;;;37.0;;;;9.0;;18.0;;37.0;15.0;;;;;;;;;;;;;;5215
Aarle-Rixtel-G0739;17;0;555;817;285;192;66.0;158.0;;;30.0;;;24.0;;;;3.0;;;;;109.0;;10.0;;;;;;;;;7.0;;1.0;0.0;;;;2139
Abcoude-G0305;19;0;1529;935;470;441;200.0;;45.0;101.0;18.0;;121.0;19.0;;20.0;;31.0;;;;12.0;;;;;8.0;;;;;;;;;;;;;7.0;2039
Achtkarspelen-G0059;21;0;1253;4556;2253;270;222.0;;;;82.0;;173.0;64.0;778.0;;;;;1277.0;867.0;79.0;;;;;;;17.0;;;239.0;;;;;;;;;8527
Akersloot-G0360;7;0;657;431;275;166;63.0;84.0;0.0;13.0;15.0;;;14.0;;;;17.0;;;;;;;;6.0;;;4.0;;86.0;;;;;;;;;;1853
Alblasserdam-G0482;25;0;1491;1267;1576;493;;280.0;1135.0;569.0;93.0;148.0;;84.0;;;;;;;;13.0;;;;;25.0;;;;;;;;;;;8.0;;;5737
Albrandswaard-G0613;8;0;2559;1291;779;567;;248.0;138.0;217.0;82.0;196.0;;55.0;;;;;;;;13.0;;;;;31.0;;;;;;;;;;;5.0;;;5434
Alkemade-G0483;10;0;1933;1856;532;365;;220.0;9.0;32.0;81.0;355.0;;54.0;;;;;;;;14.0;;;;;13.0;;;;;;;;;;;1.0;;;5089
Alkmaar-G0361;53;0;8206;5045;6550;3220;2860.0;1724.0;48.0;568.0;1338.0;;;353.0;;;;338.0;;;;;;;;163.0;;;89.0;;199.0;;;;;;;;;;36486
Almelo-G0141;85;0;5648;5617;5328;2037;875.0;;90.0;;354.0;;746.0;308.0;311.0;436.0;;172.0;458.0;;;;;;;;;;50.0;;;;90.0;;;;;;;;24345
Almere-G0034;88;0;12357;2368;5663;4584;2481.0;2606.0;62.0;;;;;493.0;319.0;;;;289.0;;;;;;;336.0;;;;;;;;;;;24.0;;;;39243
Alphen aan den Rijn-G0484;30;0;7627;4655;2863;2754;;960.0;513.0;1378.0;1317.0;1236.0;;153.0;;;;;;;;52.0;;;;;61.0;;;;;;;;;;;3.0;;;24985
Alphen en Riel-G0741;9;0;681;1090;201;186;65.0;97.0;;;27.0;;;16.0;;;;7.0;;;;;16.0;;5.0;;;;;;;;;16.0;;5.0;2.0;;;;2259
Ambt Delden-G0142;3;0;637;1605;175;91;26.0;;2.0;;12.0;;36.0;13.0;5.0;18.0;;6.0;11.0;;;;;;;;;;0.0;;;;83.0;;;;;;;;1224
Ambt Montfort-G1679;14;0;1104;1541;554;226;199.0;;;;38.0;;103.0;63.0;;165.0;230.0;;;;;40.0;;;;51.0;;;;;;;;;;;;;80.0;;4147
Ameland-G0060;4;0;380;549;312;69;32.0;;;;15.0;;47.0;6.0;5.0;;;;;3.0;9.0;7.0;;;;;;;1.0;;;212.0;;;;;;;;;930
Amerongen-G0306;0;0;1012;714;372;264;100.0;;400.0;209.0;26.0;;76.0;10.0;;32.0;;10.0;;;;14.0;;;;;4.0;;;;;;;;;;;;;3.0;2243
Amersfoort-G0307;58;0;11631;7460;6359;5249;3529.0;;742.0;3285.0;464.0;;1449.0;194.0;;776.0;;227.0;;;;391.0;;;;;69.0;;;;;;;;;;;;;117.0;41197
Ammerzoden-G0198;5;0;460;730;174;128;25.0;58.0;32.0;39.0;8.0;;;12.0;;;;17.0;;;;1.0;;82.0;;0.0;6.0;;;;;;;;;;;;;;1673
Amstelveen-G0362;51;0;13346;4732;4931;3740;2117.0;1767.0;71.0;478.0;335.0;;;232.0;;;;325.0;;;;;;;;105.0;;;0.0;;469.0;;;;;;;;;;24993
Amsterdam-G0363;961;0;55956;15329;52243;23771;25981.0;14372.0;280.0;1693.0;6422.0;;;4848.0;;;;4441.0;;;;;;;;799.0;;;1134.0;;720.0;;;;;;;;;;297335
Andijk-G0364;0;0;554;778;345;145;135.0;87.0;32.0;268.0;25.0;;;31.0;;;;16.0;;;;;;;;0.0;;;4.0;;9.0;;;;;;;;;;2015
Angerlo-G0199;12;0;442;637;381;172;82.0;72.0;7.0;7.0;18.0;;;6.0;;;;19.0;;;;1.0;;92.0;;8.0;0.0;;;;;;;;;;;;;;1590
Anloo-G0105;11;0;1224;230;1105;423;197.0;172.0;5.0;;50.0;;;;43.0;;;;18.0;;;;;;;;;;;234.0;;;;;;;;;;;2521
Anna Paulowna-G0366;13;0;1905;965;713;363;99.0;170.0;11.0;86.0;33.0;;;57.0;;;;15.0;;;;;;;;14.0;;;17.0;;11.0;;;;;;;;;;5164
Apeldoorn-G0200;0;0;14804;11512;9123;5962;2506.0;3316.0;2045.0;2694.0;555.0;;;237.0;;;;307.0;;;;58.0;;571.0;;198.0;120.0;;;;;;;;;;;;;;59909
Appingedam-G0003;3;0;799;1105;1516;413;97.0;;;;143.0;;334.0;47.0;130.0;60.0;;41.0;;;94.0;;;;;;;;36.0;;;;;;;;;;;;4884
Arcen en Velden-G0885;0;0;814;1761;338;222;196.0;;;;26.0;;102.0;26.0;;59.0;108.0;;;;;10.0;;;;7.0;;;;;;;;;;;;;5.0;;2938
Arnemuiden-G0649;10;0;303;347;204;47;16.0;;542.0;506.0;;;24.0;21.0;;25.0;;;;;;;;;;4.0;;3.0;;;;;;;25.0;;16.0;;;;1307
Arnhem-G0202;182;0;11579;7202;9415;6336;4004.0;2897.0;152.0;1134.0;1843.0;;;307.0;;;;396.0;;;;103.0;;202.0;;205.0;131.0;;;;;;;;;;;;;;56370
Assen-G0106;49;0;4675;3539;5950;2446;1361.0;978.0;27.0;;478.0;;;;1812.0;;;;473.0;;;;;;;;;;;602.0;;;;;;;;;;;17132
Asten-G0743;17;0;1761;2380;619;626;239.0;331.0;;;90.0;;;51.0;;;;16.0;;;;;22.0;;21.0;;;;;;;;;17.0;;1.0;0.0;;;;5634
Avereest-G0143;15;0;1464;2197;980;387;98.0;;64.0;;37.0;;167.0;60.0;234.0;54.0;;18.0;294.0;;;;;;;;;;0.0;;;;36.0;;;;;;;;4855
Axel-G0650;23;0;902;966;547;191;128.0;;102.0;631.0;;;122.0;56.0;;61.0;;;;;;;;;;15.0;;464.0;;;;;;;48.0;;22.0;;;;4615
Baarle-Nassau-G0744;0;0;461;1015;194;122;53.0;106.0;;;21.0;;;24.0;;;;4.0;;;;;9.0;;7.0;;;;;;;;;10.0;;2.0;0.0;;;;2385
Baarn-G0308;0;0;4224;1945;1448;1056;502.0;;122.0;514.0;129.0;;362.0;70.0;;139.0;;53.0;;;;52.0;;;;;28.0;;;;;;;;;;;;;7.0;8075
Bakel en Milheeze-G0745;19;0;628;1441;252;252;55.0;166.0;;;35.0;;;28.0;;;;6.0;;;;;58.0;;4.0;;;;;;;;;5.0;;0.0;0.0;;;;2883
Barendrecht-G0489;12;0;3002;2111;1030;1057;;283.0;865.0;652.0;102.0;311.0;;58.0;;;;;;;;20.0;;;;;28.0;;;;;;;;;;;11.0;;;6933
Barneveld-G0203;49;0;4868;5139;1233;779;276.0;342.0;4618.0;3147.0;53.0;;;116.0;;;;31.0;;;;37.0;;163.0;;24.0;23.0;;;;;;;;;;;;;;10502
Bathmen-G0144;8;0;970;499;463;270;70.0;;1.0;;15.0;;66.0;9.0;7.0;11.0;;11.0;12.0;;;;;;;;;;0.0;;;;137.0;;;;;;;;1494
Bedum-G0005;0;0;702;1752;989;483;143.0;;;;85.0;;100.0;15.0;767.0;32.0;;65.0;;;130.0;;;;;;;;6.0;;;;;;;;;;;;2461
Beek-G0888;40;0;2404;1972;732;504;489.0;;;;121.0;;233.0;66.0;;198.0;194.0;;;;;50.0;;;;66.0;;;;;;;;;;;;;9.0;;6160
Beek en Donk-G0746;18;0;593;1268;432;274;227.0;217.0;;;69.0;;;33.0;;;;8.0;;;;;46.0;;9.0;;;;;;;;;3.0;;3.0;0.0;;;;3940
Beemster-G0370;14;0;1432;710;703;324;125.0;162.0;5.0;27.0;24.0;;;21.0;;;;27.0;;;;;;;;18.0;;;6.0;;15.0;;;;;;;;;;2576
Beesel-G0889;25;0;1201;1690;679;232;142.0;;;;35.0;;162.0;255.0;;154.0;285.0;;;;;50.0;;;;60.0;;;;;;;;;;;;;23.0;;4767
Beilen-G0107;13;0;1660;1681;2091;420;212.0;182.0;27.0;;44.0;;;;225.0;;;;133.0;;;;;;;;;;;122.0;;;;;;;;;;;4639
Belfeld-G0890;3;0;403;726;307;145;47.0;;;;24.0;;62.0;28.0;;37.0;47.0;;;;;12.0;;;;23.0;;;;;;;;;;;;;2.0;;2089
Bellingwedde-G0007;0;0;793;466;1861;222;213.0;;;;102.0;;155.0;54.0;16.0;75.0;;23.0;;;126.0;;;;;;;;75.0;;;;;;;;;;;;3318
Bemmel-G0206;25;0;1591;1948;915;892;182.0;222.0;12.0;30.0;39.0;;;28.0;;;;29.0;;;;5.0;;67.0;;8.0;9.0;;;;;;;;;;;;;;6493
