RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Aa en Hunze-G1680;;0;970;3369;3566;1040.0;826;;161.0;;;;;;;;;;;;;;;;;;743.0;;;;;;;;;227.0;;;;;;;;8398
Aalburg-G0738;;9;1538;631;339;111.0;58;65.0;;;;;23.0;;1904.0;;;;;;;;8.0;;;;;;;;;;;;;;;;;2.0;;;;3699
Aalsmeer-G0358;;13;2097;2581;1126;621.0;464;110.0;;;116.0;;;;419.0;136.0;;;76.0;;100.0;;;;;;;;;;;;;;;;;;;;;;;9402
Aalten-G0197;;16;4421;965;1206;427.0;220;99.0;445.0;19.0;;;42.0;;;;;;33.0;;;;;23.0;;;;;;80.0;;;;;;;;;;;;;1.0;5815
Abcoude-G0305;;22;752;1118;346;287.0;399;36.0;98.0;42.0;33.0;;;;;14.0;;;;;;;;;;;;;;;;533.0;;;;;;10.0;;;;;;2589
Achtkarspelen-G0059;;28;4779;998;2446;563.0;146;;;;;737.0;;;;;;1222.0;;;;824.0;;;;;;;;;;;291.0;;;;;;;;;;;9049
Akersloot-G0360;;14;486;492;290;161.0;90;34.0;;;25.0;;;;21.0;43.0;;;12.0;;19.0;;;;;;;;;;;;;;;;;;;;;;;1944
Alblasserdam-G0482;;9;1155;1093;1456;305.0;194;152.0;654.0;1167.0;78.0;;;;;;27.0;;31.0;;;;;;;;;17.0;52.0;;;;;;;;;;;;;;;6870
Albrandswaard-G0613;;11;1211;2015;758;351.0;399;116.0;200.0;127.0;79.0;;;;;;42.0;;38.0;;;;;;;;;18.0;58.0;;;;;;;;;;;;;;;6697
Alkemade-G0483;;4;1810;1485;589;416.0;188;101.0;23.0;13.0;59.0;;;;;;19.0;;57.0;;;;;;;;;24.0;51.0;;;;;;;;;;;;;;;5856
Alkmaar-G0361;;58;4514;6293;6771;4565.0;1772;2103.0;;;405.0;;;;600.0;619.0;;;233.0;;576.0;;;;;;;;;;;;;;;;;;;;;;;40195
Almelo-G0141;;36;5338;4052;5155;1716.0;981;701.0;;94.0;;328.0;400.0;;;;;;;515.0;;;;;;;;;;;;;;158.0;71.0;;;;;;;;;29112
Almere-G0034;;90;3335;12636;7174;4899.0;3115;;1045.0;110.0;;;1150.0;;;;;;;;;;;;;;;;;;;;;;;;;;612.0;;;;;58869
Alphen aan den Rijn-G0484;;40;4411;5993;2931;2135.0;1539;1197.0;1437.0;481.0;702.0;;;;;;88.0;;172.0;;;;;;;;;122.0;144.0;;;;;;;;;;;;;;;29754
Alphen-Chaam-G1723;;51;2386;1561;745;345.0;224;110.0;;;;;79.0;;11.0;;;;;;;;17.0;;;;;;;;;;;;;;;;;7.0;;;;1545
Ambt Delden-G0142;;12;1614;570;166;80.0;55;36.0;;1.0;;3.0;16.0;;;;;;;5.0;;;;;;;;;;;;;;6.0;0.0;;;;;;;;;1431
Ambt Montfort-G1679;;0;1360;884;536;273.0;110;72.0;;;55.0;;;988.0;;;;;;;;;;;;;;14.0;;;163.0;;;;;;;;;;;;;4139
