RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Aa en Hunze-G1680;;7;1571;4912;3223;924;;546;145.0;268;9.0;;;;;;;;;;;;;;;333.0;;255.0;;;;;;;;;;;;;;;7279
Aalburg-G0738;;3;2022;439;434;55;93.0;45;;91;;1906.0;;;;17.0;25.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;3558
Aalsmeer-G0358;;10;2689;1636;2334;437;282.0;423;;300;;350.0;;;;;;39.0;;;;;49.0;25.0;;;4.0;;;33.0;;5.0;;8.0;;;;;;;;;8663
Aalten-G0197;;6;4748;1408;752;323;345.0;174;328.0;109;29.0;;;;;;;;;55.0;;;;;;;;;;;;;;;;;8.0;;;;;;5574
Abcoude-G0305;;2;1131;656;999;332;152.0;335;81.0;87;41.0;;;;;;;;;;;;;;;;;;17.0;;;;;;;21.0;;;;;;;2341
Achtkarspelen-G0059;;6;4435;2662;633;283;329.0;118;;201;;1488.0;2285.0;;;;;;;;;273.0;;;;;13.0;;;;;;;;;;;;;;;;8652
Alblasserdam-G0482;;6;1595;1855;858;165;225.0;138;623.0;194;1277.0;;;;43.0;13.0;;;;;;;;;19.0;;;;;;3.0;;0.0;0.0;;;;0.0;2.0;0.0;4.0;1.0;6430
Albrandswaard-G0613;;4;1719;1323;1793;239;275.0;288;170.0;722;137.0;;;;77.0;18.0;;;;;;;;;19.0;;;;;;1.0;;7.0;4.0;;;;1.0;3.0;0.0;10.0;0.0;7180
Alkemade-G0483;;4;2121;795;1327;290;190.0;171;18.0;136;17.0;;;;46.0;24.0;;;;;;;;;35.0;;;;;;1.0;;4.0;1.0;;;;1.0;2.0;2.0;;0.0;5551
Alkmaar-G0361;;42;5751;10343;5413;3332;2791.0;1634;;869;;515.0;;;;;;339.0;;;;;173.0;166.0;;;57.0;;;197.0;;21.0;;50.0;;;;;;;;;37984
Almelo-G0141;;24;6961;6790;3389;1528;1206.0;929;778.0;621;102.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30392
Almere-G0034;;42;5000;12402;11475;3294;2531.0;3032;1178.0;1990;128.0;;;;;680.0;;;;;;;;;;;;;;;;;220.0;;821.0;;;;;;;;69859
Alphen aan den Rijn-G0484;;39;6068;4518;5596;1623;1638.0;1187;1146.0;705;484.0;;;;134.0;71.0;;;;;;;;;77.0;;;;;;11.0;;10.0;8.0;;;;38.0;2.0;3.0;;4.0;28834
Alphen-Chaam-G1723;;2;1813;528;690;138;148.0;102;;105;;6.0;;;;20.0;24.0;;;;;;;;;;;;;;;;9.0;;;;;;;;;;3476
Ambt Montfort-G1679;;2;2036;801;591;203;142.0;78;;72;;;;116.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4544
Ameland-G0060;;2;533;341;281;60;40.0;26;;29;;11.0;18.0;;;;;;;;;367.0;;;;;1.0;;;;;;;;;;;;;;;;933
Amerongen-G0306;;2;938;485;666;126;97.0;150;170.0;65;415.0;;;;;;;;;;;;;;;;;;13.0;;;;;;;6.0;;;;;;;2275
Amersfoort-G0307;;44;9977;11414;8894;4961;3187.0;2709;3569.0;863;645.0;;;;;;;;;;;;;;;;;;577.0;;;;;;;112.0;;;;;;;47899
Amstelveen-G0362;;35;5998;6744;9159;2798;1514.0;2409;;874;;446.0;;;;;;301.0;;;;;147.0;122.0;;;27.0;;;94.0;;34.0;;32.0;;;;;;;;;26747
Amsterdam-G0363;;790;16969;67056;34708;32062;21367.0;16951;;7113;;2083.0;;;;;;1762.0;;;;;584.0;1986.0;;;435.0;;;470.0;;1480.0;;447.0;;;;;;;;;318075
Andijk-G0364;;2;876;436;450;158;107.0;67;;88;;239.0;;;;;;15.0;;;;;8.0;3.0;;;1.0;;;7.0;;2.0;;2.0;;;;;;;;;2249
Angerlo-G0199;;5;839;504;340;83;105.0;64;6.0;65;2.0;;;;;;;;;22.0;;;;;;;;;;;;;;;;;3.0;;;;;;1761
Anna Paulowna-G0366;;2;1417;1077;1539;135;147.0;190;;162;;95.0;;;;;;60.0;;;;;37.0;13.0;;;1.0;;;29.0;;3.0;;6.0;;;;;;;;;5380
Apeldoorn-G0200;;44;16066;14925;11215;3893;3014.0;2585;2796.0;1596;2401.0;;;;;;;;;749.0;;;;;;;;;;;;;;;;;151.0;;;;;;59119
Appingedam-G0003;;1;1224;2080;580;175;199.0;173;215.0;114;;;;;;;;;233.0;;;;;;;;40.0;;;;;;;;;;;;;;;;4785
Arcen en Velden-G0885;;4;1847;696;518;111;94.0;78;;50;;;;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3155
Arnhem-G0202;;90;8534;13319;7411;5499;4638.0;2663;1027.0;1133;115.0;;;;;;;;;979.0;;;;;;;;;;;;;;;;;164.0;;;;;;61336
Assen-G0106;;25;4759;9166;3749;2439;;1085;2515.0;518;72.0;;;;;;;;;;;;;;;482.0;;338.0;;;;;;;;;;;;;;;20617
Asten-G0743;;4;3070;1183;850;204;261.0;237;;161;;17.0;;;;24.0;34.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;5968
Baarle-Nassau-G0744;;0;1167;320;371;65;118.0;57;;46;;4.0;;;;15.0;8.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;2789
Baarn-G0308;;15;2464;2025;2633;691;487.0;539;452.0;317;105.0;;;;;;;;;;;;;;;;;;62.0;;;;;;;27.0;;;;;;;8522
Barendrecht-G0489;;9;3250;2291;2892;621;379.0;516;646.0;619;1045.0;;;;101.0;97.0;;;;;;;;;37.0;;;;;;2.0;;2.0;2.0;;;;1.0;7.0;2.0;3.0;0.0;13859
Barneveld-G0203;;11;8013;1610;2898;383;363.0;270;2549.0;640;5442.0;;;;;;;;;136.0;;;;;;;;;;;;;;;;;19.0;;;;;;12081
Bathmen-G0144;;22;1059;779;813;130;89.0;110;15.0;73;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1001
Bedum-G0005;;5;1937;1300;474;268;195.0;154;801.0;38;;;;;;;;;268.0;;;;;;;;6.0;;;;;;;;;;;;;;;;2631
Beek-G0888;;7;2843;1230;1200;289;231.0;597;;151;;;;168.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6383
Beemster-G0370;;9;868;934;1108;206;141.0;172;;92;;15.0;;;;;;44.0;;;;;20.0;20.0;;;3.0;;;67.0;;3.0;;4.0;;;;;;;;;2743
Beesel-G0889;;2;1977;877;1037;152;148.0;65;;109;;;;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5700
