RegioNaam;@invalid;@blank;CDA;VVD;PvdA;SP;GL;CU;D66;PvdD;SGP;CU-SGP;Leefbaar Zuid-Holland;Fryske Nasjonale Partij (FNP);Ouderenpartij NH/VSP;Brabantse Partij;Partij Nieuw Limburg;Verenigde Senioren Partij (NB);Partij voor het Noorden;Partij voor Zeeland;Fortuyn;Mooi Utrecht;Lokaal Zuid-Holland;Gelderland Lokaal;De Groenen/Noord-Holland Anders;Een voor de Vrijheid;Nieuw Rechts;Limburgs Belang;Gemeentebelangen Friesland;Actief Drenthe;Islam Democraten;Onafhankelijke Partij Drenthe;LEEFBAAR OV/ VER. SENIOREN PARTIJ;Drentse Ouderenpartijen;Nederlandse Volksunie;ONS Flevoland / VER. SENIOREN PARTIJ;Zeeuws Belang !;Tilburgse Volkspartij (TVP);deFriezen;Drents Belang-Ver. Senioren Partij;Nieuwe Communistische Partij;Groep Hop;Nederlandse Klokkenluiders Partij;Sociaal-Liberale Partij;@abs
Aa en Hunze-G1680;;27;1310;2621;4014;1274;618;291.0;240;237.0;12.0;;;;;;;;155.0;;;;;;;;;;;444.0;;176.0;;61.0;;;;;;68.0;;;;;8330
Aalburg-G0738;;14;1343;492;287;284;49;;24;78.0;;2238.0;;;;101.0;;28.0;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;4001
Aalsmeer-G0358;;36;2558;2365;1408;746;341;;209;233.0;;675.0;;;214.0;;;;;;;;;;38.0;;;;;;;;;;;;;;;;;;;;9835
Aalten-G0197;;15;4644;1179;1389;1465;323;840.0;105;174.0;32.0;;;;;;;;;;28.0;;;74.0;;54.0;;;;;;;;;30.0;;;;;;;2.0;;;10182
Abcoude-G0305;;14;946;1068;502;260;375;139.0;186;72.0;30.0;;;;;;;;;;;34.0;;;;;;;;;;;;;;;;;;;;;;;2581
Achtkarspelen-G0059;;21;3582;611;2336;861;158;1788.0;43;111.0;;;;1745.0;;;;;39.0;;;;;;;;;;184.0;;;;;;;;;;55.0;;;;12.0;;9954
Alblasserdam-G0482;;19;1366;797;1238;748;139;1051.0;71;143.0;1266.0;;99.0;;;;;;;;26.0;;21.0;;;;;;;;21.0;;;;;;;;;;;;;;6633
Albrandswaard-G0613;;42;1457;1909;923;722;248;391.0;123;231.0;143.0;;358.0;;;;;;;;48.0;;1019.0;;;;;;;;8.0;;;;;;;;;;;;;;8618
Alkemade-G0483;;17;1991;1255;670;513;221;53.0;74;80.0;15.0;;68.0;;;;;;;;23.0;;25.0;;;;26.0;;;;;;;;;;;;;;;;;3.0;5860
Alkmaar-G0361;;145;5197;5446;7159;6356;2882;;849;1174.0;;947.0;;;936.0;;;;;;;;;;275.0;;;;;;;;;;;;;;;;;;;;39790
Almelo-G0141;;66;6133;3476;5241;3266;909;1398.0;389;415.0;81.0;;;;;;;;;;91.0;;;;;;255.0;;;;;;251.0;;;;;;;;;;;;31157
Almere-G0034;;318;5510;12984;9763;8167;3234;2262.0;1216;1946.0;96.0;;;;;;;;;;;;;;;;;;;;;;;;;752.0;;;;;;;;;78810
