RegioNaam;@invalid;@blank;VVD;PvdA;CDA;PVV;SP;D66;GL;CU;50+;SGP;PvdD;CU-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);DG;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts;@abs
Aa en Hunze-G1680;22;15;3252;4215;1093;1000;1165;897;818;235.0;212;16.0;;;;;;;;;;;;170.0;;;;;16.0;;;;;7136
Aalburg-G0738;16;1;760;319;1295;819;253;107;86;;78;;64.0;2103.0;;;;;;;;;;;2.0;;;;;;;;;3440
Aalsmeer-G0358;24;12;4448;1564;2248;1832;708;1005;447;;245;;229.0;537.0;;157.0;;;;;;;;;;;6.0;;;;;;;8560
Aalten-G0197;20;13;1919;1846;3464;1070;1576;614;472;671.0;210;40.0;198.0;;;;;;;;;;18.0;;;;;;;4.0;;14.0;;8609
Achtkarspelen-G0059;13;6;949;2370;2855;1171;694;222;303;1678.0;105;;;;1405.0;;;36.0;;;;271.0;;;;;;;;;;;7.0;9456
Alblasserdam-G0482;9;6;1116;1277;966;926;627;526;170;812.0;200;1477.0;115.0;;;;;;;8.0;5.0;;;;;;;;;;;;;5859
Albrandswaard-G0613;16;13;2603;1180;1131;1666;885;606;328;264.0;264;149.0;221.0;;;;;;;408.0;7.0;;;;;;;;;;;;;8851
Alkmaar-G0361;84;39;6868;8507;3228;4336;5027;4107;3553;;1053;;1064.0;655.0;;676.0;;;;;;;;;;;96.0;;;;;;;32400
Almelo-G0141;83;19;4430;6110;4152;3371;2840;1946;1230;1016.0;861;112.0;395.0;;;;;;;;;;;;;;;;62.0;;;;;27381
Almere-G0034;130;66;15435;13125;2850;12227;6397;5335;4495;1580.0;1864;141.0;1851.0;;;;;;;;;;;;;;;;;;880.0;;;67889
Alphen aan den Rijn-G0484;49;52;7466;4491;4290;3829;3166;2801;1648;1342.0;669;494.0;545.0;;;;;;;168.0;38.0;;;;;;;;;;;;;23552
Alphen-Chaam-G1723;9;2;1084;385;1207;596;378;258;207;;139;;69.0;9.0;;;;;;;;;;;8.0;;;;;;;;;2946
Ameland-G0060;1;1;385;305;517;221;100;52;70;14.0;16;;;;24.0;;;4.0;;;;73.0;;;;;;;;;;;0.0;868
Amersfoort-G0307;100;60;13698;11314;6326;6114;6615;6817;6050;4430.0;1456;690.0;1339.0;;;;;;;;;;;;;151.0;;112.0;;;;;;41337
Amstelveen-G0362;62;29;10358;6016;3243;3881;2790;4972;2656;;702;;827.0;659.0;;624.0;;;;;;;;;;;43.0;;;;;;;20730
Amsterdam-G0363;1126;400;45720;84869;9018;24901;31168;46394;37785;;2848;;8207.0;2433.0;;3342.0;;;;;;;;;;;803.0;;;;;;;252461
Anna Paulowna-G0366;9;3;1737;995;997;826;472;362;177;;85;;108.0;100.0;;211.0;;;;;;;;;;;6.0;;;;;;;4754
Apeldoorn-G0200;130;75;14233;13415;9269;6752;5384;5913;4021;3657.0;1688;2588.0;1671.0;;;;;;;;;;247.0;;;;;;;92.0;;69.0;;51683
Appingedam-G0003;9;2;600;1530;666;455;772;218;147;283.0;102;;91.0;;;;;189.0;;;;;;;;;;;;;;;;4503
Arnhem-G0202;115;64;9191;12414;4283;5680;7905;7220;5785;1439.0;1018;115.0;1494.0;;;;;;;;;;219.0;;;;;;;68.0;;69.0;;55269
Assen-G0106;31;54;4500;8212;2967;2318;3390;2169;1934;3013.0;502;171.0;;;;;;;;;;;;271.0;;;;;95.0;;;;;21079
Asten-G0743;11;15;1575;755;1922;898;862;322;282;;215;;75.0;19.0;;;;;;;;;;;13.0;;;;;;;;;5453
Baarle-Nassau-G0744;5;0;480;254;828;480;272;119;124;;100;;68.0;12.0;;;;;;;;;;;4.0;;;;;;;;;2483
Baarn-G0308;21;6;3331;1554;1423;1316;884;1134;796;467.0;237;115.0;292.0;;;;;;;;;;;;;18.0;;160.0;;;;;;7099
Barendrecht-G0489;26;5;4425;2183;2362;2970;1440;1189;780;743.0;526;1097.0;366.0;;;;;;;61.0;15.0;;;;;;;;;;;;;16006
Barneveld-G0203;29;14;4382;1311;5785;2796;820;707;517;3044.0;227;6212.0;205.0;;;;;;;;;;52.0;;;;;;;32.0;;17.0;;11882
Bedum-G0005;4;5;538;1060;1192;281;534;241;304;795.0;64;;72.0;;;;;286.0;;;;;;;;;;;;;;;;2731
Beek-G0888;15;9;1106;920;1784;1642;733;449;427;38.0;263;;134.0;;;;;;88.0;;;;;;;;;;;;;;;5591
Beemster-G0370;4;1;1476;630;565;652;281;377;217;;101;;94.0;23.0;;93.0;;;;;;;;;;;10.0;;;;;;;2125
Beesel-G0889;12;6;915;688;1121;1386;498;216;197;31.0;193;;83.0;;;;;;69.0;;;;;;;;;;;;;;;5251
Bellingwedde-G0007;6;4;647;1322;366;548;762;135;179;128.0;82;;133.0;;;;;146.0;;;;;;;;;;;;;;;;2936
Bergambacht-G0491;4;3;1160;698;692;575;297;208;146;313.0;80;730.0;88.0;;;;;;;25.0;2.0;;;;;;;;;;;;;2295
Bergeijk-G1724;10;8;1374;696;2412;1084;934;373;289;;206;;110.0;33.0;;;;;;;;;;;11.0;;;;;;;;;6327
Bergen-G0893;3;7;777;578;1654;885;606;175;130;12.0;142;;45.0;;;;;;24.0;;;;;;;;;;;;;;;5294
Bergen-G0373;17;10;4252;2432;1822;1861;1303;1487;1234;;247;;519.0;103.0;;262.0;;;;;;;;;;;25.0;;;;;;;8724
Bergen op Zoom-G0748;65;30;5290;3856;2948;4667;2519;1960;1333;;769;;496.0;226.0;;;;;;;;;;;50.0;;;;;;;;;25793
Berkelland-G1859;18;17;4644;4262;4456;1897;2326;1379;885;341.0;404;32.0;307.0;;;;;;;;;;66.0;;;;;;;16.0;;16.0;;13780
Bernheze-G1721;19;9;2278;1148;3065;1260;1784;731;523;;360;;152.0;44.0;;;;;;;;;;;27.0;;;;;;;;;10979
Bernisse-G0568;4;10;1604;709;803;912;460;254;165;225.0;161;85.0;118.0;;;;;;;32.0;1.0;;;;;;;;;;;;;4292
Best-G0753;10;12;2603;1323;1952;1461;1527;991;538;;704;;180.0;230.0;;;;;;;;;;;17.0;;;;;;;;;9886
Beuningen-G0209;10;17;2196;1641;1535;1300;1518;814;532;85.0;336;14.0;177.0;;;;;;;;;;20.0;;;;;;;9.0;;;;9329
Beverwijk-G0375;23;11;2685;2844;1452;2312;1567;1184;1147;;303;;369.0;137.0;;421.0;;;;;;;;;;;32.0;;;;;;;14702
Binnenmaas-G0585;19;9;3039;1865;1869;1809;1040;619;463;550.0;337;994.0;270.0;;;;;;;73.0;3.0;;;;;;;;;;;;;9606
Bladel-G1728;14;6;1516;769;1882;1051;1097;404;365;;291;;163.0;43.0;;;;;;;;;;;14.0;;;;;;;;;7239
Blaricum-G0376;10;6;1929;512;498;506;289;518;217;;100;;94.0;59.0;;54.0;;;;;;;;;;;5.0;;;;;;;2155
Bloemendaal-G0377;14;9;4850;1309;1429;786;596;1768;769;;129;;309.0;133.0;;119.0;;;;;;;;;;;18.0;;;;;;;4239
Boarnsterhim-G0055;6;8;1735;2674;1121;630;714;489;538;178.0;79;;;;1208.0;;;28.0;;;;123.0;;;;;;;;;;;2.0;5126
Bodegraven-Reeuwijk-G1901;25;10;3898;1376;3178;1784;782;848;693;1011.0;301;1414.0;225.0;;;;;;;65.0;10.0;;;;;;;;;;;;;8860
Boekel-G0755;6;12;704;341;1222;572;638;154;145;;136;;70.0;14.0;;;;;;;;;;;7.0;;;;;;;;;3315
Borger-Odoorn-G1681;15;8;2273;3530;1445;1267;1165;714;579;514.0;240;51.0;;;;;;;;;;;;142.0;;;;;19.0;;;;;8517
Borne-G0147;17;12;1688;1727;2244;913;1075;910;437;136.0;263;12.0;97.0;;;;;;;;;;;;;;;;10.0;;;;;6695
Borsele-G0654;11;3;1474;1341;1920;1094;729;394;349;368.0;162;1961.0;185.0;;;;587.0;;;;;;;;;;;;;;;;;6446
Boskoop-G0499;5;9;1898;685;1317;820;462;454;399;353.0;125;346.0;136.0;;;;;;;14.0;8.0;;;;;;;;;;;;;4040
Boxmeer-G0756;21;19;2126;967;3100;1301;4017;582;421;;167;;139.0;74.0;;;;;;;;;;;9.0;;;;;;;;;8827
Boxtel-G0757;36;22;2141;1667;2153;1319;1736;1241;837;;497;;216.0;82.0;;;;;;;;;;;17.0;;;;;;;;;11054
Breda-G0758;137;81;16665;10767;7878;8205;7949;7886;5324;;1752;;1402.0;588.0;;;;;;;;;;;155.0;;;;;;;;;63895
Brielle-G0501;2;9;1768;964;638;1076;1049;401;241;104.0;186;34.0;153.0;;;;;;;46.0;2.0;;;;;;;;;;;;;5699
Bronckhorst-G1876;19;16;4567;3210;4162;1663;1480;1168;753;416.0;321;179.0;325.0;;;;;;;;;;63.0;;;;;;;16.0;;16.0;;11068
Brummen-G0213;12;6;2189;2352;1159;969;829;670;477;159.0;211;38.0;190.0;;;;;;;;;;41.0;;;;;;;22.0;;6.0;;7173
Brunssum-G0899;15;28;1391;1649;1516;3115;1584;403;422;193.0;462;;221.0;;;;;;117.0;;;;;;;;;;;;;;;12340
Bunnik-G0312;12;7;1748;950;1303;613;560;857;1102;143.0;154;114.0;165.0;;;;;;;;;;;;;22.0;;8.0;;;;;;3169
Bunschoten-G0313;26;5;1227;325;2673;1142;216;127;98;2654.0;122;452.0;51.0;;;;;;;;;;;;;10.0;;12.0;;;;;;5593
Buren-G0214;16;1;3373;1734;1489;1852;666;753;427;284.0;282;704.0;287.0;;;;;;;;;;15.0;;;;;;;5.0;;;;8048
Bussum-G0381;15;9;4877;2116;1362;1311;1012;2041;1082;;297;;335.0;297.0;;176.0;;;;;;;;;;;23.0;;;;;;;8946
Capelle aan den IJssel-G0502;62;19;4692;4102;1984;4358;2612;1823;949;1096.0;767;1771.0;592.0;;;;;;;518.0;14.0;;;;;;;;;;;;;24873
Castricum-G0383;22;10;4636;3004;2439;1828;1597;1847;1480;;285;;398.0;129.0;;296.0;;;;;;;;;;;24.0;;;;;;;8801
Coevorden-G0109;27;12;3778;4227;2659;1639;1468;831;577;435.0;287;72.0;;;;;;;;;;;;150.0;;;;;12.0;;;;;11830
Cranendonck-G1706;2;6;1580;1069;1746;1393;991;381;241;;229;;152.0;49.0;;;;;;;;;;;16.0;;;;;;;;;7920
Cromstrijen-G0611;9;4;1414;841;865;755;540;310;196;190.0;147;420.0;88.0;;;;;;;16.0;1.0;;;;;;;;;;;;;4288
Cuijk-G1684;18;4;1722;1366;2018;1282;2064;674;468;;205;;131.0;36.0;;;;;;;;;;;24.0;;;;;;;;;8458
Culemborg-G0216;16;12;2395;2255;1314;1609;1090;1115;1332;354.0;240;113.0;248.0;;;;;;;;;;45.0;;;;;;;10.0;;;;8041
Dalfsen-G0148;15;6;2201;1688;4307;1002;812;696;466;1496.0;379;303.0;137.0;;;;;;;;;;;;;;;;4.0;;;;;7128
Dantumadiel-G1891;17;9;584;1625;2329;873;563;184;261;1378.0;102;;;;806.0;;;17.0;;;;116.0;;;;;;;;;;;5.0;6091
De Bilt-G0310;41;21;6028;2836;2518;2140;2097;2570;1955;691.0;490;776.0;503.0;;;;;;;;;;;;;49.0;;49.0;;;;;;9506
De Marne-G1663;10;5;697;1176;948;409;583;167;338;484.0;68;;142.0;;;;;116.0;;;;;;;;;;;;;;;;3128
De Ronde Venen-G0736;22;13;6534;1999;3660;2587;1072;1513;982;596.0;364;395.0;328.0;;;;;;;;;;;;;220.0;;28.0;;;;;;11977
De Wolden-G1690;17;5;3376;2274;2191;1099;710;772;583;475.0;157;72.0;;;;;;;;;;;;152.0;;;;;12.0;;;;;6463
Delft-G0503;102;100;6589;7461;3304;4354;4357;7658;4161;1259.0;797;266.0;960.0;;;;;;;240.0;64.0;;;;;;;;;;;;;30535
Delfzijl-G0010;21;13;1394;2824;1435;1196;1298;409;358;767.0;284;;199.0;;;;;483.0;;;;;;;;;;;;;;;;10191
Den Helder-G0400;52;14;4394;3223;1860;3705;2512;2145;585;;662;;455.0;1155.0;;562.0;;;;;;;;;;;21.0;;;;;;;23485
Deurne-G0762;22;18;2513;1408;3318;1760;1652;623;475;;372;;155.0;67.0;;;;;;;;;;;23.0;;;;;;;;;12157
Deventer-G0150;86;25;7260;11694;4603;3286;4143;4687;3689;1171.0;923;100.0;795.0;;;;;;;;;;;;;;;;88.0;;;;;30571
Diemen-G0384;27;14;2158;2361;588;1558;1163;1069;802;;195;;237.0;136.0;;157.0;;;;;;;;;;;15.0;;;;;;;7785
Dinkelland-G1774;17;6;2237;1017;4949;1158;662;581;330;69.0;344;8.0;86.0;;;;;;;;;;;;;;;;1.0;;;;;8098
Dirksland-G0504;4;1;587;405;427;535;279;109;57;252.0;72;1077.0;52.0;;;;;;;34.0;1.0;;;;;;;;;;;;;2447
Doesburg-G0221;6;10;939;1045;563;566;928;505;268;104.0;93;15.0;99.0;;;;;;;;;;17.0;;;;;;;2.0;;0.0;;3773
Doetinchem-G0222;41;6;4418;4890;3706;2343;3160;1777;1475;550.0;623;299.0;432.0;;;;;;;;;;89.0;;;;;;;19.0;;23.0;;19363
