RegioNaam;@invalid;@blank;VVD;CDA;D66;PVV;SP;PvdA;GL;CU;PvdD;50+;SGP;CU-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;PPNL;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat;@abs
Aa en Hunze-G1680;25;43;2398;906;1220;1062;1330;2210;736;287.0;;513;53.0;;;;;;;;;;;627.0;;;;;;;;;;;;211.0;;;;;;;;;;;;;;;;;;;;8631
Aalburg-G0738;11;18;474;982;145;606;253;160;41;;112.0;78;;2278.0;;;;181.0;;;;;;;;;;;;;4.0;;;;;;12.0;;;;;;;;;;;;;2.0;1.0;;;;;4249
Aalsmeer-G0358;21;29;3196;1809;1317;1456;650;997;269;;312.0;403;;668.0;;153.0;;;82.0;61.0;;;;;;;;;;;;71.0;;7.0;;;;;;;;;;;;;;;;;;;;;;11000
Aalten-G0197;20;26;1387;3047;900;759;1292;749;355;635.0;239.0;257;67.0;;;;;;;;;;;;;214.0;53.0;;;;8.0;;;;;;;25.0;;;19.0;;10.0;;8.0;;;;;;;5.0;;;;10737
Achtkarspelen-G0059;25;21;720;2604;346;1334;893;1197;151;1741.0;132.0;180;;;1559.0;;;;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;14.0;;;;;;1.0;;10558
Alblasserdam-G0482;20;15;822;954;509;947;651;709;113;862.0;167.0;241;1680.0;;;;;;;;;;;;26.0;;;8.0;;;8.0;;;;;;25.0;;;;;;2.0;;;;;;;;;;;;;6913
Albrandswaard-G0613;31;21;1879;1221;918;1550;695;709;246;372.0;344.0;389;198.0;;;;;;;;;;;;212.0;;;27.0;;;11.0;;;;;;21.0;;;;;;8.0;;;;;;;;;;;;;10070
Alkmaar-G0361;102;125;6347;3894;5468;4199;4346;4998;2835;;2004.0;1675;;733.0;;1045.0;;;485.0;353.0;;;;;;;;;;;;222.0;;102.0;;;;;;;;;;;;;;;;;;;;;;43102
Almelo-G0141;96;58;2680;3761;2495;3345;3107;2829;794;1065.0;542.0;829;167.0;;;;;;;;;;580.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31774
Almere-G0034;205;188;9287;4185;7723;10133;7284;5919;2712;1737.0;3175.0;3234;245.0;;;;;;;;;;;;;;;;;;;;;;;;169.0;;;;;;;;;;;;524.0;;;;;;;84182
