RegioNaam;@invalid;@blank;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50+;SGP;DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs
Aa en Hunze-G1680;20;36;1396;2369;794;1348;2071;854;587;685;399.0;585;397.0;37.0;11;;;;;;;;;;;;;;;1195.0;;;;297.0;;;57.0;;;7548
Aalsmeer-G0358;27;53;2942;2861;1665;1139;943;953;768;439;913.0;462;;;43;374.0;;174.0;;;;;144.0;;25.0;;;;;;;;;;;;;;;9063
Aalten-G0197;27;41;1402;1503;3357;828;830;631;602;819;742.0;315;452.0;85.0;73;;;;;;;;;;;125.0;;;;;;;;;;21.0;;;;9367
Achtkarspelen-G0059;20;29;2000;637;2471;466;1157;245;1206;494;1507.0;195;181.0;270.0;8;;;;1243.0;;;;;;;;;;;;;;288.0;;52.0;;;;;9115
Alblasserdam-G0482;34;12;1351;913;730;311;767;334;595;317;1075.0;218;318.0;1794.0;132;;;53.0;;;;;;61.0;10.0;;;;;;;;;;;34.0;;;;5805
Albrandswaard-G0613;29;29;2605;2094;893;619;705;671;779;427;490.0;437;636.0;176.0;106;;;39.0;;;;;;82.0;15.0;;;;;;;;;;;10.0;;;;8234
Alkmaar-G0361;135;129;7215;6231;3383;7484;5258;3994;2841;2735;1270.0;3144;;;649;1231.0;;837.0;;;;;1115.0;;185.0;;;;;;;;;;;;;;;35951
Almelo-G0141;86;70;4491;3760;3393;2178;2519;1455;3252;2040;1376.0;811;995.0;197.0;1112;;;;;;;;;;;;;;;;;;;;;;;;;27591
Almere-G0034;355;198;13303;9271;2721;7724;6880;4260;7028;4527;2491.0;4289;4512.0;256.0;2199;;;;;;;;;;;;;;;;;;;;;221.0;;518.0;544.0;77382
Alphen aan den Rijn-G0484;106;140;8246;9426;4890;4158;3458;3865;2615;2356;3162.0;1755;2083.0;1591.0;543;;;174.0;;;;;;402.0;96.0;;;;;;;;;;;;;;;35340
Alphen-Chaam-G1723;6;15;672;892;1195;245;195;348;270;257;;157;197.0;;7;;96.0;110.0;;32.0;;;;;;;;;36.0;;15.0;;;;;;;;;3195
Altena-G1959;40;30;3482;2238;5391;806;865;686;1645;963;;496;385.0;;14;;571.0;49.0;;6341.0;;;;;;;;;115.0;;57.0;;;;;;;;;18300
