RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;SP;Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);SGP;Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam;@abs
Aagtekerke-G1000;0;;;2.0;74.0;6.0;;17.0;3.0;;;;;;;4.0;1.0;;;;;3.0;;61.0;;;;;;;;;;;;;9.0
Aalsmeer-G0358;0;;210.0;242.0;288.0;426.0;60.0;15.0;24.0;5.0;23.0;6.0;10.0;4.0;2.0;2.0;29.0;4.0;5.0;4.0;10.0;3.0;;;;;;;;;3.0;5.0;;;;;115.0
Aalst-G1001;0;;196.0;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;7.0
Aalten-G0197;0;;323.0;226.0;882.0;190.0;10.0;67.0;29.0;26.0;3.0;15.0;7.0;6.0;;12.0;23.0;242.0;1.0;6.0;8.0;7.0;;;;;;;;;;;;;;;151.0
Aardenburg-G0648;0;;230.0;35.0;23.0;145.0;1.0;;8.0;1.0;1.0;4.0;;;;2.0;;;;;3.0;2.0;;1.0;;;;;;;;;;;;;21.0
Aarle-Rixtel-G0739;0;;417.0;;;1.0;;;2.0;6.0;3.0;8.0;;;;;;1.0;2.0;;;;;;;;;;;;;;;;;;12.0
Abbekerk-G0359;0;;49.0;30.0;1.0;81.0;2.0;7.0;4.0;1.0;;1.0;;;;;13.0;;;;;;;;;;;;;;;;;;;;8.0
Abbenbroek-G0481;0;;;85.0;9.0;23.0;1.0;7.0;4.0;9.0;4.0;;1.0;5.0;;3.0;;;;;;;10.0;;3.0;3.0;;;;;;;;;;;6.0
Abcoude-Baambrugge-G1003;0;;89.0;3.0;97.0;4.0;81.0;22.0;15.0;14.0;3.0;1.0;1.0;;;5.0;3.0;4.0;2.0;1.0;4.0;;;;4.0;;;;;;;;;;;;23.0
Abcoude-Proostdij-G1004;0;;189.0;4.0;43.0;7.0;96.0;9.0;5.0;8.0;3.0;;1.0;;;6.0;;;;1.0;2.0;1.0;;;;;;;;;;;;;;;18.0
Achtkarspelen-G0059;0;;5.0;758.0;1309.0;227.0;347.0;126.0;18.0;;7.0;;5.0;13.0;4.0;8.0;14.0;40.0;15.0;4.0;30.0;9.0;8.0;;4.0;;12.0;12.0;3.0;;;;;;;;274.0
Achttienhoven-G1005;0;;27.0;2.0;45.0;;57.0;2.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;21.0
Adorp-G0001;0;;;18.0;161.0;20.0;14.0;55.0;12.0;5.0;5.0;3.0;3.0;;;12.0;;1.0;;;;;;;1.0;;;;;;;;;;;;24.0
Aduard-G0002;0;;4.0;97.0;162.0;4.0;15.0;104.0;18.0;2.0;4.0;5.0;3.0;;1.0;9.0;4.0;1.0;1.0;;;4.0;2.0;;;;;;;;;;;;;;31.0
Aengwirden-G1006;0;;48.0;492.0;70.0;16.0;65.0;93.0;12.0;11.0;2.0;;3.0;;;17.0;9.0;2.0;18.0;3.0;4.0;13.0;15.0;;2.0;;54.0;12.0;3.0;;;;;;;;123.0
Akersloot-G0360;0;;215.0;15.0;2.0;51.0;7.0;76.0;5.0;9.0;1.0;;1.0;1.0;;;19.0;;;3.0;;1.0;1.0;;4.0;;;;;;;;;;;;25.0
Alblasserdam-G0482;0;;10.0;426.0;408.0;62.0;283.0;40.0;16.0;18.0;10.0;4.0;1.0;6.0;1.0;4.0;2.0;3.0;3.0;;;;2.0;;34.0;;;;;;;;;2.0;;;152.0
Alem, Maren en Kessel-G1007;0;;290.0;6.0;1.0;;;;;5.0;1.0;10.0;;;;;;;1.0;;;2.0;;;;;;;;;;;;;;;28.0
