RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;SGP;Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;SP;Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch;@abs
Aalsmeer-G0358;48.0;;469.0;449.0;502.0;333.0;752.0;64.0;48.0;36.0;7.0;14.0;4.0;6.0;44.0;30.0;6.0;;10.0;3.0;;4.0;36.0;;10.0;6.0;10.0;4.0;4.0;2.0;1.0;44.0;7.0;2.0;1.0;;;1.0;;7.0;;;;;;;;;;;;1.0;;203.0
Aalst-G1001;5.0;9.0;408.0;5.0;2.0;;;;4.0;;;;;;1.0;;;3.0;;;4.0;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;13.0
Aalten-G0197;27.0;62.0;695.0;329.0;1859.0;526.0;205.0;319.0;14.0;12.0;17.0;11.0;6.0;7.0;;8.0;268.0;;4.0;1.0;6.0;1.0;3.0;;;;4.0;3.0;;3.0;1.0;;;4.0;;;;1.0;;;;;;;;;;;;;;;;213.0
Aarle-Rixtel-G0739;;;858.0;4.0;2.0;1.0;2.0;7.0;7.0;3.0;;;;;1.0;4.0;;4.0;7.0;2.0;9.0;2.0;4.0;;3.0;;1.0;;;;1.0;;;2.0;;;;;;;;;;;;;;;;;;;;64.0
Abbenbroek-G0481;;;;129.0;20.0;4.0;39.0;5.0;3.0;1.0;;78.0;;;;3.0;1.0;;8.0;15.0;1.0;1.0;;1.0;1.0;;4.0;1.0;;;;;;;1.0;;;2.0;;;;;;;;;;;;;;;;39.0
Abcoude-Baambrugge-G1003;12.0;3.0;178.0;18.0;202.0;187.0;28.0;23.0;3.0;2.0;10.0;4.0;1.0;11.0;1.0;2.0;2.0;;6.0;3.0;3.0;;;3.0;2.0;;12.0;3.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;56.0
Abcoude-Proostdij-G1004;;;383.0;25.0;74.0;;;24.0;;5.0;;;;8.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;824.0
Achtkarspelen-G0059;104.0;;2.0;1015.0;2804.0;18.0;10.0;579.0;309.0;12.0;897.0;70.0;7.0;9.0;2.0;8.0;164.0;;15.0;7.0;2.0;4.0;15.0;5.0;35.0;9.0;34.0;6.0;9.0;;9.0;;;;;;5.0;2.0;;;;;;;;;;;;;;;;408.0
Achttienhoven-G1005;;;58.0;;64.0;;;;;2.0;;;;1.0;10.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304.0
Aengwirden-G1006;34.0;;102.0;830.0;202.0;4.0;5.0;68.0;77.0;2.0;161.0;11.0;8.0;8.0;1.0;10.0;13.0;;6.0;8.0;;2.0;5.0;4.0;381.0;3.0;3.0;4.0;4.0;;32.0;;;;;;;;;;;;;;;;;;;;;;;198.0
