RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;SP;Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij;@abs
Aagtekerke-G1000;3.0;1.0;;3.0;132.0;11.0;24.0;5.0;141.0;1.0;;8.0;;1.0;;;;;1.0;;;;;;1.0;1.0;1.0;;;;;;;;;29.0
Aalsmeer-G0358;;;496.0;603.0;507.0;368.0;821.0;125.0;80.0;35.0;5.0;23.0;18.0;5.0;6.0;4.0;15.0;13.0;;8.0;10.0;3.0;;;1.0;;3.0;;;;;;;;;273.0
Aalten-G0197;123.0;;673.0;427.0;1833.0;704.0;204.0;402.0;2.0;;18.0;9.0;;11.0;5.0;3.0;197.0;3.0;20.0;;9.0;;;;3.0;;;;;;;;;;;194.0
Aardenburg-G0648;25.0;;503.0;91.0;59.0;22.0;163.0;54.0;8.0;;12.0;16.0;3.0;1.0;;4.0;;1.0;2.0;;78.0;;;;;1.0;2.0;;;;;;;;;52.0
Aarle-Rixtel-G0739;21.0;;930.0;12.0;3.0;2.0;6.0;5.0;;5.0;19.0;;;;2.0;;;1.0;1.0;;;;;;1.0;;;;;;8.0;;;;;18.0
Abcoude-Baambrugge-G1003;11.0;;167.0;27.0;187.0;206.0;32.0;35.0;16.0;6.0;;11.0;1.0;2.0;;9.0;6.0;;1.0;;1.0;;;;;;;;;;;;;;;61.0
Abcoude-Proostdij-G1004;8.0;;395.0;31.0;80.0;187.0;13.0;31.0;7.0;6.0;1.0;10.0;;5.0;1.0;;3.0;;;;1.0;1.0;;;;;;;;;;;;;;47.0
Achtkarspelen-G0059;202.0;;12.0;1078.0;2782.0;998.0;232.0;621.0;31.0;3.0;8.0;79.0;18.0;21.0;8.0;43.0;76.0;10.0;56.0;1.0;18.0;4.0;;30.0;3.0;;3.0;;5.0;;;1.0;;;;426.0
Achttienhoven-G1005;;;57.0;2.0;66.0;113.0;4.0;;28.0;;;14.0;1.0;10.0;2.0;;;2.0;3.0;;;;;;;;1.0;;;;;;;;;33.0
Aengwirden-G1006;73.0;;108.0;938.0;178.0;188.0;53.0;256.0;4.0;10.0;9.0;138.0;20.0;8.0;8.0;20.0;27.0;9.0;11.0;;;9.0;;9.0;2.0;;;;1.0;;;;;;;231.0
Akersloot-G0360;;;453.0;42.0;;11.0;10.0;197.0;;3.0;3.0;3.0;2.0;;;42.0;;;;2.0;1.0;8.0;;;;1.0;;;;;;;;;;99.0
Alem, Maren en Kessel-G1007;8.0;;522.0;12.0;;4.0;3.0;3.0;;2.0;11.0;1.0;;;5.0;;;;;;;;;;;;;;;;2.0;;;;;41.0
Alkemade-G0483;22.0;;1768.0;25.0;190.0;148.0;18.0;25.0;3.0;2.0;10.0;5.0;;6.0;8.0;2.0;3.0;2.0;1.0;3.0;1.0;3.0;;;;;;;;;;;;;;123.0
Alkmaar-G0361;439.0;;3852.0;3677.0;544.0;890.0;955.0;1797.0;39.0;444.0;322.0;54.0;39.0;7.0;35.0;42.0;15.0;32.0;17.0;85.0;37.0;11.0;;;58.0;41.0;4.0;;2.0;;;3.0;;;;1096.0
Almelo-G0141;;;2009.0;3698.0;1009.0;1204.0;650.0;645.0;100.0;186.0;287.0;78.0;1105.0;21.0;56.0;213.0;431.0;27.0;38.0;13.0;28.0;113.0;;;;;;;;;;;;;;1562.0
Almkerk-G0740;30.0;;9.0;42.0;1020.0;323.0;34.0;13.0;20.0;2.0;2.0;25.0;2.0;10.0;2.0;;;1.0;22.0;;1.0;;1.0;;;;;;;;8.0;;;;;180.0
Alphen aan den Rijn-G0484;126.0;;1406.0;518.0;1599.0;1963.0;431.0;123.0;340.0;67.0;12.0;56.0;6.0;22.0;8.0;25.0;9.0;12.0;14.0;12.0;10.0;11.0;;;6.0;;;2.0;;;;;;;;494.0
Alphen en Riel-G0741;;;982.0;4.0;;;2.0;;;;11.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;30.0
Ambt Delden-G0142;;;905.0;113.0;30.0;197.0;24.0;129.0;3.0;;29.0;128.0;1.0;1.0;4.0;20.0;4.0;1.0;9.0;3.0;3.0;1.0;;;;;;;;;;;;;;90.0
