RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Aagtekerke-G1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalsmeer-G0358;88.0;;625.0;765.0;498.0;568.0;816.0;85.0;85.0;42.0;45.0;8.0;10.0;3.0;8.0;1.0;16.0;;4.0;2.0;3.0;2.0;;2.0;12.0;1.0;;;6.0;;;;4.0;;;;;;200.0
Aalten-G0197;65.0;68.0;755.0;484.0;1889.0;940.0;173.0;422.0;3.0;8.0;2.0;13.0;13.0;10.0;8.0;4.0;2.0;35.0;17.0;;1.0;2.0;;;;;;;;;7.0;;;;;;;;241.0
Aardenburg-G0648;;;506.0;178.0;50.0;28.0;50.0;172.0;10.0;;;1.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;145.0
Aarle-Rixtel-G0739;;;989.0;12.0;;18.0;7.0;;;7.0;;2.0;2.0;1.0;1.0;4.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;0.0
Abbekerk-G0359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abbenbroek-G0481;4.0;;4.0;148.0;18.0;8.0;67.0;17.0;4.0;3.0;;;60.0;5.0;;;;;1.0;;2.0;;;;;;;;;;;;;;;;;;23.0
Abcoude-Baambrugge-G1003;14.0;;164.0;25.0;163.0;218.0;29.0;34.0;30.0;8.0;;24.0;11.0;;;2.0;1.0;6.0;;;6.0;;;;;;;;;;;;;;;;;;54.0
Abcoude-Proostdij-G1004;18.0;;386.0;41.0;72.0;197.0;12.0;19.0;14.0;15.0;;4.0;2.0;1.0;1.0;;1.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;38.0
Achtkarspelen-G0059;198.0;;16.0;1261.0;2882.0;1133.0;209.0;594.0;26.0;4.0;6.0;33.0;52.0;58.0;3.0;8.0;;39.0;21.0;;8.0;;;;;;;;;;;;;;;;;;472.0
