RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;SGP;Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis;@abs
Aagtekerke-G1000;8;0;;;98.0;49.0;17.0;;;179.0;;5.0;;;;3.0;;;;;1.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.0
Aalsmeer-G0358;29;63;756.0;931.0;790.0;634.0;830.0;201.0;77.0;96.0;10.0;19.0;6.0;22.0;11.0;9.0;12.0;4.0;;11.0;3.0;1.0;;1.0;;;;1.0;8.0;4.0;3.0;;;;;;;;;7.0;;;;;;;;;;;;;;;;;209.0
Aalten-G0197;44;97;751.0;531.0;2052.0;1001.0;171.0;267.0;18.0;1.0;4.0;128.0;12.0;63.0;19.0;3.0;8.0;3.0;5.0;12.0;3.0;;;13.0;;;;8.0;;1.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;202.0
Aardenburg-G0648;8;45;486.0;167.0;76.0;24.0;96.0;136.0;1.0;23.0;1.0;2.0;2.0;2.0;;5.0;5.0;9.0;2.0;2.0;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.0
Aarle-Rixtel-G0739;7;4;1031.0;27.0;2.0;10.0;9.0;;;3.0;;;7.0;;;;;2.0;;7.0;1.0;4.0;;1.0;;;;;;3.0;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;39.0
Abbekerk-G0359;0;2;133.0;108.0;12.0;8.0;57.0;66.0;;;;20.0;;1.0;;;2.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;4.0;;;;;;;;;;;;;;17.0
Abbenbroek-G0481;2;8;2.0;137.0;30.0;22.0;47.0;24.0;6.0;2.0;;46.0;;10.0;;3.0;;1.0;24.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0
Abcoude-Baambrugge-G1003;4;5;192.0;28.0;177.0;244.0;34.0;13.0;3.0;24.0;4.0;13.0;;4.0;13.0;3.0;1.0;5.0;;1.0;3.0;;;;1.0;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;43.0
Abcoude-Proostdij-G1004;4;10;386.0;62.0;81.0;181.0;19.0;8.0;2.0;11.0;2.0;6.0;;3.0;4.0;;;1.0;;6.0;2.0;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;35.0
Achtkarspelen-G0059;72;114;10.0;1273.0;2900.0;922.0;179.0;523.0;112.0;34.0;8.0;20.0;11.0;385.0;17.0;3.0;23.0;4.0;4.0;38.0;2.0;168.0;;28.0;;3.0;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;368.0
