RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;SGP;Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij;@abs
Aagtekerke-G1000;1;2;;;86.0;56.0;15.0;2.0;21.0;;;179.0;;;;;2.0;;;1.0;2.0;;43.0
Aalsmeer-G0358;54;25;880.0;1083.0;1058.0;579.0;410.0;311.0;420.0;94.0;42.0;77.0;1.0;;3.0;;4.0;5.0;;;;1.0;181.0
Aalten-G0197;100;108;774.0;465.0;2229.0;1082.0;283.0;294.0;70.0;11.0;81.0;2.0;;8.0;14.0;1.0;2.0;6.0;1.0;4.0;2.0;;217.0
Aardenburg-G0648;23;29;535.0;122.0;112.0;11.0;197.0;24.0;35.0;5.0;3.0;8.0;1.0;;2.0;;2.0;2.0;;5.0;1.0;;72.0
Aarle-Rixtel-G0739;14;5;1072.0;8.0;10.0;7.0;3.0;20.0;10.0;;2.0;;;3.0;1.0;21.0;;2.0;;;1.0;;45.0
Abbekerk-G0359;3;1;129.0;69.0;9.0;11.0;90.0;5.0;39.0;4.0;8.0;;;;;;;;;;;;23.0
Abbenbroek-G0481;7;7;;146.0;33.0;9.0;60.0;40.0;50.0;8.0;10.0;3.0;1.0;;;;1.0;;2.0;5.0;;;22.0
Abcoude-Baambrugge-G1003;3;11;173.0;37.0;210.0;230.0;30.0;49.0;10.0;4.0;16.0;11.0;;;1.0;;6.0;;;1.0;;;51.0
Abcoude-Proostdij-G1004;7;4;385.0;47.0;121.0;179.0;13.0;35.0;5.0;3.0;1.0;6.0;;2.0;2.0;;1.0;;;;;;56.0
Achtkarspelen-G0059;123;92;25.0;1215.0;3108.0;912.0;511.0;27.0;184.0;133.0;902.0;28.0;6.0;2.0;18.0;;1.0;28.0;1.0;4.0;;;393.0
Achttienhoven-G1005;2;13;63.0;26.0;103.0;99.0;4.0;12.0;4.0;1.0;;39.0;2.0;;1.0;;2.0;;;;;;26.0
Adorp-G0001;3;7;4.0;52.0;373.0;37.0;73.0;35.0;58.0;3.0;89.0;;;;4.0;;;5.0;1.0;;1.0;;50.0
Aduard-G0002;12;8;7.0;156.0;499.0;54.0;132.0;32.0;88.0;9.0;49.0;;;;3.0;;;8.0;3.0;1.0;;;58.0
Akersloot-G0360;0;13;551.0;88.0;26.0;15.0;144.0;29.0;23.0;6.0;7.0;2.0;9.0;3.0;5.0;;;3.0;;14.0;;;44.0
Alblasserdam-G0482;19;72;27.0;767.0;541.0;562.0;60.0;91.0;401.0;11.0;3.0;503.0;;;;;;;;;;;277.0
Alem, Maren en Kessel-G1007;4;4;509.0;8.0;1.0;;;;;;;4.0;;2.0;;44.0;;;1.0;2.0;;;32.0
Alkemade-G0483;11;7;2102.0;13.0;233.0;117.0;17.0;24.0;6.0;3.0;8.0;5.0;2.0;;7.0;;;1.0;3.0;2.0;;;84.0
Alkmaar-G0361;158;264;5100.0;3882.0;1571.0;722.0;2120.0;890.0;576.0;381.0;173.0;18.0;;;;;;;;;;;906.0
Almelo-G0141;362;536;3205.0;4830.0;1972.0;873.0;1294.0;506.0;626.0;1050.0;1826.0;51.0;386.0;411.0;15.0;5.0;15.0;123.0;1.0;8.0;15.0;8.0;806.0
Almkerk-G0740;22;24;9.0;69.0;1075.0;396.0;29.0;39.0;22.0;7.0;;22.0;;;15.0;;1.0;3.0;;1.0;;;180.0
Alphen aan den Rijn-G0484;46;118;1638.0;819.0;2351.0;2163.0;251.0;379.0;278.0;30.0;52.0;352.0;2.0;10.0;28.0;;113.0;11.0;1.0;5.0;3.0;;498.0
Alphen en Riel-G0741;4;7;1148.0;1.0;7.0;;13.0;1.0;;;;;;6.0;;21.0;;;1.0;;;;28.0
Ambt Delden-G0142;22;21;1162.0;158.0;166.0;166.0;170.0;15.0;25.0;8.0;13.0;2.0;2.0;5.0;;;1.0;9.0;1.0;7.0;;;72.0
Ambt Hardenberg-G1011;84;70;723.0;551.0;2296.0;1296.0;247.0;232.0;260.0;11.0;167.0;32.0;7.0;3.0;15.0;1.0;3.0;10.0;2.0;8.0;2.0;;346.0
Ambt Vollenhove-G1013;14;13;9.0;26.0;656.0;275.0;25.0;7.0;65.0;9.0;67.0;21.0;4.0;;;;53.0;;;12.0;;;88.0
Amby-G0883;22;47;774.0;38.0;7.0;1.0;;75.0;;;2.0;;;6.0;;1.0;;;;;;;25.0
Ameide-G0485;14;15;1.0;242.0;318.0;14.0;57.0;24.0;41.0;5.0;4.0;68.0;;;;;;;;;;;82.0
