RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;@abs
Aagtekerke-G1000;0;;;12;51.0;;77.0;4.0;198.0;
Aalsmeer-G0358;0;;1131.0;1994;1025.0;286.0;790.0;610.0;60.0;
Aalten-G0197;0;;1007.0;1271;2610.0;25.0;1331.0;183.0;10.0;
Aardenburg-G0648;0;;1146.0;296;132.0;28.0;54.0;84.0;14.0;
Aarle-Rixtel-G0739;0;;1262.0;87;13.0;8.0;19.0;3.0;;
Abbekerk-G0359;0;;163.0;216;39.0;19.0;15.0;33.0;;
Abbenbroek-G0481;0;;2.0;142;46.0;88.0;14.0;92.0;7.0;
Abcoude-G0305;0;;659.0;259;265.0;14.0;460.0;39.0;26.0;
Achtkarspelen-G0059;0;;29.0;2429;3736.0;488.0;1258.0;200.0;94.0;
Achttienhoven-G1005;0;;84.0;41;118.0;9.0;98.0;1.0;35.0;
Adorp-G0001;0;;6.0;196;407.0;16.0;50.0;112.0;1.0;
Aduard-G0002;0;;7.0;345;515.0;22.0;57.0;195.0;;
Akersloot-G0360;0;;698.0;221;26.0;89.0;10.0;36.0;1.0;
Alblasserdam-G0482;0;;25.0;1270;594.0;143.0;872.0;253.0;683.0;
Alem, Maren en Kessel-G1007;0;;567.0;9;2.0;2.0;2.0;;;
Alkemade-G0483;0;;2600.0;61;273.0;8.0;130.0;47.0;3.0;
Alkmaar-G0361;0;;6619.0;7309;1293.0;2681.0;641.0;1206.0;34.0;
Almelo-G0141;0;;4447.0;7562;2024.0;4201.0;754.0;1114.0;89.0;
Almkerk-G0740;0;;13.0;205;1304.0;3.0;482.0;23.0;17.0;
Alphen aan den Rijn-G0484;0;;2009.0;1892;2530.0;228.0;2544.0;437.0;333.0;
Alphen en Riel-G0741;0;;1396.0;39;12.0;1.0;2.0;1.0;;
Ambt Delden-G0142;0;;1389.0;383;89.0;30.0;174.0;67.0;3.0;
Amby-G0883;0;;917.0;173;9.0;12.0;;8.0;2.0;
Ameide-G0485;0;;1.0;383;482.0;;13.0;63.0;42.0;
Ameland-G0060;0;;321.0;577;118.0;32.0;181.0;37.0;6.0;
Amerongen-G0306;0;;25.0;499;342.0;21.0;472.0;77.0;271.0;
Amersfoort-G0307;0;;6489.0;8792;3730.0;3636.0;2468.0;1843.0;378.0;
Ammerstol-G0486;0;;2.0;371;18.0;148.0;6.0;46.0;20.0;
Ammerzoden-G0198;0;;942.0;88;101.0;2.0;199.0;9.0;49.0;
Amstenrade-G0884;0;;804.0;171;23.0;65.0;;8.0;2.0;
Amsterdam-G0363;0;;74315.0;140485;36570.0;129189.0;12963.0;27755.0;796.0;
Andel-G0742;0;;2.0;52;220.0;;277.0;;22.0;
Andijk-G0364;0;;301.0;563;926.0;374.0;26.0;22.0;38.0;
Angerlo-G0199;0;;819.0;168;69.0;6.0;338.0;51.0;8.0;
Ankeveen-G1014;0;;164.0;72;31.0;45.0;57.0;14.0;1.0;
Anloo-G0105;0;;26.0;1655;115.0;278.0;79.0;694.0;7.0;
Anna Paulowna-G0366;0;;986.0;1255;300.0;611.0;147.0;157.0;16.0;
