RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overig;Lijst Welter;@abs
Aagtekerke-G1000;0;;10.0;40;51.0;91.0;10.0;27.0;230.0;2.0;;
Aalsmeer-G0358;0;;1161.0;1722;1037.0;977.0;774.0;304.0;79.0;138.0;17.0;500.0
Aalten-G0197;0;;1067.0;1109;2627.0;1448.0;397.0;35.0;16.0;24.0;35.0;481.0
Aardenburg-G0648;0;;1147.0;302;146.0;46.0;157.0;55.0;25.0;43.0;21.0;32.0
Aarle-Rixtel-G0739;0;;1319.0;68;10.0;16.0;14.0;5.0;;4.0;18.0;98.0
Abbekerk-G0359;0;;161.0;184;27.0;15.0;49.0;21.0;;12.0;;49.0
Abbenbroek-G0481;0;;4.0;159;33.0;18.0;138.0;42.0;3.0;5.0;;35.0
Abcoude-G0305;0;;654.0;190;301.0;478.0;55.0;25.0;52.0;20.0;23.0;81.0
Achtkarspelen-G0059;0;;33.0;2200;3754.0;1402.0;354.0;466.0;85.0;42.0;2.0;811.0
Achttienhoven-G1005;0;;75.0;42;103.0;114.0;13.0;7.0;44.0;4.0;10.0;32.0
Adorp-G0001;0;;4.0;216;418.0;59.0;105.0;5.0;;15.0;2.0;54.0
Aduard-G0002;0;;10.0;304;497.0;84.0;200.0;21.0;1.0;26.0;;79.0
Akersloot-G0360;0;;741.0;202;26.0;12.0;89.0;67.0;1.0;1.0;7.0;43.0
Alblasserdam-G0482;0;;36.0;1257;534.0;986.0;328.0;72.0;744.0;17.0;10.0;309.0
Alem, Maren en Kessel-G1007;0;;622.0;8;5.0;3.0;1.0;;2.0;;3.0;29.0
Alkemade-G0483;0;;2752.0;65;290.0;151.0;44.0;7.0;4.0;11.0;19.0;89.0
Alkmaar-G0361;0;;6864.0;6808;1457.0;928.0;1890.0;2062.0;46.0;215.0;296.0;1740.0
Almelo-G0141;0;;4980.0;7310;2146.0;1367.0;2204.0;3273.0;131.0;138.0;70.0;1123.0
Almkerk-G0740;0;;15.0;211;1349.0;545.0;19.0;5.0;28.0;2.0;1.0;21.0
Alphen aan den Rijn-G0484;0;;2068.0;1731;2417.0;2834.0;506.0;131.0;426.0;46.0;37.0;716.0
Alphen en Riel-G0741;0;;1462.0;34;7.0;3.0;3.0;2.0;;;12.0;48.0
Ambt Delden-G0142;0;;1535.0;345;67.0;234.0;119.0;32.0;3.0;6.0;4.0;70.0
Amby-G0883;0;;971.0;117;10.0;4.0;10.0;9.0;1.0;12.0;58.0;117.0
Ameide-G0485;0;;4.0;362;458.0;42.0;84.0;;47.0;5.0;;65.0
Ameland-G0060;0;;395.0;717;220.0;264.0;167.0;58.0;3.0;46.0;5.0;
Amerongen-G0306;0;;29.0;527;384.0;489.0;105.0;23.0;293.0;54.0;1.0;84.0
Amersfoort-G0307;0;;6724.0;8371;4140.0;3261.0;2449.0;2014.0;454.0;680.0;408.0;3576.0
Ammerstol-G0486;0;;;352;20.0;11.0;68.0;133.0;19.0;11.0;1.0;70.0
Ammerzoden-G0198;0;;982.0;80;121.0;183.0;12.0;4.0;65.0;1.0;10.0;91.0
Amstenrade-G0884;0;;891.0;109;26.0;18.0;12.0;46.0;;8.0;48.0;133.0
Amsterdam-G0363;0;;77618.0;130620;42768.0;16545.0;40027.0;111528.0;941.0;9731.0;3825.0;69573.0
Andel-G0742;0;;2.0;81;220.0;289.0;6.0;6.0;53.0;;;13.0
Andijk-G0364;0;;329.0;509;886.0;44.0;67.0;360.0;45.0;7.0;8.0;119.0
Angerlo-G0199;0;;826.0;124;88.0;321.0;74.0;9.0;6.0;2.0;1.0;110.0
Ankeveen-G1014;0;;184.0;47;35.0;89.0;11.0;36.0;7.0;2.0;;31.0
Anloo-G0105;0;;32.0;1568;153.0;77.0;659.0;198.0;15.0;107.0;10.0;523.0
Anna Paulowna-G0366;0;;1039.0;1023;302.0;143.0;278.0;472.0;11.0;55.0;34.0;297.0
Apeldoorn-G0200;0;;5487.0;13579;6977.0;9622.0;5241.0;1842.0;983.0;679.0;305.0;3213.0
Appeltern-G0201;0;;1487.0;51;6.0;147.0;4.0;3.0;1.0;4.0;13.0;106.0
Appingedam-G0003;0;;83.0;1103;856.0;830.0;548.0;571.0;2.0;99.0;4.0;397.0
Arcen en Velden-G0885;0;;1866.0;33;11.0;9.0;13.0;17.0;;9.0;75.0;99.0
Arkel-G0487;0;;27.0;366;108.0;24.0;201.0;16.0;20.0;6.0;;60.0
Arnemuiden-G0649;0;;19.0;259;303.0;300.0;17.0;8.0;474.0;17.0;;114.0
