RegioNaam;@invalid;@blank;PvdA;KVP;ARP;CHU;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;SGP;Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond;@abs
Aagtekerke-G1000;0;;30.0;8.0;48.0;96.0;17.0;1.0;5.0;211.0;;1.0;1.0;;;14.0
Aalsmeer-G0358;0;;2004.0;1264.0;1051.0;1014.0;870.0;230.0;63.0;95.0;25.0;16.0;30.0;34.0;10.0;477.0
Aalten-G0197;0;;1254.0;1190.0;2732.0;1573.0;380.0;23.0;64.0;14.0;18.0;2.0;4.0;2.0;;369.0
Aardenburg-G0648;0;;338.0;1156.0;130.0;58.0;160.0;7.0;36.0;8.0;3.0;22.0;8.0;;;150.0
Aarle-Rixtel-G0739;0;;78.0;1331.0;9.0;26.0;12.0;7.0;47.0;;;1.0;2.0;;;103.0
Abbekerk-G0359;0;;183.0;179.0;13.0;6.0;56.0;14.0;;;1.0;9.0;1.0;1.0;;32.0
Abbenbroek-G0481;0;;190.0;;36.0;17.0;127.0;20.0;2.0;4.0;;1.0;;;;50.0
Abcoude-G0305;0;;263.0;631.0;306.0;447.0;127.0;21.0;91.0;73.0;2.0;5.0;9.0;1.0;1.0;107.0
Achtkarspelen-G0059;0;;2544.0;38.0;3606.0;1337.0;401.0;415.0;6.0;99.0;329.0;48.0;6.0;14.0;3.0;627.0
Achttienhoven-G1005;0;;55.0;85.0;126.0;111.0;18.0;4.0;8.0;50.0;2.0;6.0;1.0;;;27.0
Adorp-G0001;0;;254.0;;343.0;66.0;81.0;4.0;;;63.0;3.0;2.0;;7.0;37.0
Aduard-G0002;0;;386.0;6.0;426.0;64.0;196.0;19.0;;;95.0;21.0;4.0;1.0;4.0;57.0
Akersloot-G0360;0;;182.0;832.0;22.0;14.0;111.0;54.0;6.0;2.0;;3.0;3.0;;;37.0
