RegioNaam;@invalid;@blank;PvdA;KVP;ARP;VVD;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie;@abs
Aagtekerke-G1000;5;;28;11.0;46.0;12.0;121.0;1.0;197.0;1.0;;;10.0
Aalsmeer-G0358;125;;2498;1428.0;1002.0;888.0;1070.0;168.0;90.0;31.0;17.0;19.0;290.0
Aalten-G0197;145;;1449;1292.0;2799.0;354.0;1605.0;4.0;21.0;13.0;3.0;13.0;179.0
Aardenburg-G0648;89;;430;1189.0;118.0;143.0;62.0;2.0;7.0;;2.0;4.0;62.0
Aarle-Rixtel-G0739;33;;115;1473.0;18.0;7.0;23.0;;;1.0;;2.0;48.0
Abbekerk-G0359;4;;195;194.0;18.0;59.0;13.0;9.0;;;1.0;1.0;27.0
Abbenbroek-G0481;15;;218;3.0;33.0;122.0;12.0;23.0;3.0;;1.0;2.0;30.0
Abcoude-G0305;26;;345;793.0;308.0;165.0;448.0;13.0;67.0;;10.0;11.0;85.0
Achtkarspelen-G0059;129;;3019;43.0;3676.0;385.0;1348.0;344.0;80.0;283.0;6.0;20.0;362.0
Adorp-G0001;13;;257;1.0;328.0;118.0;51.0;;2.0;53.0;2.0;10.0;13.0
Aduard-G0002;12;;397;9.0;404.0;231.0;68.0;23.0;1.0;104.0;;3.0;30.0
Akersloot-G0360;8;;215;872.0;20.0;116.0;17.0;30.0;2.0;;2.0;1.0;32.0
Alblasserdam-G0482;97;;2379;158.0;612.0;559.0;1126.0;92.0;819.0;42.0;18.0;21.0;271.0
Alem, Maren en Kessel-G1007;7;;8;725.0;1.0;;4.0;;;;;;66.0
Alkemade-G0483;28;;108;3218.0;286.0;45.0;134.0;4.0;7.0;;12.0;;27.0
Alkmaar-G0361;321;;9018;7875.0;1269.0;2289.0;965.0;1224.0;41.0;38.0;80.0;36.0;878.0
Almelo-G0141;533;;11354;6195.0;2188.0;2376.0;1510.0;1871.0;146.0;96.0;127.0;30.0;790.0
Almkerk-G0740;14;;310;7.0;1412.0;33.0;530.0;1.0;46.0;84.0;2.0;;96.0
Alphen aan den Rijn-G0484;120;;2696;2418.0;2343.0;637.0;2826.0;119.0;532.0;32.0;39.0;18.0;390.0
Alphen en Riel-G0741;13;;39;1654.0;3.0;6.0;2.0;;;;1.0;3.0;
Ambt Delden-G0142;19;;389;1689.0;36.0;143.0;222.0;9.0;4.0;;;7.0;76.0
Amby-G0883;30;;229;1155.0;6.0;13.0;1.0;2.0;;;3.0;1.0;29.0
Ameide-G0485;17;;408;3.0;402.0;61.0;87.0;;75.0;;1.0;1.0;34.0
Ameland-G0060;11;;608;373.0;186.0;121.0;251.0;14.0;3.0;13.0;2.0;4.0;
Amerongen-G0306;50;;747;72.0;299.0;126.0;606.0;18.0;298.0;6.0;17.0;8.0;72.0
Amersfoort-G0307;705;;12602;8191.0;3343.0;3923.0;3729.0;1246.0;580.0;655.0;203.0;121.0;1964.0
Ammerstol-G0486;14;;479;1.0;11.0;61.0;10.0;94.0;18.0;;;;17.0
Ammerzoden-G0198;15;;129;1171.0;95.0;9.0;191.0;1.0;59.0;;;1.0;29.0
Amstenrade-G0884;46;;315;1122.0;34.0;6.0;13.0;11.0;2.0;2.0;1.0;5.0;33.0
Amsterdam-G0363;14565;;197577;83936.0;33384.0;56884.0;18460.0;92776.0;1376.0;1328.0;3745.0;2523.0;35328.0
Andel-G0742;10;;95;2.0;215.0;7.0;257.0;1.0;84.0;1.0;;;55.0
Andijk-G0364;22;;658;405.0;812.0;86.0;28.0;150.0;43.0;6.0;;13.0;88.0
Angerlo-G0199;21;;243;1001.0;48.0;63.0;314.0;1.0;5.0;;3.0;2.0;44.0
Ankeveen-G1014;9;;113;222.0;31.0;11.0;73.0;22.0;4.0;2.0;;1.0;11.0
Anloo-G0105;139;;2078;17.0;78.0;715.0;75.0;81.0;1.0;11.0;9.0;33.0;191.0
Anna Paulowna-G0366;37;;1346;1281.0;253.0;374.0;144.0;169.0;15.0;24.0;9.0;2.0;100.0
Apeldoorn-G0200;1254;;19532;6867.0;5899.0;6013.0;10306.0;1277.0;1243.0;138.0;252.0;207.0;2433.0
Appeltern-G0201;11;;66;1637.0;7.0;8.0;137.0;1.0;1.0;;;;97.0
Appingedam-G0003;130;;2183;129.0;936.0;514.0;820.0;318.0;6.0;40.0;10.0;30.0;261.0
Arcen en Velden-G0885;19;;134;2257.0;14.0;29.0;6.0;2.0;;;9.0;5.0;
Arkel-G0487;19;;498;22.0;116.0;196.0;58.0;4.0;35.0;1.0;9.0;1.0;50.0
Arnemuiden-G0649;14;;398;7.0;242.0;27.0;235.0;4.0;517.0;2.0;2.0;2.0;78.0
Arnhem-G0202;1324;;26686;19195.0;4481.0;6497.0;4839.0;1965.0;284.0;127.0;382.0;312.0;2759.0
Asperen-G0488;11;;269;9.0;238.0;97.0;162.0;3.0;170.0;6.0;;2.0;38.0
Assen-G0106;375;;6824;591.0;1996.0;1897.0;1154.0;456.0;19.0;519.0;131.0;59.0;1172.0
Assendelft-G0367;56;;1194;1570.0;111.0;201.0;40.0;593.0;42.0;26.0;2.0;10.0;104.0
Asten-G0743;29;;115;3846.0;5.0;21.0;32.0;6.0;;;2.0;1.0;69.0
Avenhorn-G0368;5;;295;431.0;6.0;80.0;14.0;9.0;;;;4.0;11.0
Avereest-G0143;76;;1594;619.0;1285.0;504.0;1860.0;15.0;41.0;31.0;3.0;11.0;467.0
Axel-G0650;75;;1047;833.0;738.0;245.0;726.0;10.0;200.0;411.0;9.0;21.0;169.0
Baarderadeel-G0061;25;;1458;124.0;418.0;523.0;299.0;24.0;8.0;;6.0;26.0;143.0
Baarland-G0651;10;;103;110.0;83.0;24.0;101.0;6.0;35.0;;1.0;2.0;7.0
Baarle-Nassau-G0744;16;;49;1848.0;9.0;6.0;8.0;4.0;2.0;;;2.0;47.0
Baarn-G0308;238;;3607;1899.0;1894.0;1622.0;964.0;180.0;285.0;81.0;101.0;38.0;571.0
Baexem-G0886;4;;5;695.0;1.0;;;;;;;1.0;
Baflo-G0004;18;;596;9.0;734.0;212.0;62.0;16.0;3.0;36.0;3.0;7.0;49.0
Bakel en Milheeze-G0745;21;;73;2306.0;6.0;10.0;9.0;2.0;;;1.0;1.0;
Barendrecht-G0489;48;;1041;69.0;1469.0;459.0;605.0;18.0;328.0;41.0;7.0;8.0;184.0
Barneveld-G0203;130;;2008;685.0;2156.0;457.0;3488.0;60.0;1970.0;72.0;20.0;73.0;279.0
Barradeel-G0062;37;;1305;31.0;1212.0;267.0;1189.0;33.0;8.0;35.0;2.0;18.0;113.0
Barsingerhorn-G0369;22;;618;64.0;48.0;192.0;28.0;120.0;5.0;3.0;2.0;1.0;62.0
Barwoutswaarder-G1017;5;;65;85.0;104.0;7.0;145.0;3.0;40.0;;;2.0;9.0
Batenburg-G0204;6;;7;244.0;7.0;6.0;32.0;;;;2.0;2.0;9.0
Bathmen-G0144;22;;485;25.0;20.0;466.0;294.0;7.0;1.0;1.0;3.0;8.0;45.0
Bedum-G0005;31;;1074;173.0;1744.0;373.0;134.0;18.0;10.0;437.0;4.0;12.0;115.0
Beegden-G0887;4;;12;563.0;2.0;;;;;;;;10.0
Beek-G0888;119;;584;3928.0;16.0;32.0;17.0;11.0;;5.0;13.0;11.0;59.0
Beek en Donk-G0746;26;;96;2148.0;5.0;13.0;6.0;3.0;2.0;;;2.0;41.0
Beemster-G0370;41;;1420;1002.0;150.0;617.0;95.0;147.0;10.0;;3.0;5.0;85.0
Beers-G0747;6;;6;1074.0;;;;;;;;1.0;16.0
Beerta-G0006;71;;898;13.0;45.0;275.0;78.0;828.0;4.0;2.0;4.0;3.0;114.0
Beesd-G0205;27;;414;702.0;69.0;58.0;293.0;9.0;82.0;7.0;;1.0;45.0
Beesel-G0889;37;;187;3252.0;9.0;10.0;3.0;5.0;;;;9.0;28.0
