RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Bruggroep;Partij voor Landbouw en Middenstand;Positief Christelijk Nationale Unie;@abs
Aagtekerke-G1000;5;;3.0;15;19.0;41.0;102.0;;194.0;;2.0;5.0;;;;24.0
Aalsmeer-G0358;110;;1559.0;2224;1351.0;1083.0;1087.0;74.0;76.0;350.0;23.0;53.0;18.0;;;304.0
Aalten-G0197;178;;1325.0;1486;478.0;2860.0;1576.0;1.0;17.0;13.0;22.0;31.0;3.0;;;226.0
Aardenburg-G0648;82;;1220.0;350;182.0;99.0;50.0;1.0;5.0;5.0;;23.0;;;;96.0
Aarle-Rixtel-G0739;36;;1437.0;177;32.0;19.0;19.0;3.0;2.0;;;;;16.0;;39.0
Abbekerk-G0359;2;;205.0;153;103.0;18.0;12.0;6.0;;12.0;;;2.0;;;30.0
Abbenbroek-G0481;8;;4.0;211;129.0;40.0;19.0;3.0;7.0;13.0;;14.0;5.0;;;30.0
Abcoude-G0305;25;;810.0;289;300.0;280.0;453.0;10.0;64.0;31.0;2.0;34.0;2.0;;;77.0
Achtkarspelen-G0059;117;;38.0;3105;507.0;3751.0;1435.0;221.0;72.0;45.0;315.0;;31.0;;;398.0
Adorp-G0001;10;;1.0;222;138.0;336.0;57.0;1.0;1.0;5.0;65.0;8.0;1.0;;;19.0
Aduard-G0002;16;;7.0;385;251.0;387.0;66.0;10.0;1.0;13.0;110.0;4.0;1.0;;;24.0
Akersloot-G0360;17;;930.0;188;144.0;18.0;18.0;12.0;2.0;22.0;;;6.0;;;29.0
Alblasserdam-G0482;126;;265.0;2839;660.0;696.0;1221.0;45.0;847.0;48.0;55.0;21.0;25.0;;;344.0
Alkemade-G0483;41;;3275.0;120;86.0;288.0;127.0;7.0;9.0;7.0;2.0;20.0;;;;78.0
Alkmaar-G0361;452;;8169.0;8307;3145.0;1313.0;1011.0;557.0;45.0;719.0;48.0;;171.0;;;952.0
Almelo-G0141;703;;6701.0;10989;3131.0;2438.0;1679.0;1061.0;163.0;419.0;100.0;102.0;277.0;;;988.0
Almkerk-G0740;22;;18.0;304;66.0;1419.0;574.0;;66.0;2.0;81.0;;;7.0;;78.0
Alphen aan den Rijn-G0484;148;;2498.0;2750;952.0;2384.0;2848.0;107.0;582.0;71.0;26.0;33.0;8.0;;;344.0
Alphen en Riel-G0741;18;;1666.0;52;8.0;2.0;2.0;;;;;;;;;23.0
Ambt Delden-G0142;17;;1737.0;341;190.0;42.0;206.0;2.0;2.0;5.0;;33.0;3.0;;;75.0
Amby-G0883;48;;1141.0;208;61.0;6.0;3.0;;;5.0;;;;;;36.0
Ameide-G0485;12;;2.0;382;80.0;408.0;116.0;;68.0;5.0;;5.0;;;;35.0
Ameland-G0060;14;;378.0;436;171.0;109.0;193.0;2.0;1.0;14.0;1.0;;1.0;;;63.0
Amerongen-G0306;41;;93.0;697;200.0;296.0;620.0;3.0;283.0;15.0;4.0;48.0;3.0;;1.0;189.0
Amersfoort-G0307;751;;8681.0;12484;5701.0;3549.0;3809.0;428.0;522.0;672.0;697.0;224.0;281.0;;34.0;1908.0
Ammerstol-G0486;17;;2.0;437;73.0;18.0;10.0;82.0;18.0;34.0;;2.0;;;;25.0
Ammerzoden-G0198;15;;1162.0;146;18.0;93.0;175.0;;57.0;;;4.0;1.0;;;58.0
Amstenrade-G0884;57;;1206.0;296;43.0;36.0;23.0;2.0;;7.0;3.0;;3.0;;;37.0
Amsterdam-G0363;17758;;85741.0;183544;88021.0;29959.0;18798.0;51122.0;1396.0;28532.0;1073.0;6022.0;14915.0;;1113.0;28781.0
Andel-G0742;9;;2.0;100;22.0;226.0;239.0;2.0;81.0;;1.0;;;1.0;;57.0
Andijk-G0364;22;;416.0;573;134.0;798.0;40.0;81.0;42.0;93.0;12.0;;12.0;;;72.0
Angerlo-G0199;13;;991.0;275;72.0;56.0;325.0;1.0;5.0;3.0;;18.0;;;;27.0
Ankeveen-G1014;10;;219.0;123;48.0;31.0;79.0;16.0;3.0;11.0;;3.0;4.0;;;17.0
Anloo-G0105;133;;24.0;1897;1058.0;92.0;72.0;31.0;5.0;15.0;10.0;54.0;20.0;;;184.0
Anna Paulowna-G0366;49;;1346.0;1239;495.0;245.0;148.0;118.0;18.0;60.0;31.0;;13.0;;;132.0
Apeldoorn-G0200;1303;;7456.0;18894;8465.0;5826.0;9954.0;500.0;1209.0;638.0;200.0;824.0;165.0;;;2916.0
Appeltern-G0201;26;;1588.0;56;12.0;29.0;137.0;2.0;3.0;1.0;;5.0;3.0;;;39.0
Appingedam-G0003;153;;139.0;2372;638.0;923.0;801.0;186.0;6.0;58.0;51.0;25.0;19.0;;;263.0
Arcen en Velden-G0885;42;;2403.0;116;33.0;14.0;2.0;2.0;;1.0;5.0;;;;;141.0
Arkel-G0487;19;;39.0;648;233.0;128.0;65.0;;42.0;9.0;;5.0;;;;45.0
Arnemuiden-G0649;34;;5.0;359;41.0;255.0;239.0;3.0;505.0;;4.0;4.0;;;;101.0
Arnhem-G0202;1541;;19721.0;26187;9868.0;4529.0;4611.0;948.0;263.0;865.0;169.0;318.0;194.0;;;2751.0
Asperen-G0488;10;;10.0;255;113.0;251.0;166.0;;148.0;5.0;4.0;3.0;;;;43.0
Assen-G0106;351;;641.0;7220;2609.0;2103.0;1194.0;248.0;25.0;123.0;540.0;50.0;47.0;;;1032.0
Assendelft-G0367;55;;1564.0;1183;302.0;113.0;52.0;394.0;43.0;176.0;27.0;;35.0;;;107.0
Asten-G0743;49;;3986.0;145;41.0;12.0;33.0;1.0;3.0;1.0;3.0;;;3.0;;94.0
Avenhorn-G0368;7;;444.0;222;116.0;7.0;13.0;8.0;;12.0;;;1.0;;;20.0
Avereest-G0143;75;;628.0;1455;662.0;1255.0;1853.0;4.0;37.0;13.0;32.0;43.0;7.0;;;460.0
Axel-G0650;79;;881.0;937;401.0;733.0;670.0;6.0;170.0;9.0;447.0;23.0;;;;154.0
Baarderadeel-G0061;27;;113.0;1386;600.0;379.0;303.0;9.0;8.0;48.0;4.0;;1.0;;;103.0
Baarland-G0651;7;;103.0;86;34.0;78.0;88.0;5.0;33.0;;;12.0;;;;22.0
Baarle-Nassau-G0744;20;;1927.0;91;20.0;9.0;7.0;2.0;4.0;4.0;2.0;;;;;36.0
Baarn-G0308;302;;2130.0;3364;2355.0;1907.0;990.0;74.0;238.0;227.0;88.0;142.0;39.0;;10.0;673.0
Baexem-G0886;8;;717.0;10;;;;;;;;;;;;
Baflo-G0004;20;;11.0;556;231.0;739.0;80.0;4.0;;11.0;53.0;3.0;4.0;;;38.0
Bakel en Milheeze-G0745;37;;2397.0;101;23.0;16.0;5.0;2.0;;2.0;1.0;;;18.0;;
