RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Partij Economisch Appel;Liberale Staatspartij;"Liberale Unie ""Veilig Verkeer""";Nieuw-Democratische Partij;CNVP;Lijst Grol;Volksreferendum;@abs
Aagtekerke-G1000;5;;4.0;15;12.0;35.0;118.0;2.0;2.0;192.0;13;;;;;;1.0;;;26.0
Aalsmeer-G0358;119;;1693.0;2275;1231.0;1138.0;1199.0;389.0;85.0;96.0;181;31.0;44.0;43.0;16.0;7.0;;1.0;;358.0
Aalten-G0197;215;;1374.0;1455;439.0;2960.0;1714.0;42.0;14.0;41.0;177;22.0;21.0;8.0;4.0;10.0;2.0;;;160.0
Aardenburg-G0648;96;;1115.0;289;171.0;99.0;65.0;7.0;3.0;2.0;95;2.0;10.0;7.0;;4.0;3.0;;;79.0
Aarle-Rixtel-G0739;43;;1484.0;145;40.0;13.0;22.0;3.0;7.0;7.0;41;2.0;7.0;3.0;6.0;1.0;;;;67.0
Abbekerk-G0359;8;;196.0;160;61.0;15.0;16.0;30.0;6.0;;31;;;2.0;1.0;;;;;19.0
Abbenbroek-G0481;14;;4.0;200;98.0;36.0;40.0;15.0;6.0;7.0;47;;3.0;;;2.0;1.0;;;24.0
Abcoude-G0305;48;;855.0;434;400.0;342.0;568.0;75.0;29.0;66.0;57;5.0;19.0;13.0;11.0;5.0;1.0;;;125.0
Achtkarspelen-G0059;191;;41.0;2984;407.0;3882.0;1434.0;163.0;184.0;105.0;218;344.0;17.0;13.0;2.0;13.0;;;;448.0
Adorp-G0001;12;;3.0;204;99.0;331.0;57.0;5.0;9.0;2.0;46;71.0;3.0;5.0;2.0;1.0;;;;16.0
Aduard-G0002;26;;9.0;371;210.0;363.0;77.0;19.0;7.0;2.0;37;122.0;5.0;;;2.0;;;;31.0
Akersloot-G0360;25;;950.0;180;111.0;10.0;15.0;43.0;18.0;;67;;4.0;2.0;8.0;2.0;;;;28.0
Alblasserdam-G0482;151;;294.0;2950;586.0;678.0;1304.0;158.0;90.0;937.0;66;57.0;22.0;26.0;1.0;14.0;7.0;;;364.0
Alkemade-G0483;54;;3495.0;112;141.0;270.0;129.0;20.0;7.0;10.0;97;2.0;8.0;4.0;5.0;6.0;1.0;;;98.0
Alkmaar-G0361;446;;8759.0;7745;3077.0;1248.0;1187.0;1155.0;792.0;56.0;324;54.0;157.0;83.0;81.0;44.0;;;;1144.0
Almelo-G0141;742;;7326.0;10858;2813.0;2413.0;1926.0;981.0;1235.0;190.0;427;101.0;131.0;52.0;66.0;64.0;;;;1223.0
Almkerk-G0740;32;;11.0;275;38.0;1413.0;601.0;4.0;6.0;81.0;42;84.0;3.0;4.0;1.0;1.0;;;;79.0
Alphen aan den Rijn-G0484;193;;2945.0;3058;1071.0;2599.0;3120.0;219.0;94.0;621.0;219;36.0;39.0;17.0;19.0;18.0;10.0;;;470.0
Alphen en Riel-G0741;25;;1745.0;37;7.0;1.0;;5.0;1.0;;44;;4.0;;1.0;1.0;;;;30.0
Ambt Delden-G0142;31;;1725.0;279;169.0;30.0;197.0;6.0;1.0;;253;5.0;1.0;1.0;2.0;1.0;;;;66.0
Amby-G0883;63;;1187.0;196;36.0;6.0;7.0;10.0;6.0;2.0;35;1.0;9.0;2.0;3.0;3.0;;;;44.0
Ameide-G0485;15;;2.0;363;60.0;371.0;135.0;3.0;;82.0;29;;1.0;2.0;;;;;;48.0
Ameland-G0060;8;;416.0;438;156.0;133.0;209.0;52.0;6.0;4.0;40;5.0;;;1.0;1.0;;;;
Amerongen-G0306;45;;127.0;782;257.0;274.0;783.0;38.0;11.0;284.0;75;11.0;8.0;2.0;4.0;4.0;4.0;;;78.0
Amersfoort-G0307;965;;9264.0;11735;4639.0;3255.0;4339.0;1199.0;653.0;598.0;487;777.0;242.0;185.0;94.0;86.0;20.0;;;2294.0
Ammerstol-G0486;17;;6.0;450;66.0;17.0;13.0;37.0;77.0;16.0;7;;;;2.0;;;;;33.0
Ammerzoden-G0198;23;;1169.0;147;13.0;78.0;195.0;1.0;1.0;67.0;30;1.0;3.0;;;2.0;1.0;;;42.0
Amstenrade-G0884;74;;1217.0;269;25.0;31.0;23.0;2.0;15.0;;50;2.0;16.0;3.0;3.0;1.0;;;;49.0
Amsterdam-G0363;15026;;87355.0;167734;64294.0;27125.0;20533.0;40897.0;61028.0;1770.0;9310;1065.0;3873.0;2929.0;7067.0;2262.0;343.0;563.0;819.0;37163.0
Andel-G0742;12;;;93;11.0;225.0;260.0;;2.0;108.0;25;1.0;;;;;;;;41.0
Andijk-G0364;27;;435.0;504;86.0;807.0;43.0;117.0;92.0;46.0;59;7.0;5.0;1.0;2.0;6.0;;;;59.0
Angerlo-G0199;15;;981.0;243;54.0;36.0;314.0;7.0;1.0;4.0;67;;3.0;2.0;2.0;2.0;1.0;;;57.0
Ankeveen-G1014;12;;244.0;135;48.0;37.0;92.0;20.0;13.0;6.0;13;;2.0;3.0;4.0;;;;;19.0
Anloo-G0105;129;;35.0;1856;944.0;71.0;79.0;45.0;58.0;5.0;235;8.0;7.0;5.0;3.0;1.0;;;;143.0
Anna Paulowna-G0366;59;;1439.0;1064;404.0;247.0;134.0;88.0;103.0;21.0;130;30.0;11.0;10.0;6.0;3.0;;;;131.0
Apeldoorn-G0200;1513;;8475.0;18994;7119.0;5770.0;10565.0;1380.0;615.0;1408.0;2370;244.0;420.0;207.0;140.0;107.0;;;;3485.0
Appeltern-G0201;27;;1591.0;63;8.0;9.0;119.0;1.0;2.0;3.0;61;;5.0;1.0;;;;;;58.0
Appingedam-G0003;185;;138.0;2227;584.0;910.0;872.0;158.0;182.0;18.0;88;62.0;17.0;15.0;4.0;7.0;;;;243.0
Arcen en Velden-G0885;36;;2523.0;94;36.0;9.0;5.0;6.0;10.0;;56;2.0;15.0;1.0;8.0;2.0;;;;56.0
