RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Boeren Partij;D66;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);SGP;Gereformeerd Politiek Verbond (GPV);Noodraad;Christen-Democratische Unie;Partij voor Ongehuwden;Landsbelangen;Liberale Volkspartij;Lijst Voogd;Lijst van Breukelen-Grein;Lijst-Machiela;Lijst-Germeaux;Partij van het Recht;CNVP;Lijst-Rodemond;@abs
Aalsmeer-G0358;143;;1759.0;2088;1559;1471.0;1178.0;394;350.0;182.0;307.0;67.0;39.0;42.0;65.0;40.0;5.0;15.0;2.0;;;;;;;258.0
Aalten-G0197;243;;1383.0;1198;504;3292.0;1828.0;418;75.0;36.0;55.0;20.0;31.0;18.0;37.0;18.0;3.0;4.0;2.0;;;;;;;452.0
Aardenburg-G0648;109;;972.0;273;212;101.0;47.0;245;36.0;5.0;17.0;3.0;4.0;16.0;7.0;12.0;5.0;4.0;1.0;;;;;;;98.0
Aarle-Rixtel-G0739;67;;1393.0;160;123;34.0;35.0;118;65.0;19.0;18.0;2.0;3.0;20.0;8.0;3.0;6.0;2.0;3.0;;;;;;;45.0
Abbekerk-G0359;10;;227.0;170;85;40.0;30.0;41;21.0;15.0;27.0;1.0;;3.0;;2.0;;1.0;;;;;;;;19.0
Abbenbroek-G0481;17;;12.0;185;123;50.0;58.0;22;18.0;15.0;13.0;6.0;;4.0;1.0;3.0;1.0;1.0;;;;;;;;29.0
Abcoude-G0305;60;;782.0;405;532;419.0;572.0;118;253.0;38.0;82.0;70.0;8.0;11.0;29.0;14.0;6.0;5.0;1.0;;1.0;;;;;123.0
Achtkarspelen-G0059;223;;50.0;3026;430;4385.0;1601.0;376;114.0;279.0;179.0;122.0;401.0;39.0;35.0;13.0;10.0;8.0;1.0;;4.0;;;;;512.0
Adorp-G0001;14;;12.0;183;102;327.0;56.0;68;7.0;5.0;12.0;;76.0;1.0;2.0;4.0;1.0;1.0;;;;;;;;28.0
Aduard-G0002;20;;14.0;392;234;396.0;81.0;74;26.0;18.0;32.0;2.0;136.0;5.0;6.0;4.0;9.0;3.0;;;;;;;;23.0
Akersloot-G0360;34;;1020.0;238;161;59.0;28.0;89;50.0;29.0;66.0;2.0;5.0;16.0;12.0;5.0;5.0;3.0;3.0;;;;;;;53.0
Alblasserdam-G0482;174;;375.0;3255;698;919.0;1510.0;147;235.0;181.0;249.0;880.0;87.0;23.0;41.0;31.0;16.0;5.0;4.0;;;;;;;431.0
Alkemade-G0483;84;;3543.0;141;220;315.0;154.0;241;181.0;23.0;43.0;11.0;4.0;30.0;43.0;17.0;6.0;5.0;2.0;2.0;;;;;;146.0
Alkmaar-G0361;611;;8093.0;7165;3493;1958.0;1329.0;776;1574.0;1319.0;1259.0;60.0;73.0;185.0;285.0;201.0;68.0;41.0;22.0;;;;;;;1276.0
Almelo-G0141;900;;7466.0;9649;2921;2895.0;2302.0;1573;1092.0;1783.0;1027.0;181.0;162.0;162.0;187.0;167.0;41.0;41.0;20.0;;;;;;;1207.0
Almkerk-G0740;34;;28.0;293;41;1443.0;650.0;47;19.0;13.0;7.0;90.0;113.0;11.0;4.0;3.0;4.0;1.0;;;;;;;;79.0
Alphen aan den Rijn-G0484;320;;2860.0;2821;1599;3042.0;3415.0;470;602.0;189.0;251.0;603.0;97.0;80.0;139.0;72.0;18.0;16.0;3.0;4.0;;;;;;641.0
Alphen en Riel-G0741;57;;1780.0;76;41;23.0;8.0;81;29.0;8.0;21.0;;2.0;19.0;9.0;11.0;6.0;;2.0;;1.0;;;;;49.0
Ambt Delden-G0142;26;;1806.0;246;161;90.0;215.0;279;24.0;8.0;19.0;;5.0;8.0;6.0;4.0;4.0;1.0;1.0;;;;;;;96.0
Amby-G0883;115;;1058.0;239;112;28.0;8.0;90;70.0;19.0;39.0;1.0;2.0;13.0;12.0;17.0;6.0;4.0;2.0;;;25.0;;;;70.0
Ameide-G0485;14;;17.0;377;75;429.0;151.0;46;22.0;2.0;7.0;93.0;;1.0;1.0;;3.0;;;;;;;;;48.0
Ameland-G0060;14;;474.0;391;154;181.0;199.0;48;19.0;11.0;34.0;4.0;5.0;9.0;4.0;11.0;3.0;;1.0;;2.0;;;;;81.0
Amerongen-G0306;73;;102.0;759;300;357.0;782.0;134;81.0;24.0;47.0;308.0;12.0;17.0;11.0;6.0;7.0;2.0;1.0;;1.0;;;;;147.0
Amersfoort-G0307;1311;;8441.0;10901;5694;4147.0;4410.0;1338;1972.0;1066.0;1187.0;602.0;1014.0;223.0;387.0;256.0;86.0;84.0;33.0;;36.0;;;;;1944.0
Ammerstol-G0486;13;;12.0;476;65;19.0;22.0;6;12.0;83.0;20.0;16.0;1.0;1.0;;3.0;1.0;;;;;;;;;31.0
Ammerzoden-G0198;35;;1208.0;162;40;125.0;175.0;25;31.0;3.0;4.0;66.0;2.0;8.0;5.0;7.0;1.0;;;;;;;;;75.0
Amstelveen-G0362;513;;6148.0;5716;7634;4051.0;2426.0;876;3508.0;579.0;1090.0;135.0;173.0;107.0;350.0;203.0;57.0;78.0;19.0;;;;;;;1725.0
Amstenrade-G0884;82;;1143.0;259;114;48.0;18.0;84;59.0;26.0;26.0;3.0;4.0;14.0;2.0;4.0;3.0;4.0;1.0;20.0;;;;;;73.0
Amsterdam-G0363;13912;;66633.0;142481;59481;34860.0;19755.0;23808;43316.0;76268.0;33136.0;1257.0;1702.0;3063.0;3663.0;6633.0;1363.0;1183.0;412.0;;;;;475.0;916.0;39631.0
Andel-G0742;8;;2.0;95;10;308.0;274.0;23;10.0;4.0;4.0;122.0;2.0;2.0;2.0;;6.0;;1.0;;;;;;;43.0
Andijk-G0364;38;;423.0;436;79;792.0;57.0;227;42.0;151.0;92.0;48.0;16.0;4.0;25.0;10.0;;;1.0;;;;;;;76.0
Angerlo-G0199;27;;954.0;233;53;99.0;295.0;113;26.0;5.0;7.0;3.0;1.0;23.0;15.0;5.0;2.0;1.0;1.0;;;;;;;58.0
Anloo-G0105;144;;45.0;1613;830;171.0;107.0;415;50.0;78.0;64.0;3.0;18.0;15.0;8.0;10.0;20.0;3.0;;;;;;;;143.0
Anna Paulowna-G0366;52;;1429.0;928;563;325.0;155.0;122;85.0;113.0;79.0;18.0;36.0;20.0;14.0;16.0;8.0;4.0;1.0;;;;;;;156.0
Apeldoorn-G0200;1604;;8301.0;17066;7864;7343.0;10811.0;5241;2125.0;1013.0;1421.0;1440.0;378.0;353.0;552.0;278.0;106.0;95.0;49.0;;;;;;;3932.0
Appeltern-G0201;44;;1609.0;44;25;35.0;120.0;128;18.0;7.0;12.0;2.0;;12.0;1.0;6.0;4.0;1.0;;;;;;;;77.0
Appingedam-G0003;186;;110.0;2085;564;979.0;855.0;157;107.0;307.0;189.0;8.0;63.0;28.0;26.0;35.0;15.0;3.0;;;;;;;;297.0
Arcen en Velden-G0885;85;;2534.0;132;145;30.0;15.0;140;45.0;14.0;26.0;;;20.0;4.0;17.0;7.0;4.0;;;;1.0;;;;74.0
Arkel-G0487;28;;45.0;734;261;189.0;96.0;25;28.0;12.0;16.0;32.0;3.0;3.0;6.0;3.0;3.0;3.0;;;;;;;;28.0
Arnemuiden-G0649;46;;23.0;305;47;256.0;289.0;35;11.0;6.0;19.0;520.0;17.0;8.0;5.0;6.0;3.0;;1.0;;;;;;;123.0
Arnhem-G0202;2137;;19481.0;24407;9377;5795.0;5441.0;3022;3948.0;1568.0;1692.0;270.0;393.0;462.0;590.0;549.0;113.0;151.0;47.0;;;;;;;2782.0
Asperen-G0488;19;;18.0;286;130;276.0;181.0;14;20.0;7.0;21.0;150.0;11.0;7.0;6.0;1.0;;;;;;;;;;65.0
