RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Aalsmeer-G0358;49;;1961;1555.0;1358;1326;738;942.0;732;193.0;102.0;117.0;144.0;208.0;147.0;79.0;16.0;32.0;29.0;26.0;10.0;13.0;4.0;;3.0;8.0;1.0;2.0;;;1879
Aalten-G0197;52;;1246;1138.0;448;3077;201;1601.0;220;35.0;22.0;97.0;113.0;79.0;20.0;79.0;6.0;5.0;7.0;5.0;5.0;18.0;5.0;;4.0;;2.0;;;;1268
Aardenburg-G0648;14;;271;827.0;235;67;48;47.0;30;11.0;5.0;78.0;12.0;58.0;12.0;54.0;8.0;3.0;5.0;5.0;8.0;1.0;5.0;;;;;;;;435
Aarle-Rixtel-G0739;16;;227;1098.0;121;40;92;12.0;51;27.0;;19.0;2.0;23.0;21.0;30.0;5.0;;5.0;13.0;7.0;2.0;6.0;;1.0;;;;;;556
Abbekerk-G0359;1;;155;238.0;75;22;45;20.0;52;25.0;;7.0;5.0;23.0;16.0;11.0;4.0;;3.0;4.0;;1.0;;;;;;;;;188
Abbenbroek-G0481;5;;200;14.0;147;57;53;36.0;21;16.0;5.0;5.0;4.0;8.0;1.0;8.0;;2.0;;4.0;;1.0;;;;;;;;;124
Abcoude-G0305;14;;440;635.0;590;352;197;466.0;212;50.0;67.0;54.0;41.0;84.0;24.0;29.0;6.0;16.0;13.0;8.0;8.0;1.0;4.0;;4.0;;2.0;;;;519
Achtkarspelen-G0059;65;;2922;27.0;442;4145;190;1271.0;174;312.0;239.0;65.0;552.0;115.0;54.0;80.0;11.0;2.0;;5.0;23.0;11.0;10.0;;3.0;;;;;;2107
Adorp-G0001;7;;158;11.0;97;322;30;25.0;29;18.0;1.0;13.0;80.0;13.0;8.0;14.0;;3.0;;1.0;2.0;6.0;2.0;;;;;;;;90
Aduard-G0002;7;;335;8.0;208;364;44;60.0;40;44.0;2.0;11.0;142.0;15.0;9.0;5.0;4.0;1.0;;3.0;1.0;11.0;2.0;;;;;;;;150
Akersloot-G0360;7;;346;898.0;259;80;149;27.0;112;47.0;;76.0;15.0;35.0;41.0;24.0;11.0;;7.0;7.0;3.0;5.0;3.0;;2.0;;;;;;405
Alblasserdam-G0482;46;;3375;286.0;613;808;628;1174.0;312;168.0;939.0;68.0;170.0;65.0;77.0;32.0;12.0;45.0;1.0;17.0;9.0;3.0;6.0;8.0;;;3.0;;;;1815
Alkemade-G0483;26;;261;3004.0;277;268;168;130.0;180;29.0;15.0;84.0;7.0;140.0;41.0;50.0;13.0;13.0;48.0;8.0;17.0;3.0;9.0;;;;3.0;;;;984
Alkmaar-G0361;139;;6485;5924.0;2962;1382;2072;778.0;2073;1397.0;26.0;583.0;229.0;354.0;417.0;143.0;156.0;108.0;129.0;189.0;54.0;37.0;51.0;;11.0;;;;;;6227
Almelo-G0141;187;;9352;5969.0;2395;2266;1662;1577.0;1409;1822.0;185.0;387.0;384.0;671.0;316.0;300.0;143.0;77.0;49.0;56.0;51.0;40.0;25.0;;12.0;;;;;;6937
Almkerk-G0740;11;;295;20.0;76;1314;28;525.0;47;11.0;88.0;10.0;203.0;8.0;2.0;20.0;3.0;14.0;1.0;5.0;1.0;1.0;2.0;;;;;;;;373
Alphen aan den Rijn-G0484;70;;2910;2384.0;1672;2767;1114;2734.0;808;217.0;613.0;234.0;320.0;179.0;109.0;70.0;37.0;59.0;44.0;37.0;24.0;15.0;10.0;;6.0;;5.0;;;;3785
Alphen en Riel-G0741;15;;132;1526.0;97;35;61;14.0;27;6.0;;50.0;7.0;33.0;16.0;26.0;8.0;3.0;4.0;7.0;7.0;3.0;1.0;;2.0;;;;;;376
Ambt Delden-G0142;8;;207;1702.0;188;68;43;177.0;51;7.0;2.0;10.0;6.0;32.0;4.0;103.0;;4.0;6.0;2.0;4.0;6.0;2.0;;;;;;;;319
Ameide-G0485;5;;383;11.0;72;346;37;134.0;33;5.0;109.0;5.0;23.0;19.0;1.0;26.0;;4.0;;2.0;1.0;;;1.0;;;;;;;124
Ameland-G0060;10;;393;424.0;129;159;41;147.0;52;22.0;4.0;9.0;12.0;92.0;17.0;24.0;9.0;2.0;2.0;3.0;6.0;;2.0;;;;;;;;207
Amerongen-G0306;36;;716;74.0;317;307;103;619.0;191;30.0;323.0;9.0;71.0;41.0;18.0;43.0;16.0;13.0;;5.0;5.0;27.0;1.0;;4.0;;1.0;2.0;;;551
Amersfoort-G0307;401;;9111;6090.0;5019;3236;2486;2983.0;3366;978.0;701.0;620.0;1645.0;439.0;531.0;182.0;128.0;236.0;82.0;75.0;151.0;68.0;35.0;;24.0;;10.0;115.0;;;10287
Ammerstol-G0486;9;;446;10.0;64;20;48;21.0;30;74.0;12.0;6.0;;15.0;10.0;3.0;;1.0;;;1.0;;;;;;;;;;107
Ammerzoden-G0198;10;;188;1031.0;36;116;50;142.0;34;4.0;51.0;34.0;4.0;44.0;8.0;9.0;10.0;5.0;8.0;8.0;11.0;2.0;3.0;;;;2.0;;;;329
Amstelveen-G0362;126;;5957;5059.0;7530;3308;3709;1665.0;3677;663.0;144.0;1226.0;391.0;467.0;842.0;154.0;88.0;211.0;120.0;170.0;47.0;57.0;24.0;;10.0;23.0;14.0;17.0;;;7381
Amstenrade-G0884;29;;266;837.0;97;25;91;12.0;55;35.0;;93.0;4.0;22.0;21.0;18.0;13.0;2.0;11.0;11.0;6.0;2.0;1.0;;;;1.0;;;;434
Amsterdam-G0363;2392;;124908;39624.0;40630;18983;38341;10209.0;35759;67751.0;851.0;9910.0;2858.0;5478.0;13992.0;2326.0;2268.0;1808.0;1308.0;2979.0;1866.0;536.0;417.0;2059.0;272.0;1265.0;168.0;475.0;248.0;;136479
Andel-G0742;6;;65;2.0;23;431;7;238.0;27;2.0;126.0;1.0;15.0;11.0;1.0;1.0;2.0;2.0;;1.0;;2.0;;;;;;;;;97
Andijk-G0364;6;;399;373.0;91;719;110;42.0;61;142.0;50.0;31.0;69.0;40.0;27.0;46.0;5.0;3.0;8.0;9.0;4.0;6.0;4.0;;;;;;;;426
Angerlo-G0199;6;;329;761.0;71;71;67;235.0;69;13.0;3.0;35.0;8.0;25.0;8.0;39.0;9.0;4.0;32.0;4.0;5.0;18.0;;;1.0;;1.0;;;;353
Anloo-G0105;19;;1497;28.0;747;91;99;56.0;122;137.0;3.0;14.0;21.0;106.0;16.0;78.0;25.0;7.0;5.0;9.0;21.0;22.0;13.0;;1.0;;;;;;708
Anna Paulowna-G0366;27;;906;1179.0;581;241;134;110.0;121;105.0;19.0;36.0;52.0;87.0;37.0;37.0;3.0;;6.0;11.0;5.0;6.0;6.0;;6.0;;;;;;692
Apeldoorn-G0200;327;;16298;6679.0;7147;6058;3896;7594.0;3689;884.0;1621.0;669.0;989.0;1016.0;495.0;640.0;253.0;267.0;95.0;92.0;178.0;3364.0;91.0;;24.0;;;;;;15767
Appeltern-G0201;23;;123;1289.0;43;32;46;63.0;15;3.0;7.0;23.0;2.0;18.0;11.0;41.0;5.0;3.0;15.0;4.0;10.0;1.0;2.0;;;;;;;;505
Appingedam-G0003;49;;2116;104.0;539;1007;255;657.0;199;517.0;3.0;57.0;128.0;66.0;49.0;30.0;28.0;4.0;3.0;9.0;13.0;3.0;7.0;;5.0;;;;;;1308
Arcen en Velden-G0885;42;;183;1994.0;158;41;122;26.0;102;13.0;1.0;36.0;2.0;27.0;23.0;50.0;22.0;7.0;52.0;4.0;2.0;2.0;5.0;;2.0;;1.0;;;;760
Arkel-G0487;13;;763;36.0;232;165;83;95.0;40;11.0;35.0;5.0;9.0;15.0;4.0;8.0;5.0;23.0;;1.0;6.0;;;1.0;;;1.0;;;;215
Arnemuiden-G0649;15;;269;18.0;41;203;24;212.0;18;8.0;472.0;11.0;49.0;31.0;7.0;8.0;4.0;3.0;1.0;1.0;;2.0;3.0;;1.0;;;;;;441
Arnhem-G0202;440;;20367;12719.0;7683;3988;5350;3192.0;3912;1535.0;253.0;1136.0;756.0;1155.0;924.0;526.0;295.0;372.0;390.0;291.0;289.0;106.0;73.0;;45.0;;;;;;19093
Asperen-G0488;1;;249;22.0;160;260;77;143.0;29;15.0;162.0;9.0;19.0;7.0;11.0;12.0;2.0;2.0;;;1.0;1.0;;1.0;10.0;;;;;;209
Assen-G0106;142;;7661;633.0;2405;2670;1080;1351.0;872;640.0;59.0;233.0;1245.0;250.0;197.0;88.0;47.0;69.0;35.0;25.0;42.0;19.0;58.0;;4.0;;;;;;4277
Assendelft-G0367;20;;1018;1129.0;272;126;328;67.0;172;551.0;31.0;175.0;23.0;87.0;54.0;16.0;22.0;4.0;30.0;18.0;3.0;3.0;6.0;;1.0;;;;;;758
Asten-G0743;39;;334;3634.0;205;53;215;29.0;95;29.0;12.0;65.0;5.0;52.0;65.0;102.0;9.0;8.0;28.0;7.0;14.0;2.0;3.0;;2.0;;;;;;1205
Avenhorn-G0368;6;;240;414.0;108;26;66;16.0;53;44.0;;16.0;5.0;16.0;19.0;9.0;1.0;2.0;9.0;6.0;1.0;;8.0;;;;;;;;249
Avereest-G0143;25;;1227;551.0;600;1205;151;1533.0;196;21.0;60.0;40.0;149.0;119.0;24.0;140.0;22.0;6.0;8.0;6.0;14.0;24.0;2.0;;3.0;;;;;;1166
Axel-G0650;61;;1163;1227.0;328;591;263;475.0;109;62.0;127.0;375.0;566.0;181.0;26.0;104.0;24.0;23.0;16.0;23.0;14.0;10.0;4.0;;6.0;;;;;;1760
Baarderadeel-G0061;11;;946;99.0;400;369;106;245.0;100;22.0;4.0;18.0;34.0;92.0;35.0;23.0;7.0;;2.0;2.0;5.0;8.0;2.0;;;;;;;;429
Baarle-Nassau-G0744;15;;155;1504.0;91;35;80;12.0;42;7.0;1.0;26.0;2.0;43.0;14.0;97.0;14.0;5.0;6.0;9.0;9.0;1.0;5.0;;;;;;;;660
Baarn-G0308;109;;2428;1391.0;2255;1661;721;788.0;953;180.0;286.0;270.0;258.0;133.0;244.0;92.0;41.0;68.0;38.0;50.0;28.0;16.0;12.0;;3.0;;;7.0;;;3060
Baexem-G0886;16;;36;617.0;29;7;40;2.0;16;2.0;;7.0;;8.0;6.0;6.0;1.0;2.0;6.0;1.0;1.0;1.0;1.0;;;;;;;;135
Baflo-G0004;4;;408;6.0;214;636;33;56.0;41;42.0;2.0;20.0;83.0;21.0;13.0;6.0;2.0;3.0;;;3.0;1.0;;;;;;;;;162
