RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Aalburg-G0738;26;;1026;1943;656;123;1404.0;15.0;23.0;59.0;6.0;74.0;11.0;115.0;6.0;4.0;1.0;2.0;;;2.0;;;;;;703.0
Aalsmeer-G0358;93;;3101;4508;3441;774;113.0;105.0;146.0;76.0;94.0;68.0;125.0;122.0;51.0;7.0;14.0;;2.0;1.0;1.0;;;;;;1146.0
Aalten-G0197;46;;2200;6438;1146;218;43.0;17.0;124.0;106.0;38.0;94.0;40.0;143.0;11.0;31.0;11.0;;1.0;;1.0;;;;;;976.0
Aardenburg-G0648;15;;590;848;540;54;7.0;7.0;30.0;10.0;18.0;125.0;5.0;1.0;3.0;29.0;2.0;;;1.0;;;;;;;288.0
Aarle-Rixtel-G0739;12;;687;1468;465;144;1.0;6.0;24.0;1.0;11.0;31.0;10.0;1.0;2.0;3.0;5.0;1.0;;2.0;;;;;;;373.0
Abbekerk-G0359;6;;355;323;285;89;5.0;17.0;26.0;1.0;11.0;9.0;21.0;4.0;5.0;17.0;;;;;;;;;;;158.0
Abbenbroek-G0481;5;;302;121;214;51;13.0;4.0;7.0;8.0;4.0;8.0;10.0;6.0;7.0;1.0;;;;;;;;;;;80.0
Abcoude-G0305;30;;840;1611;1486;387;83.0;31.0;89.0;41.0;43.0;26.0;44.0;36.0;21.0;25.0;3.0;3.0;;;;;;;;;292.0
Achtkarspelen-G0059;81;;5066;7024;915;262;217.0;131.0;105.0;481.0;40.0;76.0;35.0;360.0;11.0;;1.0;;1.0;;1.0;;;;;;1372.0
Adorp-G0001;6;;271;402;168;43;2.0;2.0;51.0;111.0;12.0;20.0;8.0;9.0;7.0;;1.0;;;;1.0;;;;;;44.0
Aduard-G0002;5;;526;587;295;77;5.0;14.0;31.0;143.0;17.0;9.0;8.0;11.0;2.0;1.0;3.0;;;;1.0;;;;;;109.0
Akersloot-G0360;15;;693;1129;553;210;;26.0;63.0;4.0;24.0;24.0;22.0;4.0;3.0;15.0;4.0;;1.0;;;1.0;;;;;219.0
Alblasserdam-G0482;59;;4777;2204;1357;513;1102.0;56.0;91.0;145.0;64.0;41.0;45.0;128.0;32.0;2.0;5.0;8.0;;3.0;1.0;;;;;;1117.0
Alkemade-G0483;42;;1071;4129;1365;314;16.0;19.0;90.0;3.0;72.0;51.0;41.0;9.0;9.0;36.0;6.0;3.0;4.0;;;;;;;;730.0
Alkmaar-G0361;202;;15287;10535;7872;3009;54.0;954.0;952.0;153.0;497.0;268.0;376.0;140.0;133.0;214.0;57.0;;10.0;10.0;17.0;12.0;;;;;5485.0
Almelo-G0141;142;;15686;11484;4978;1787;185.0;741.0;467.0;251.0;167.0;322.0;171.0;219.0;93.0;127.0;138.0;;8.0;17.0;7.0;;;;;;4446.0
Alphen aan den Rijn-G0484;195;;7296;9594;6126;1653;703.0;134.0;516.0;217.0;146.0;91.0;155.0;268.0;68.0;89.0;15.0;16.0;7.0;6.0;11.0;;;;;;3629.0
Alphen en Riel-G0741;20;;572;1838;626;121;1.0;5.0;35.0;4.0;14.0;27.0;9.0;;2.0;5.0;2.0;3.0;;;;;;;;;304.0
Ambt Delden-G0142;6;;441;2387;370;71;1.0;3.0;15.0;3.0;8.0;84.0;7.0;2.0;2.0;32.0;;;1.0;2.0;;;;;;;122.0
Ameide-G0485;22;;542;690;172;53;171.0;8.0;10.0;12.0;8.0;30.0;11.0;17.0;;;;;;;1.0;;;;;;101.0
Ameland-G0060;7;;794;1183;489;157;6.0;20.0;59.0;26.0;31.0;27.0;26.0;12.0;2.0;;4.0;2.0;;;1.0;;;;;;
Amerongen-G0306;37;;1043;1145;1000;172;353.0;16.0;34.0;39.0;13.0;61.0;21.0;39.0;13.0;6.0;3.0;;;;2.0;;;;;;242.0
Amersfoort-G0307;396;;15898;15781;10716;3962;870.0;683.0;867.0;1659.0;485.0;312.0;418.0;267.0;178.0;196.0;186.0;136.0;16.0;25.0;5.0;;;;;;7479.0
Ammerstol-G0486;8;;577;59;145;74;24.0;49.0;12.0;2.0;14.0;3.0;9.0;2.0;7.0;;;;;;;;;;;;76.0
Ammerzoden-G0198;9;;537;1344;281;63;59.0;4.0;19.0;8.0;5.0;14.0;4.0;8.0;1.0;20.0;5.0;;1.0;;;;;;;;199.0
Amstelveen-G0362;278;;11359;11547;14940;4540;175.0;629.0;1118.0;149.0;765.0;207.0;626.0;182.0;215.0;100.0;87.0;;8.0;10.0;9.0;;;;;;4822.0
Amstenrade-G0884;25;;643;927;344;66;2.0;23.0;37.0;3.0;17.0;10.0;8.0;2.0;1.0;36.0;4.0;;10.0;;1.0;;;;;;258.0
