RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Aalburg-G0738;22;;1927;909;686;361;19.0;23.0;1505.0;51;243.0;50.0;16.0;21.0;9.0;1.0;14.0;6.0;5.0;3.0;2.0;;1.0;;1.0;;;;;;845.0
Aalsmeer-G0358;113;;4382;2345;3507;1411;218.0;127.0;101.0;167;293.0;37.0;80.0;54.0;14.0;4.0;18.0;;;12.0;1.0;4.0;2.0;;;8.0;0.0;;3.0;2.0;1296.0
Aalten-G0197;63;;6321;1964;1086;726;77.0;24.0;39.0;199;228.0;69.0;27.0;125.0;11.0;10.0;17.0;2.0;4.0;2.0;1.0;2.0;2.0;0.0;0.0;;;;;;1249.0
Aardenburg-G0648;12;;956;498;538;219;27.0;14.0;8.0;26;2.0;2.0;3.0;2.0;2.0;7.0;14.0;;;3.0;;1.0;;;;;;;;;300.0
Aarle-Rixtel-G0739;11;;1563;625;418;340;40.0;11.0;3.0;56;;4.0;5.0;2.0;7.0;5.0;15.0;3.0;3.0;6.0;;;;;1.0;;;;;;451.0
Abcoude-G0305;24;;1574;723;1605;561;120.0;61.0;72.0;94;53.0;32.0;40.0;37.0;9.0;13.0;5.0;14.0;59.0;6.0;;2.0;;;;;0.0;;;;356.0
Achtkarspelen-G0059;72;;6487;5415;1105;888;132.0;168.0;209.0;198;841.0;534.0;33.0;190.0;13.0;7.0;28.0;1.0;9.0;4.0;;5.0;4.0;;;;;;;;1493.0
Adorp-G0001;3;;387;274;202;90;14.0;5.0;3.0;50;31.0;110.0;1.0;20.0;2.0;;7.0;;1.0;;;;;;;;;;;;69.0
Aduard-G0002;3;;533;520;272;154;34.0;18.0;4.0;31;28.0;174.0;13.0;32.0;4.0;;4.0;2.0;1.0;;;;1.0;;;;;;;;100.0
Akersloot-G0360;24;;1186;527;630;433;48.0;46.0;1.0;72;8.0;8.0;13.0;12.0;4.0;14.0;5.0;2.0;;4.0;3.0;1.0;1.0;;1.0;;;;;;275.0
Alblasserdam-G0482;62;;1983;4035;1190;1162;168.0;131.0;1065.0;114;368.0;90.0;39.0;67.0;10.0;4.0;22.0;;;9.0;2.0;;2.0;;;;;;;;1334.0
Alkemade-G0483;58;;3934;961;1606;668;158.0;39.0;15.0;207;29.0;5.0;32.0;25.0;17.0;43.0;15.0;;;11.0;3.0;;2.0;;;;;;;;906.0
Alkmaar-G0361;309;;10900;12729;8203;6246;1704.0;1615.0;60.0;1211;302.0;136.0;344.0;149.0;166.0;102.0;69.0;306.0;;40.0;16.0;18.0;6.0;;17.0;;;;;;7002.0
Almelo-G0141;138;;11035;14523;5093;3971;386.0;750.0;181.0;615;401.0;228.0;190.0;146.0;184.0;80.0;42.0;39.0;111.0;27.0;7.0;3.0;;;;;;;;;4745.0
Alphen aan den Rijn-G0484;195;;8905;6475;7123;4059;472.0;244.0;631.0;799;785.0;154.0;144.0;289.0;98.0;63.0;43.0;;;24.0;11.0;;5.0;;;;;;;;4563.0
Alphen en Riel-G0741;19;;2038;389;575;328;38.0;15.0;6.0;33;1.0;;11.0;;1.0;3.0;3.0;1.0;10.0;3.0;;;;;2.0;;;;;;366.0
Ambt Delden-G0142;4;;2473;352;444;176;23.0;3.0;1.0;31;9.0;4.0;4.0;6.0;;10.0;14.0;1.0;2.0;1.0;4.0;;;;;;;;;;191.0
Ameide-G0485;13;;680;506;203;138;8.0;5.0;210.0;19;52.0;16.0;2.0;2.0;;;7.0;;;;;;;;;;;;;;104.0
Ameland-G0060;19;;1194;621;492;270;72.0;33.0;12.0;62;46.0;38.0;13.0;15.0;1.0;;7.0;;2.0;3.0;;;;;;;;;;;
Amerongen-G0306;18;;1205;937;1034;283;38.0;13.0;367.0;62;107.0;18.0;29.0;45.0;4.0;;17.0;6.0;3.0;1.0;;;1.0;;;;1.0;;;;339.0
Amersfoort-G0307;339;;16066;13995;10529;6350;1232.0;901.0;792.0;1300;593.0;1573.0;358.0;421.0;141.0;128.0;68.0;59.0;147.0;33.0;20.0;17.0;5.0;;;;6.0;;;;8033.0
Ammerstol-G0486;8;;92;558;158;159;15.0;38.0;15.0;11;5.0;1.0;;4.0;;;;;;;;;;;;;;;;;83.0
Ammerzoden-G0198;15;;1382;427;307;193;24.0;9.0;55.0;22;12.0;3.0;3.0;8.0;15.0;15.0;1.0;2.0;2.0;1.0;1.0;;;1.0;1.0;;;;;;258.0
Amstelveen-G0362;375;;11263;9145;14908;6393;1460.0;772.0;149.0;1282;348.0;103.0;510.0;339.0;84.0;76.0;49.0;;;17.0;12.0;32.0;8.0;;;29.0;8.0;;9.0;3.0;5726.0
Amstenrade-G0884;21;;985;487;325;269;28.0;25.0;;35;2.0;1.0;2.0;2.0;5.0;26.0;3.0;3.0;1.0;25.0;;;;0.0;0.0;;;;;;278.0
Amsterdam-G0363;1988;;57754;155374;66514;47117;23344.0;43365.0;760.0;10882;1790.0;734.0;4884.0;1593.0;1082.0;641.0;508.0;4169.0;;376.0;176.0;284.0;170.0;;;441.0;159.0;103.0;;;101357.0
Andijk-G0364;19;;1300;692;504;348;67.0;119.0;50.0;57;195.0;9.0;7.0;39.0;1.0;8.0;19.0;7.0;;;;1.0;;;2.0;;;;;;381.0
Angerlo-G0199;16;;1163;746;310;335;31.0;15.0;5.0;43;6.0;2.0;2.0;6.0;3.0;1.0;8.0;;3.0;1.0;;1.0;1.0;0.0;0.0;;;;;;258.0
Anloo-G0105;16;;328;1895;1381;505;94.0;65.0;1.0;85;18.0;16.0;30.0;13.0;7.0;1.0;14.0;;;3.0;;;;;;;;;;;450.0
Anna Paulowna-G0366;59;;1884;1210;1736;680;52.0;89.0;31.0;105;39.0;64.0;48.0;12.0;2.0;10.0;17.0;12.0;;5.0;;3.0;;;0.0;;;;;;700.0
Apeldoorn-G0200;350;;25749;24375;18085;10418;1428.0;665.0;2148.0;1431;1509.0;488.0;534.0;657.0;112.0;105.0;244.0;90.0;183.0;65.0;;;10.0;;;;;;;;11516.0
Appeltern-G0201;16;;1665;431;252;209;29.0;5.0;4.0;38;5.0;2.0;7.0;1.0;7.0;4.0;5.0;;6.0;2.0;;;;0.0;3.0;;;;;;260.0
Appingedam-G0003;38;;1993;3685;860;671;89.0;183.0;23.0;124;103.0;123.0;16.0;85.0;29.0;4.0;9.0;1.0;15.0;3.0;2.0;2.0;2.0;;;;;;;;1164.0
Arcen en Velden-G0885;17;;2790;671;805;483;72.0;23.0;1.0;77;3.0;;13.0;1.0;14.0;40.0;8.0;;3.0;4.0;;2.0;1.0;0.0;0.0;;;;;;479.0
Arkel-G0487;12;;366;870;378;234;30.0;23.0;23.0;18;19.0;5.0;8.0;8.0;3.0;;2.0;;;1.0;1.0;;;;;;;;;;176.0
Arnemuiden-G0649;10;;508;391;268;134;11.0;8.0;558.0;29;265.0;14.0;7.0;16.0;1.0;;6.0;7.0;;;1.0;;;;;;;;;;359.0
