RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);CP;Gereformeerd Politiek Verbond (GPV);Evangelische Volkspartij;SP;Democratisch Socialisten '70;Rechtse Volkspartij;Rooms Katholieke Partij Nederland;God Met Ons;Nederlandse Volks Unie (NVU);Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;Kleine Partij;@abs
Aalburg-G0738;19;;879;1840;1002;133;27;1448.0;20.0;35;308.0;15.0;30.0;31.0;8.0;10.0;14.0;;4.0;;;;989.0
Aalsmeer-G0358;82;;2572;4011;4128;541;207;75.0;89.0;160;312.0;57.0;30.0;83.0;34.0;48.0;26.0;3.0;;;;3.0;1969.0
Aalten-G0197;48;;1989;5849;1592;275;104;21.0;19.0;178;261.0;19.0;48.0;244.0;25.0;17.0;27.0;10.0;2.0;;;;1736.0
Aardenburg-G0648;11;;454;875;642;116;25;6.0;8.0;19;4.0;5.0;3.0;9.0;8.0;4.0;7.0;2.0;;;;;460.0
Aarle-Rixtel-G0739;16;;650;1491;569;144;59;;24.0;48;1.0;3.0;;1.0;12.0;7.0;9.0;5.0;2.0;;;;632.0
Abcoude-G0305;18;;864;1506;1831;238;109;65.0;56.0;69;46.0;26.0;39.0;63.0;4.0;19.0;6.0;4.0;;;;;604.0
Achtkarspelen-G0059;68;;5810;6170;1599;254;126;158.0;133.0;135;839.0;15.0;545.0;268.0;28.0;29.0;34.0;8.0;;;;;1952.0
Adorp-G0001;2;;282;378;239;55;16;;7.0;48;31.0;2.0;114.0;19.0;;2.0;4.0;;;;;;74.0
Aduard-G0002;3;;559;520;320;56;25;4.0;19.0;24;22.0;6.0;178.0;38.0;;3.0;3.0;;;;;;178.0
Akersloot-G0360;11;;577;1131;809;167;78;;25.0;74;14.0;7.0;8.0;8.0;19.0;16.0;10.0;2.0;;;;;415.0
Alblasserdam-G0482;43;;4023;1921;1562;372;181;1022.0;102.0;92;380.0;70.0;81.0;53.0;30.0;26.0;15.0;4.0;;;;;1918.0
Alkemade-G0483;34;;1017;3539;2179;270;151;20.0;28.0;192;34.0;39.0;;27.0;35.0;24.0;14.0;16.0;;;;;1368.0
Alkmaar-G0361;230;;14288;9849;11123;2152;1959;56.0;1386.0;1070;387.0;628.0;139.0;212.0;361.0;196.0;122.0;61.0;;;;;11395.0
Almelo-G0141;158;;13803;10082;6393;1450;395;144.0;699.0;483;531.0;225.0;181.0;191.0;234.0;91.0;134.0;49.0;;;;;7714.0
Alphen aan den Rijn-G0484;210;;6697;8254;8790;1491;505;592.0;246.0;692;799.0;178.0;127.0;465.0;133.0;91.0;47.0;54.0;;;;;6573.0
Alphen en Riel-G0741;15;;400;1874;779;138;37;1.0;11.0;38;2.0;8.0;;1.0;5.0;8.0;11.0;6.0;2.0;;;;615.0
Ambt Delden-G0142;19;;343;2294;674;79;16;4.0;4.0;26;4.0;6.0;2.0;11.0;3.0;3.0;19.0;3.0;;;;;275.0
Ameide-G0485;14;;542;705;256;51;13;170.0;6.0;20;86.0;10.0;10.0;5.0;1.0;7.0;4.0;;;;;;120.0
Ameland-G0060;6;;671;1039;602;84;47;3.0;10.0;37;28.0;2.0;35.0;23.0;2.0;4.0;12.0;3.0;;;;;
Amerongen-G0306;21;;990;1136;1088;107;34;389.0;11.0;32;107.0;16.0;12.0;34.0;11.0;15.0;20.0;1.0;;;;;550.0
Amersfoort-G0307;190;;14953;13987;12890;2307;1158;708.0;750.0;820;704.0;312.0;1521.0;526.0;178.0;255.0;175.0;78.0;;;;;11574.0
Ammerstol-G0486;10;;595;85;219;64;16;16.0;39.0;6;6.0;4.0;;7.0;2.0;2.0;3.0;;;;;;91.0
Ammerzoden-G0198;9;;452;1219;441;74;21;52.0;12.0;17;25.0;8.0;4.0;9.0;17.0;4.0;6.0;4.0;0.0;;;;423.0
Amstelveen-G0362;170;;10815;10387;16650;2363;1347;110.0;654.0;944;373.0;332.0;93.0;409.0;79.0;320.0;48.0;38.0;;;;8.0;8093.0
Amsterdam-G0363;1439;;155417;49076;75298;14262;20460;545.0;32896.0;7319;1842.0;10716.0;563.0;1761.0;1482.0;2633.0;826.0;444.0;;971.0;250.0;;138723.0
Andijk-G0364;18;;754;1234;652;106;92;39.0;99.0;35;179.0;15.0;7.0;53.0;10.0;18.0;34.0;4.0;;;;;587.0
Angerlo-G0199;5;;758;1074;505;149;32;1.0;14.0;43;3.0;9.0;;8.0;5.0;3.0;10.0;8.0;0.0;;;;372.0
Anloo-G0105;16;;2053;282;1621;210;92;1.0;65.0;55;15.0;7.0;18.0;20.0;11.0;10.0;11.0;2.0;;;;;534.0
Anna Paulowna-G0366;36;;1318;1655;2234;236;60;12.0;58.0;83;56.0;23.0;45.0;17.0;6.0;36.0;10.0;4.0;;;;;1098.0
Apeldoorn-G0200;231;;25395;22835;22519;3821;1279;1933.0;550.0;1318;1757.0;356.0;449.0;799.0;297.0;280.0;289.0;69.0;26.0;;;;18065.0
Appeltern-G0201;9;;461;1576;360;86;38;4.0;9.0;32;5.0;9.0;2.0;4.0;14.0;4.0;16.0;6.0;0.0;;;;353.0
Appingedam-G0003;41;;3593;1827;1139;259;104;17.0;241.0;71;119.0;24.0;122.0;88.0;38.0;21.0;9.0;3.0;;;;;1495.0
Arcen en Velden-G0885;14;;688;2497;1078;197;98;;26.0;53;;3.0;1.0;7.0;21.0;3.0;7.0;14.0;1.0;;;;973.0
Arkel-G0487;6;;942;334;478;78;29;15.0;15.0;15;32.0;16.0;1.0;11.0;3.0;4.0;7.0;;;;;;261.0
Arnemuiden-G0649;13;;425;436;339;58;13;558.0;11.0;11;283.0;5.0;13.0;21.0;4.0;7.0;1.0;;;;;;478.0
Arnhem-G0202;234;;27339;17528;16813;3181;2242;175.0;1154.0;1534;568.0;520.0;311.0;562.0;752.0;264.0;174.0;99.0;31.0;;;;22685.0
Asperen-G0488;0;;367;477;342;89;19;131.0;5.0;17;84.0;17.0;14.0;15.0;2.0;1.0;3.0;3.0;;;;;247.0
Assen-G0106;128;;11726;5135;5567;1181;478;56.0;380.0;595;359.0;100.0;1388.0;368.0;84.0;70.0;73.0;20.0;;;;;5235.0
Asten-G0743;25;;1108;4552;1532;372;170;5.0;44.0;107;11.0;8.0;3.0;9.0;37.0;8.0;21.0;16.0;19.0;;;;1598.0
Avereest-G0143;33;;2004;3569;1705;308;65;66.0;30.0;67;258.0;16.0;113.0;70.0;21.0;21.0;47.0;8.0;;;;;1272.0
Axel-G0650;44;;1770;2161;1446;263;80;111.0;33.0;55;70.0;19.0;593.0;41.0;19.0;12.0;16.0;19.0;;;;;1706.0
Baarderadeel-G0061;10;;1229;779;844;116;58;;17.0;50;15.0;3.0;11.0;16.0;13.0;8.0;7.0;;;;;;386.0
Baarle-Nassau-G0744;20;;451;1769;677;123;40;2.0;11.0;36;12.0;1.0;3.0;3.0;13.0;6.0;4.0;7.0;1.0;;;;754.0
Baarn-G0308;64;;3631;3836;5026;626;395;202.0;133.0;293;339.0;76.0;84.0;142.0;69.0;50.0;30.0;17.0;;;;;3089.0
Baexem-G0886;4;;166;849;268;52;13;;5.0;12;;1.0;;;;3.0;2.0;2.0;1.0;;;;215.0
Baflo-G0004;4;;568;651;343;50;42;2.0;16.0;39;25.0;1.0;97.0;27.0;7.0;4.0;4.0;;;;;;192.0
Bakel en Milheeze-G0745;20;;589;2482;603;111;63;1.0;24.0;41;4.0;6.0;1.0;8.0;7.0;4.0;16.0;6.0;2.0;;;;1149.0
Barendrecht-G0489;27;;2408;3270;3213;526;124;771.0;57.0;138;358.0;117.0;95.0;165.0;18.0;42.0;19.0;5.0;;;;;1645.0
Barneveld-G0203;54;;2354;8220;4740;461;98;3518.0;49.0;151;1480.0;66.0;128.0;272.0;35.0;32.0;85.0;5.0;10.0;;;;3037.0
Barradeel-G0062;19;;1098;1925;660;94;29;8.0;26.0;27;101.0;8.0;35.0;42.0;6.0;13.0;7.0;7.0;;;;;586.0
Barsingerhorn-G0369;9;;984;243;674;74;60;5.0;56.0;33;9.0;17.0;1.0;1.0;3.0;6.0;3.0;1.0;;;;;480.0
Batenburg-G0204;2;;69;193;49;10;8;;2.0;14;2.0;;;;8.0;1.0;2.0;2.0;0.0;;;;60.0
Bathmen-G0144;8;;817;738;1282;207;33;;10.0;35;11.0;3.0;8.0;21.0;5.0;7.0;16.0;1.0;;;;;355.0
Bedum-G0005;21;;1500;2292;845;221;65;14.0;44.0;84;150.0;8.0;773.0;119.0;16.0;7.0;16.0;3.0;;;;;552.0
Beegden-G0887;6;;210;440;211;56;21;;4.0;12;;3.0;;;6.0;4.0;2.0;3.0;0.0;;;;235.0
Beek-G0888;77;;2173;3625;2307;509;157;3.0;56.0;168;16.0;22.0;1.0;11.0;28.0;39.0;31.0;34.0;26.0;;;;2526.0
Beek en Donk-G0746;17;;928;2313;779;199;74;2.0;121.0;100;2.0;15.0;;3.0;21.0;15.0;20.0;6.0;4.0;;;;1325.0
Beemster-G0370;28;;1277;1226;1783;199;128;9.0;86.0;68;17.0;25.0;4.0;20.0;10.0;23.0;13.0;6.0;;;;;703.0
Beers-G0747;9;;216;1165;269;60;35;;3.0;42;1.0;2.0;;1.0;12.0;2.0;7.0;5.0;0.0;;;;220.0
Beerta-G0006;15;;852;85;261;17;31;5.0;827.0;17;13.0;1.0;6.0;3.0;4.0;4.0;4.0;1.0;;;;;244.0
Beesel-G0889;65;;1271;3051;1038;285;126;2.0;40.0;57;13.0;16.0;6.0;3.0;23.0;13.0;41.0;10.0;11.0;;;;1988.0
Beilen-G0107;20;;3463;2397;1810;310;80;22.0;51.0;101;82.0;14.0;185.0;121.0;18.0;24.0;33.0;10.0;;;;;1054.0
Belfeld-G0890;20;;515;1332;476;149;35;1.0;11.0;33;;5.0;;1.0;8.0;7.0;9.0;6.0;2.0;;;;777.0
