RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Aalburg-G0738;19;;2692;1017;670;164;1504.0;42.0;26.0;88.0;187.0;13.0;8.0;1.0;15.0;13.0;6.0;1.0;6.0;;;1.0;1.0;1.0;2.0;;1.0;;;780.0
Aalsmeer-G0358;30;;6046;2694;3841;811;79.0;136.0;106.0;84.0;136.0;16.0;40.0;10.0;23.0;23.0;29.0;15.0;9.0;7.0;;4.0;5.0;;4.0;;;;;1627.0
Aalten-G0197;34;;6655;2634;1219;374;25.0;196.0;62.0;62.0;216.0;11.0;12.0;8.0;71.0;8.0;21.0;5.0;3.0;;;17.0;2.0;2.0;2.0;5.0;1.0;;;1401.0
Aardenburg-G0648;14;;910;612;629;95;6.0;18.0;11.0;4.0;;5.0;3.0;;3.0;5.0;3.0;4.0;2.0;1.0;;;;;;;;;;344.0
Aarle-Rixtel-G0739;4;;1828;922;463;143;;38.0;16.0;1.0;8.0;6.0;5.0;4.0;1.0;9.0;11.0;1.0;2.0;;;;;3.0;;;0.0;;;401.0
Abcoude-G0305;23;;1901;898;1654;352;59.0;59.0;62.0;45.0;30.0;16.0;12.0;8.0;12.0;12.0;18.0;5.0;7.0;;;10.0;;;;1.0;0.0;1.0;;354.0
Achtkarspelen-G0059;60;;7315;6631;1108;494;198.0;126.0;74.0;630.0;616.0;33.0;18.0;19.0;97.0;10.0;20.0;13.0;3.0;5.0;;22.0;4.0;;2.0;;;;;1476.0
Adorp-G0001;2;;433;318;191;69;2.0;38.0;11.0;120.0;16.0;4.0;5.0;;5.0;2.0;2.0;;;;;1.0;;;;;;;;96.0
Aduard-G0002;4;;621;684;276;87;2.0;31.0;17.0;191.0;8.0;5.0;1.0;6.0;6.0;;1.0;2.0;1.0;2.0;;;;;2.0;;;;;113.0
Akersloot-G0360;5;;1535;630;705;286;3.0;45.0;22.0;11.0;12.0;11.0;7.0;3.0;2.0;11.0;7.0;6.0;3.0;2.0;;;1.0;;;;;;;314.0
