RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Aalburg-G0738;28;;2712;1019;513;206;96;1555.0;137.0;223.0;23.0;6.0;7.0;6.0;2.0;;1.0;3.0;;;;;;;;;;1082.0
Aalsmeer-G0358;50;;6206;2612;3361;1107;342;82.0;131.0;164.0;95.0;3.0;39.0;20.0;5.0;5.0;2.0;;2.0;4.0;;;1.0;;;;;2673.0
Aalten-G0197;28;;6672;2683;933;505;303;27.0;105.0;234.0;33.0;3.0;22.0;11.0;;2.0;3.0;8.0;4.0;7.0;1.0;;;;;;;1916.0
Aardenburg-G0648;4;;953;634;411;94;45;11.0;8.0;3.0;10.0;;7.0;3.0;;1.0;;2.0;;;;;;;;;;488.0
Aarle-Rixtel-G0739;16;;1833;922;405;239;71;2.0;10.0;12.0;19.0;12.0;11.0;4.0;4.0;;;5.0;;;1.0;;;;;;;615.0
Abcoude-G0305;22;;1957;880;1334;568;175;63.0;78.0;35.0;38.0;4.0;26.0;12.0;2.0;2.0;1.0;1.0;1.0;;;1.0;;;;;;685.0
Achtkarspelen-G0059;57;;7261;6519;987;655;371;191.0;808.0;563.0;26.0;11.0;29.0;8.0;;9.0;9.0;6.0;3.0;;1.0;;;;;;;2273.0
Adorp-G0001;0;;436;322;146;74;84;3.0;124.0;5.0;2.0;3.0;3.0;5.0;;1.0;6.0;;;;;;;;;;;123.0
Aduard-G0002;1;;607;647;203;103;59;1.0;229.0;8.0;2.0;2.0;4.0;2.0;;1.0;10.0;1.0;;;;;;;;;;221.0
Akersloot-G0360;11;;1510;618;577;381;107;2.0;7.0;12.0;15.0;10.0;18.0;10.0;3.0;2.0;1.0;1.0;;;;;;;;;;526.0
Alblasserdam-G0482;34;;2668;4207;1176;702;291;1153.0;171.0;249.0;98.0;14.0;18.0;6.0;12.0;;;3.0;4.0;;1.0;;;;;;;2089.0
Albrandswaard-G0613;27;;3182;2263;1923;826;244;206.0;114.0;55.0;94.0;10.0;28.0;12.0;6.0;6.0;4.0;8.0;1.0;;;;;;;;;1853.0
Alkemade-G0483;11;;4979;1303;1396;515;290;14.0;20.0;11.0;39.0;6.0;28.0;10.0;10.0;1.0;4.0;3.0;3.0;;9.0;;1.0;;;;;1488.0
Alkmaar-G0361;143;;14236;17766;7871;4909;3155;92.0;340.0;237.0;428.0;250.0;300.0;101.0;83.0;48.0;27.0;31.0;9.0;46.0;17.0;;;;;;;14344.0
Almelo-G0141;103;;12193;15613;4047;2214;884;128.0;344.0;315.0;219.0;97.0;64.0;31.0;22.0;26.0;13.0;7.0;9.0;28.0;3.0;;;;;;;8077.0
Almere-G0034;84;;6079;13493;7498;4159;1880;40.0;214.0;114.0;783.0;117.0;154.0;84.0;;72.0;30.0;19.0;19.0;;9.0;;;;;;;11395.0
Alphen aan den Rijn-G0484;101;;12453;8101;7228;3220;1322;580.0;420.0;551.0;225.0;426.0;83.0;50.0;16.0;4.0;25.0;32.0;2.0;;2.0;;1.0;;;;;9186.0
Alphen en Riel-G0741;11;;2333;628;474;263;74;1.0;4.0;1.0;17.0;5.0;9.0;4.0;;2.0;2.0;6.0;;;;;;;;;;671.0
Ambt Delden-G0142;4;;2722;423;381;112;38;4.0;12.0;2.0;9.0;2.0;;1.0;1.0;;1.0;;;;;;;;;;;318.0
Ameland-G0060;5;;1279;851;440;176;99;6.0;32.0;7.0;6.0;1.0;8.0;4.0;;;5.0;1.0;;;;;;;;;;
Amerongen-G0306;9;;1560;1070;775;244;91;392.0;40.0;107.0;28.0;9.0;10.0;5.0;2.0;1.0;4.0;1.0;;;1.0;;1.0;;;;;686.0
Amersfoort-G0307;132;;18947;16527;9082;5275;3291;817.0;2180.0;480.0;478.0;86.0;157.0;76.0;96.0;43.0;30.0;6.0;11.0;;4.0;11.0;7.0;6.0;;;;15631.0
Ammerzoden-G0198;11;;1618;587;240;135;36;46.0;5.0;23.0;11.0;3.0;8.0;1.0;;1.0;2.0;4.0;1.0;3.0;1.0;;;;;;;412.0
Amstelveen-G0362;116;;13393;10536;12627;5553;1935;144.0;275.0;235.0;384.0;48.0;220.0;109.0;43.0;19.0;44.0;11.0;5.0;26.0;4.0;;1.0;;;;;9499.0
Amsterdam-G0363;1260;;54660;152832;48775;39496;38867;559.0;1262.0;1163.0;11182.0;1140.0;4268.0;803.0;718.0;1507.0;279.0;320.0;127.0;264.0;96.0;88.0;91.0;218.0;;54.0;;148332.0
Andijk-G0364;7;;1567;865;476;202;159;51.0;32.0;210.0;20.0;3.0;20.0;5.0;3.0;5.0;;1.0;;;;;;;;;;586.0
Angerlo-G0199;11;;1390;942;247;200;48;2.0;2.0;6.0;10.0;;9.0;2.0;;;;2.0;;;;;;;;;;406.0
Anloo-G0105;13;;632;2372;1330;440;153;1.0;42.0;19.0;10.0;11.0;9.0;13.0;;5.0;9.0;2.0;1.0;;;;;;;;;684.0
Anna Paulowna-G0366;21;;2499;1444;1540;432;176;10.0;55.0;36.0;30.0;4.0;8.0;11.0;2.0;4.0;9.0;;1.0;2.0;3.0;;;;;;;1281.0
Apeldoorn-G0200;185;;30742;27887;14719;7973;2867;2117.0;1176.0;1156.0;465.0;115.0;296.0;112.0;102.0;43.0;46.0;42.0;21.0;;12.0;;;;;;;20224.0
Appingedam-G0003;28;;2121;4120;718;440;292;18.0;167.0;63.0;17.0;17.0;8.0;5.0;;20.0;32.0;6.0;6.0;;1.0;;;;;;;1533.0
Arcen en Velden-G0885;12;;3365;1023;520;300;149;3.0;4.0;5.0;7.0;19.0;8.0;6.0;6.0;3.0;1.0;;;;;;;;;;;983.0
Arnemuiden-G0649;12;;727;505;238;113;42;646.0;32.0;289.0;32.0;;;3.0;;1.0;4.0;1.0;;;;;;;;;;510.0
Arnhem-G0202;227;;20380;30147;9857;6951;4717;192.0;625.0;345.0;678.0;569.0;316.0;117.0;75.0;28.0;48.0;66.0;16.0;;27.0;;;;;;;24200.0
Assen-G0106;113;;6769;13486;4307;2551;1422;45.0;1684.0;304.0;129.0;102.0;72.0;32.0;;16.0;93.0;6.0;4.0;;2.0;;;;;;;6119.0
